Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Martin Grove Sewage Pumping Station,0,Square feet,168,22384.59681,kWh,0,Cubic meter,985
1231 Queen St W,0,Square feet,100,1307.913353,kWh,0,Cubic meter,58
Islington Storm Pumping Station,450,Square feet,168,34285.41581,kWh,0,Cubic meter,"1,509"
Thomas Riley Park,0,Square feet,100,21814.6913,kWh,0,Cubic meter,960
Assessment & Referral Ctr (129 Peter),11780,Square feet,168,245220.1938,kWh,23162.545,Cubic meter,"54,567"
#12 Police Division,25780,Square feet,168,636025.5542,kWh,9850.815147,Cubic meter,"46,603"
12 Woodycrest Ave,14198,Square feet,168,3772.635624,kWh,0,Cubic meter,166
1325 Queen St W,12303,Square feet,168,13069.91534,kWh,0,Cubic meter,575
Berry Rd Sewage Pumping Station,7244,Square feet,168,12351.21414,kWh,0,Cubic meter,543
132 Wellington St W,0,Square feet,168,715417.5514,kWh,0,Cubic meter,"31,478"
134 Spadina Rd,3369,Square feet,100,19299.34224,kWh,10509.03903,Cubic meter,"20,711"
135 Greenlaw Ave,13197,Square feet,168,6950.267788,kWh,0,Cubic meter,306
Leonard Linton Park,0,Square feet,100,5708.563887,kWh,0,Cubic meter,251
136 Spadina Rd,2626,Square feet,100,4771.091473,kWh,0,Cubic meter,210
139 Marcos Blvd,0,Square feet,100,203.547106,kWh,0,Cubic meter,9
Norman Jewison Park,0,Square feet,168,5005.192482,kWh,0,Cubic meter,220
#13 Police Division,20344,Square feet,168,522653.3565,kWh,51048.26779,Cubic meter,"119,478"
Greyabbey Trail Sewage Pumping Station,1001,Square feet,168,0,kWh,0,Cubic meter,"2,348"
146 Harrison St,15812,Square feet,168,4831.461285,kWh,0,Cubic meter,213
149 Hiawatha Rd,1399,Square feet,168,5047.634515,kWh,0,Cubic meter,222
14 Castlefield Ave,37620,Square feet,168,37023.65854,kWh,0,Cubic meter,"1,629"
Cloud Gardens,6243,Square feet,168,103324.6449,kWh,0,Cubic meter,"50,757"
Richview Park,0,Square feet,100,9434.77304,kWh,0,Cubic meter,415
Elmcrest Park,0,Square feet,100,41473.94009,kWh,0,Cubic meter,"1,825"
Rotary Peace Park,1647,Square feet,100,7716.43639,kWh,2384.791765,Cubic meter,"4,847"
Danforth Avenue Parkettle,0,Square feet,100,2298.742085,kWh,0,Cubic meter,101
Sisken Trail Park,0,Square feet,100,922.035574,kWh,0,Cubic meter,41
15 Wellesley St E,41603,Square feet,168,34870.28217,kWh,0,Cubic meter,"1,534"
1608 Danforth Ave,8708,Square feet,168,7133.53121,kWh,0,Cubic meter,314
161 Dynevor Rd,0,Square feet,100,2871.039201,kWh,0,Cubic meter,126
161 Spadina Rd,0,Square feet,100,3048.407148,kWh,7215.709679,Cubic meter,"13,772"
Woodbine Park,0,Square feet,100,228197.3011,kWh,0,Cubic meter,"10,041"
1699 Lake Shore Blvd W,0,Square feet,168,9754.74602,kWh,0,Cubic meter,429
Osler Walkway,0,Square feet,100,17537.56506,kWh,0,Cubic meter,772
16 Fuller Ave,19547,Square feet,168,8287.934942,kWh,0,Cubic meter,365
16 Lipton Ave,0,Square feet,168,7336.298,kWh,0,Cubic meter,323
16 Rosehill Ave,0,Square feet,168,1093677.36,kWh,0,Cubic meter,"48,122"
170 Sumach Park,0,Square feet,100,2909.518626,kWh,0,Cubic meter,128
1739 Bayview,0,Square feet,168,908.869776,kWh,0,Cubic meter,40
17MILL,0,Square feet,100,2536.701159,kWh,0,Cubic meter,112
180 Roxborough,0,Square feet,100,1950.251355,kWh,0,Cubic meter,86
1845 Kingston Rd,2400,Square feet,100,408.568188,kWh,0,Cubic meter,18
High Park - Lot Cytor,0,Square feet,168,36322.28615,kWh,0,Cubic meter,"1,598"
18 Applebaum,0,Square feet,100,3266.525439,kWh,0,Cubic meter,144
18 Ferrier Ave,6900,Square feet,168,2312.0238,kWh,0,Cubic meter,102
Nightstar Park,0,Square feet,100,0,kWh,0,Cubic meter,49
18 Ossington Ave,6469,Square feet,168,4490.704194,kWh,0,Cubic meter,198
Bluehaven Park,0,Square feet,100,22027.31559,kWh,0,Cubic meter,969
Maryland Park Tennis Clubhouse,0,Square feet,100,12887.26155,kWh,0,Cubic meter,567
Rean Park,0,Square feet,100,3846.949424,kWh,0,Cubic meter,169
Jeff Healey Park,0,Square feet,100,3775.348071,kWh,0,Cubic meter,166
Ellis Ave Sewage Pumping Station,0,Square feet,168,23485.46658,kWh,0,Cubic meter,"1,033"
1 Garrison Road,0,Square feet,168,8651.50879,kWh,0,Cubic meter,381
1 Norton Ave,16996,Square feet,168,12155.03382,kWh,0,Cubic meter,535
Erwin Krickhan Park,0,Square feet,100,4920.42569,kWh,0,Cubic meter,216
1 Simcoe St,0,Square feet,100,774306.7322,kWh,0,Cubic meter,"34,069"
2000 Lake Shore,0,Square feet,100,6620.863274,kWh,0,Cubic meter,291
200 Mount Olive Dr,0,Square feet,100,11627.23953,kWh,0,Cubic meter,512
201 CLAREMONT ST,0,Square feet,100,8775.702826,kWh,0,Cubic meter,386
#11 Police Division - NEW,62000,Square feet,168,1151401.84,kWh,35158.15588,Cubic meter,"117,111"
Long Branch Park,0,Square feet,100,285.077766,kWh,0,Cubic meter,13
20 Augusta Ave,0,Square feet,168,22933.01807,kWh,0,Cubic meter,"1,009"
20 Castle Knock Rd,0,Square feet,168,12279.88715,kWh,0,Cubic meter,540
20 Charles St E,0,Square feet,168,945564.02,kWh,20102.03189,Cubic meter,"79,598"
20 Saint Andrews St,0,Square feet,168,1271583.39,kWh,0,Cubic meter,"55,950"
210 Leslie St,0,Square feet,168,921.375062,kWh,0,Cubic meter,41
Jean Augustine Park,0,Square feet,100,5215.601324,kWh,0,Cubic meter,229
Cedarvale Park,0,Square feet,100,858.066036,kWh,0,Cubic meter,38
21 Bedford Park Ave,0,Square feet,168,5193.969858,kWh,0,Cubic meter,229
Midland Sewage Pumping Station,0,Square feet,168,93491.96371,kWh,0,Cubic meter,"4,114"
Rexdale Community Hub,96369,Square feet,70,1155770.94,kWh,95948.89037,Cubic meter,"232,197"
#21 Police Division,7492,Square feet,168,170788.2645,kWh,18792.92823,Cubic meter,"43,033"
Humber Bay Park West Trail,0,Square feet,100,46123.05964,kWh,0,Cubic meter,"2,029"
22 Glendonwynne Rd,0,Square feet,168,10072.27678,kWh,0,Cubic meter,443
#22 Police Division,32270,Square feet,168,486072.7106,kWh,80036.92118,Cubic meter,"172,657"
230 Medland St,0,Square feet,168,7772.3276,kWh,0,Cubic meter,342
Edenbridge Centre,5013,Square feet,100,10995.27271,kWh,0,Cubic meter,484
235 DANFORTH,0,Square feet,100,64053.04229,kWh,0,Cubic meter,"2,818"
23 Chester Ave,0,Square feet,168,3833.159087,kWh,0,Cubic meter,169
#23 Police Division New,57264,Square feet,168,890050.76,kWh,62501.78355,Cubic meter,"157,291"
23 Peele Ave,0,Square feet,100,548069.8855,kWh,0,Cubic meter,"24,115"
2454 Bloor St W,0,Square feet,168,454.572514,kWh,0,Cubic meter,20
Main Square Comm Ctr,35123,Square feet,100,550685.359,kWh,102312.0476,Cubic meter,"217,600"
Island Rd Sewage Pumping Station,0,Square feet,168,19106.09955,kWh,0,Cubic meter,841
Connorvale Park,0,Square feet,100,0,kWh,0,Cubic meter,"1,572"
253 Macpherson Ave,0,Square feet,168,3684.562059,kWh,0,Cubic meter,162
Albion Gardens,0,Square feet,100,4403.221412,kWh,0,Cubic meter,194
Mimico Memorial Park,0,Square feet,100,7939.492226,kWh,0,Cubic meter,349
25 Glenforest Rd,0,Square feet,168,5448.949094,kWh,0,Cubic meter,240
Edenbridge Sewage Blower,0,Square feet,168,11632.60827,kWh,0,Cubic meter,512
265 Armadale Ave,0,Square feet,168,17409.21798,kWh,0,Cubic meter,766
265 Durie St,0,Square feet,168,8213.983859,kWh,0,Cubic meter,361
266 Besborough,0,Square feet,100,51.9168,kWh,0,Cubic meter,2
268 Rhodes Ave,0,Square feet,168,4057.644364,kWh,0,Cubic meter,179
2696 Eglinton Ave W,14790,Square feet,168,22105.33672,kWh,0,Cubic meter,973
26 Alvin Ave,0,Square feet,168,30387.82211,kWh,0,Cubic meter,"1,337"
279 Wilson Heights Blvd,0,Square feet,168,573.30561,kWh,0,Cubic meter,25
Lora Hill Park,0,Square feet,100,2531.255311,kWh,0,Cubic meter,111
Botanyhill Park,0,Square feet,100,0,kWh,0,Cubic meter,283
North Humber Park Lighting,0,Square feet,100,110.334282,kWh,0,Cubic meter,5
Greenfield - Longmore Lands,0,Square feet,168,4004.367927,kWh,0,Cubic meter,176
291 Mill Rd,0,Square feet,100,298.9528,kWh,0,Cubic meter,13
295 Unwin Ave,0,Square feet,100,21226.36516,kWh,0,Cubic meter,934
Cliffcrest Employment Services,8530,Square feet,70,104671.7873,kWh,0,Cubic meter,"4,606"
29 Erindale Ave,0,Square feet,168,11529.8605,kWh,0,Cubic meter,507
29 Old Mill Terr,0,Square feet,168,53864.13174,kWh,0,Cubic meter,"2,370"
Charlotte Maher Park,0,Square feet,100,128.302259,kWh,0,Cubic meter,6
2 Church St,125023,Square feet,168,2329175.47,kWh,0,Cubic meter,"102,484"
Avondale Park,0,Square feet,100,3434.042367,kWh,0,Cubic meter,151
Sir Adam Beck Park,0,Square feet,100,944.619972,kWh,0,Cubic meter,42
3001 McCowan Rd,0,Square feet,100,210.472456,kWh,0,Cubic meter,9
3045 Brimley Rd,0,Square feet,100,225.949749,kWh,0,Cubic meter,10
3079 Kennedy Rd,0,Square feet,100,128.155146,kWh,0,Cubic meter,6
3084 Weston Rd,0,Square feet,100,42889.02431,kWh,0,Cubic meter,"1,887"
Rivercrest Rink,495,Square feet,100,136203.1999,kWh,0,Cubic meter,"5,993"
Carmine Stefano Community Ctr,57867,Square feet,100,230114.6938,kWh,109871.7889,Cubic meter,"217,783"
31 Langford Ave,0,Square feet,168,1779.676352,kWh,0,Cubic meter,78
Martin Grove Gardens Park,0,Square feet,100,1955.120244,kWh,0,Cubic meter,86
#31 Police Division,35489,Square feet,168,635430.4853,kWh,49952.7355,Cubic meter,"122,370"
31 Yorkville Ave,0,Square feet,168,2087983.54,kWh,0,Cubic meter,"91,871"
Kingston Rd Sewage Pumping Station,0,Square feet,168,137838.2643,kWh,0,Cubic meter,"6,065"
Hillsdale Ave Parkette,0,Square feet,100,741.768012,kWh,0,Cubic meter,33
#32 Police Division,47652,Square feet,168,0,kWh,69638.42265,Cubic meter,"163,051"
330 University Ave Fountain,0,Square feet,100,81968.71098,kWh,0,Cubic meter,"3,607"
Trumpeter Park,0,Square feet,100,1153.386071,kWh,0,Cubic meter,51
33A Riverwood Pky,0,Square feet,168,5929.187913,kWh,0,Cubic meter,261
#33 Police Division,27889,Square feet,168,418202.4195,kWh,43101.1515,Cubic meter,"99,862"
33 Queen St E,173030,Square feet,168,533015.2124,kWh,0,Cubic meter,"23,453"
342 Prince Edward Dr,0,Square feet,168,10251.45645,kWh,0,Cubic meter,451
Bloor Islington Storm Pumping Station,355,Square feet,168,25030.64647,kWh,0,Cubic meter,"1,101"
349 Keele St,0,Square feet,168,4767.494459,kWh,0,Cubic meter,210
34 Park  Home Ave - Lighting,0,Square feet,100,2255.680454,kWh,0,Cubic meter,99
Oakdale Community Center,10000,Square feet,100,194455.8957,kWh,22588.22971,Cubic meter,"51,248"
West Deane Park,0,Square feet,100,23038.72052,kWh,0,Cubic meter,"1,014"
351 Lippincott St,0,Square feet,168,18188.79072,kWh,0,Cubic meter,800
35 Bellevue Ave,0,Square feet,168,24671.48088,kWh,0,Cubic meter,"1,086"
3601 Eglinton Ave W,0,Square feet,100,31606.61297,kWh,0,Cubic meter,"1,391"
Campbell House,3595,Square feet,100,21351.50367,kWh,0,Cubic meter,939
Bathurst-Wilson Parkette,0,Square feet,100,346.507635,kWh,0,Cubic meter,15
376 Clinton St,0,Square feet,168,1868.982703,kWh,0,Cubic meter,82
37 Queen St E,0,Square feet,168,1446623.313,kWh,0,Cubic meter,"63,651"
Stan Wadlow Park,9982,Square feet,100,1219.021576,kWh,0,Cubic meter,54
3885 Yonge St Lot,0,Square feet,168,40793.97101,kWh,0,Cubic meter,"1,795"
Power House C.C.,5737,Square feet,100,336549.5422,kWh,0,Cubic meter,"14,808"
St Clair Gardens - ele,0,Square feet,100,2940.697683,kWh,0,Cubic meter,129
Silver Birch Ave Sewage Pumping Station,0,Square feet,168,316.311503,kWh,0,Cubic meter,14
400 Keele St,0,Square feet,168,5001.677318,kWh,0,Cubic meter,220
402 Sewells Rd,0,Square feet,100,134.017754,kWh,0,Cubic meter,6
407 Fairlawn,0,Square feet,100,248.155514,kWh,0,Cubic meter,11
Roselawn Comm Tower,0,Square feet,168,48131.93922,kWh,0,Cubic meter,"2,118"
Corvette Park,0,Square feet,100,28.562354,kWh,0,Cubic meter,1
40 Dundas St E,0,Square feet,100,3404.999668,kWh,0,Cubic meter,150
Gateway Park,0,Square feet,168,4890.517918,kWh,0,Cubic meter,215
Seasons Park,0,Square feet,100,5431.374751,kWh,0,Cubic meter,239
Topham Park,0,Square feet,100,13281.296,kWh,0,Cubic meter,584
#41 Police Division,51080,Square feet,168,692197.4897,kWh,110675.2894,Cubic meter,"239,633"
#42 Police Division,36620,Square feet,168,626473.2629,kWh,47105,Cubic meter,"116,593"
#43 Police Division,55450,Square feet,168,861210.2597,kWh,77265.39199,Cubic meter,"183,925"
44 Richmond St E,0,Square feet,168,57279.91979,kWh,0,Cubic meter,"2,520"
Old Orchard Park,0,Square feet,100,2085.148751,kWh,0,Cubic meter,92
453 Spadina Rd,0,Square feet,168,3599.731541,kWh,0,Cubic meter,158
45 Aberdeen Ave,0,Square feet,168,3254.964529,kWh,0,Cubic meter,143
45 Dunfield Ave,0,Square feet,100,589.118565,kWh,0,Cubic meter,26
470 Windermere Ave,0,Square feet,168,6991.137989,kWh,0,Cubic meter,308
480 Mill Rd,0,Square feet,168,66550.92145,kWh,0,Cubic meter,"2,928"
Starry Park,0,Square feet,100,578.577609,kWh,0,Cubic meter,25
5063 Yonge St Unit Underg,0,Square feet,100,17.869928,kWh,0,Cubic meter,1
Pricefield Rd Playground,0,Square feet,100,10217.0243,kWh,0,Cubic meter,450
NW District Office & Garage,13153,Square feet,168,176370.1024,kWh,15319.45676,Cubic meter,"36,714"
50 Wabash,2992,Square feet,100,20916.16106,kWh,4501.157521,Cubic meter,"9,427"
5184 Yonge St Unit Undrg,0,Square feet,100,64.8529,kWh,0,Cubic meter,3
519 Church St Comm Ctr,15554,Square feet,100,530387.4285,kWh,0,Cubic meter,"23,337"
519 Church Park,0,Square feet,168,23013.21529,kWh,0,Cubic meter,"1,013"
51 Benshire Dr,0,Square feet,100,205.6735,kWh,0,Cubic meter,9
51 Dockside Dr,0,Square feet,100,101032.02,kWh,0,Cubic meter,"4,445"
#51 Police Division New,56000,Square feet,168,1383242.484,kWh,147260.7266,Cubic meter,"339,185"
Cosburn Park,0,Square feet,100,23312.70542,kWh,0,Cubic meter,"1,026"
Sir Adam Beck,7341,Square feet,100,37850.06732,kWh,9857.117647,Cubic meter,"20,295"
#52 Police Division,71677,Square feet,168,1085842.61,kWh,86103.59833,Cubic meter,"210,513"
5341 Dundas St W,1862,Square feet,100,6400.828262,kWh,0,Cubic meter,282
#53 Police Division,52183,Square feet,168,738787.19,kWh,52670.0745,Cubic meter,"132,053"
53 Strachan Ave,49213,Square feet,100,346740.592,kWh,0,Cubic meter,"15,257"
#54 Police Division,23358,Square feet,168,485139.8729,kWh,57612.18668,Cubic meter,"130,233"
5575 Yonge St,0,Square feet,100,3551.44125,kWh,0,Cubic meter,156
557 Palmerston Ave,0,Square feet,168,5192.642341,kWh,0,Cubic meter,228
Wellesworth Park,0,Square feet,100,1727.6248,kWh,0,Cubic meter,76
55 John St Ltg Beacon,0,Square feet,168,510333.7006,kWh,0,Cubic meter,"22,455"
55 John St LED Ltg,0,Square feet,168,3615326.54,kWh,0,Cubic meter,"159,074"
#55 Police Division,23519,Square feet,168,544982.4775,kWh,15037.27473,Cubic meter,"52,400"
Wexford Park,0,Square feet,100,869.5448,kWh,0,Cubic meter,38
55 York St,0,Square feet,168,3635.75579,kWh,0,Cubic meter,160
Ukranian Canadian Memorial Park,0,Square feet,100,23497.69005,kWh,0,Cubic meter,"1,034"
567 ARLINGTON,0,Square feet,100,22.996095,kWh,0,Cubic meter,1
Centennial Park,0,Square feet,168,114528.8867,kWh,0,Cubic meter,"5,039"
573 Gerrard St E,0,Square feet,168,8502.075341,kWh,0,Cubic meter,374
Sewells Rd Sewage Pumping Station,0,Square feet,168,64055.18316,kWh,0,Cubic meter,"2,818"
Lessard Park,0,Square feet,100,1526.71791,kWh,0,Cubic meter,67
Serena Gundy Park,0,Square feet,100,21841.69481,kWh,0,Cubic meter,961
Toronto Water Centre,64831,Square feet,70,3271093.63,kWh,284006,Cubic meter,"680,699"
Hinder Property,1012,Square feet,100,43489.44847,kWh,0,Cubic meter,"1,914"
Strathburn Park,0,Square feet,100,4808.698955,kWh,0,Cubic meter,212
Bill Johnston Park,0,Square feet,100,1.0376,kWh,0,Cubic meter,0
670 Pape Ave,0,Square feet,168,9308.936259,kWh,0,Cubic meter,410
675 Manning Ave,0,Square feet,168,3046.408482,kWh,0,Cubic meter,134
68 Amroth Ave,0,Square feet,168,6275.680294,kWh,0,Cubic meter,276
697 Lansdowne Ave,0,Square feet,168,4629.155898,kWh,0,Cubic meter,204
708 Millwood Rd,0,Square feet,168,1840.532023,kWh,0,Cubic meter,81
709 Millwood Rd,0,Square feet,168,43090.51573,kWh,0,Cubic meter,"1,896"
70 Dunfield Ave,0,Square feet,168,1011146.7,kWh,0,Cubic meter,"44,490"
Liberty Village Park,0,Square feet,100,14736.35841,kWh,0,Cubic meter,648
Rosethorn Park,0,Square feet,100,5408.031337,kWh,0,Cubic meter,238
Nashdene Yard,301,Square feet,70,29693.31162,kWh,0,Cubic meter,"81,753"
715 Bloor St E-Pole 133 Viewndr/,0,Square feet,70,908.9376,kWh,0,Cubic meter,40
71 Ellis Park Rd,0,Square feet,168,3635.716112,kWh,0,Cubic meter,160
720 Pape Ave,0,Square feet,168,11403.02442,kWh,0,Cubic meter,502
Etobicoke Valley Park,0,Square feet,100,9021.005334,kWh,0,Cubic meter,397
72 Clinton St,0,Square feet,168,274518.1796,kWh,0,Cubic meter,"12,079"
734 Middlefield Rd,0,Square feet,100,287.351852,kWh,0,Cubic meter,13
737 Rhodes Ave,0,Square feet,168,6108.008301,kWh,0,Cubic meter,269
751 Brimorton Dr,0,Square feet,100,201.881685,kWh,0,Cubic meter,9
Briar Crest Park,0,Square feet,100,4577.170023,kWh,0,Cubic meter,201
Western Beaches Tunnel Storm Pumping Station,0,Square feet,168,991316.58,kWh,0,Cubic meter,"43,618"
77 Whitbread,0,Square feet,100,2114.961448,kWh,0,Cubic meter,93
Cathedral Square Park,0,Square feet,100,6990.877442,kWh,0,Cubic meter,308
7 Bartlett Ave,0,Square feet,168,3296.068689,kWh,0,Cubic meter,145
Fallingbrook Sewage Pumping Station,0,Square feet,168,20469.5132,kWh,0,Cubic meter,901
Greystone Park,0,Square feet,100,4366.030094,kWh,0,Cubic meter,192
Port Union Village Comm Park,15300,Square feet,100,25505.39973,kWh,0,Cubic meter,"1,122"
8001 Finch,0,Square feet,168,3230.781925,kWh,0,Cubic meter,142
803 Richmond St W,0,Square feet,168,4313.984588,kWh,0,Cubic meter,190
804 Carlaw Ave,0,Square feet,168,2960.852856,kWh,0,Cubic meter,130
81 Lee Ave,0,Square feet,168,9458.913559,kWh,0,Cubic meter,416
Winter Maintenance Depot,12152,Square feet,70,369734.44,kWh,30930,Cubic meter,"74,726"
833 Royal York,0,Square feet,70,2029.265084,kWh,0,Cubic meter,89
85 Bay St,0,Square feet,168,44771.78004,kWh,0,Cubic meter,"1,970"
Pine Point Park,0,Square feet,100,40302.73997,kWh,0,Cubic meter,"1,773"
Cloverdale Park,0,Square feet,100,6935.150221,kWh,0,Cubic meter,305
873 Brimley Rd,0,Square feet,100,205.313042,kWh,0,Cubic meter,9
City Clerk's Office,34843,Square feet,70,722187.16,kWh,49184.4703,Cubic meter,"124,735"
Election Services Building,55004,Square feet,70,326736.7256,kWh,61408.84364,Cubic meter,"130,439"
Queensway Park,0,Square feet,100,48828.8,kWh,0,Cubic meter,"2,148"
8 Barkwin Dr,0,Square feet,168,3295.23285,kWh,0,Cubic meter,145
8 Carling Ave,0,Square feet,168,12703.67441,kWh,0,Cubic meter,559
90 Eaton Ave,0,Square feet,168,2033.423176,kWh,0,Cubic meter,89
912 Eglinton Ave W,0,Square feet,168,2168.099244,kWh,0,Cubic meter,95
91 Via Italia,0,Square feet,168,257206.955,kWh,0,Cubic meter,"11,317"
924 Markham Rd,0,Square feet,100,204.089017,kWh,0,Cubic meter,9
946 Scarborough Golf Club Rd,0,Square feet,100,191.478303,kWh,0,Cubic meter,8
Murison Woods Park,0,Square feet,100,3077.46273,kWh,0,Cubic meter,135
99 Cedarvale Ave,0,Square feet,168,5622.871588,kWh,0,Cubic meter,247
9 Emerson Ave,0,Square feet,168,4816.560173,kWh,0,Cubic meter,212
9 Salem Ave,0,Square feet,168,2742.700131,kWh,0,Cubic meter,121
Atlantic Ave Storage Bldg,43002,Square feet,70,117030.3334,kWh,31525.38143,Cubic meter,"64,732"
Albion,32281,Square feet,70,356603.7258,kWh,49140.32,Cubic meter,"108,566"
Abbotsford Park,0,Square feet,100,2646.562009,kWh,0,Cubic meter,116
Ashbridges Bay Park,721,Square feet,100,57096.28322,kWh,0,Cubic meter,"2,512"
Ancaster Childcare Centre,7018,Square feet,100,147121.5956,kWh,14523.82265,Cubic meter,"33,923"
Albert Campbell District,26102,Square feet,70,496578.7245,kWh,11355.00898,Cubic meter,"43,310"
Adams Park,0,Square feet,100,134067.0802,kWh,0,Cubic meter,"5,899"
Agincourt District,26996,Square feet,70,738589.8408,kWh,5351.815126,Cubic meter,"42,613"
Alex Duff Pool,0,Square feet,100,479312.2799,kWh,47575.77311,Cubic meter,"111,008"
Allan Gardens,25177,Square feet,168,236979.2432,kWh,139053.9773,Cubic meter,"273,239"
Algonguin Island Sewage Pumping Station,75,Square feet,168,13616.02426,kWh,0,Cubic meter,599
Agincourt Arena and R.C,93398,Square feet,100,2179062.543,kWh,286813,Cubic meter,"637,955"
Armour Heights Pumping Station,5780,Square feet,168,1931840.71,kWh,0,Cubic meter,"85,001"
Ambulance Headquarters,143494,Square feet,168,3732455.28,kWh,244997.5135,Cubic meter,"627,273"
Albion Arena,32658,Square feet,100,434618.4571,kWh,34421.6587,Cubic meter,"84,180"
Albion Comm Ctr & Pool,20688,Square feet,100,487528.556,kWh,141731.9459,Cubic meter,"289,325"
Aldwych Park,0,Square feet,100,35660.57528,kWh,0,Cubic meter,"1,569"
Allen Road,0,Square feet,70,635721.9072,kWh,0,Cubic meter,"27,972"
Allan A Lamport Stadium,19688,Square feet,100,676858.69,kWh,277912,Cubic meter,"555,035"
Albert Standing Park,0,Square feet,100,12932.02484,kWh,0,Cubic meter,569
Amesbury Park,0,Square feet,100,25612.91212,kWh,0,Cubic meter,"1,127"
Amesbury Arena,26942,Square feet,100,783540.9376,kWh,113369.1701,Cubic meter,"248,744"
Amesbury Community Center,37975,Square feet,100,317964.3658,kWh,53717.76425,Cubic meter,"115,517"
Annette Street,7804,Square feet,70,175252.8332,kWh,9548.365591,Cubic meter,"25,758"
Antibes Park,18492,Square feet,100,437225.3076,kWh,58042.76177,Cubic meter,"128,939"
Ancaster C.C.,7513,Square feet,100,90772.36348,kWh,19233.42656,Cubic meter,"40,345"
Annette R.C,20774,Square feet,100,477180.4176,kWh,0,Cubic meter,"20,996"
Anniversary Park,0,Square feet,100,4285.096094,kWh,0,Cubic meter,189
Anthony Road School Park,0,Square feet,100,77.82,kWh,0,Cubic meter,3
Amesbury Park Library,6318,Square feet,70,111904.9455,kWh,10326.99849,Cubic meter,"24,442"
Archives and Records Centre,39590,Square feet,70,466975.29,kWh,50126.01567,Cubic meter,"115,285"
Albion Road Childcare Centre,5543,Square feet,100,70080.84165,kWh,17479.51111,Cubic meter,"36,120"
Armour Height C.C,19773,Square feet,100,188985.844,kWh,25709.62393,Cubic meter,"56,907"
Ashtonbee Reservoir Park,0,Square feet,100,3234.039574,kWh,0,Cubic meter,142
Station #10,5005,Square feet,168,62101.43315,kWh,14605.2994,Cubic meter,"30,336"
Station #11,3574,Square feet,168,37729.15234,kWh,11422.268,Cubic meter,"23,248"
Station #12,1938,Square feet,168,37293.26567,kWh,52.693547,Cubic meter,"1,740"
