Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,
Bloordale Park,0,Square feet,100,78395.83193,kWh,0,Cubic meter,"3,449"
Burrows Hall Park,0,Square feet,100,12382.95559,kWh,0,Cubic meter,545
High Park Valleymede Sewage Pumping Stn,0,Square feet,168,134832.687,kWh,0,Cubic meter,"5,933"
Highfield Sewage Pumping Station,0,Square feet,168,209.875757,kWh,0,Cubic meter,9
Pantry Park Storm Pumping Station,78,Square feet,168,8453.288202,kWh,0,Cubic meter,372
Lower Simcoe Pumping Station,0,Square feet,168,70259.22355,kWh,0,Cubic meter,"3,091"
0 Main St Ple70,0,Square feet,168,2378.190601,kWh,0,Cubic meter,105
0 Parkside Dr Pole 140,0,Square feet,168,1817.807995,kWh,0,Cubic meter,80
St Clair Comm Tower,0,Square feet,168,84309.28129,kWh,0,Cubic meter,"3,710"
Elizabeth Simcoe Park,0,Square feet,100,13867.73751,kWh,0,Cubic meter,610
0 Wickman Rd-Near Fordhs,0,Square feet,70,231194.0971,kWh,0,Cubic meter,"10,173"
100 Rosedale Valley,2691,Square feet,100,4966.859438,kWh,0,Cubic meter,219
101 Old Sheppard,0,Square feet,168,5277.998174,kWh,0,Cubic meter,232
1030 Weston Rd,0,Square feet,168,719.221622,kWh,0,Cubic meter,32
10 Arundel Ave,11496,Square feet,168,6660.325114,kWh,0,Cubic meter,293
10 Daventry Rd,0,Square feet,100,200.983105,kWh,0,Cubic meter,9
10 Kingsdale Ave,0,Square feet,168,6449.603114,kWh,0,Cubic meter,284
Redlands Sewage Pumping Station,0,Square feet,168,160470.5008,kWh,0,Cubic meter,"7,061"
110 Queen St W,598473,Square feet,168,5775449.23,kWh,0,Cubic meter,"254,120"
1119 Queen St W,7352,Square feet,168,2953.748841,kWh,0,Cubic meter,130
111 St Andrews Rd,0,Square feet,100,224.517459,kWh,0,Cubic meter,10
113 Spadina Rd,0,Square feet,100,8249.291342,kWh,12844.27613,Cubic meter,"24,639"
113 Spadina Lot,0,Square feet,168,6475.578354,kWh,0,Cubic meter,285
1155 King St W,0,Square feet,168,0,kWh,0,Cubic meter,"1,115"
Marylin Bell Park Water Equipment Shed,700,Square feet,70,22908.20855,kWh,0,Cubic meter,"1,008"
115 Broadview Ave,26135,Square feet,168,12992.14512,kWh,0,Cubic meter,572
Riverwood Sewage Pumping Station,0,Square feet,168,24382.73445,kWh,0,Cubic meter,"1,073"
Littles Park,0,Square feet,100,220.734039,kWh,0,Cubic meter,10
Manchester Park,0,Square feet,100,7814.423318,kWh,0,Cubic meter,344
117 Hammersmith Ave,9171,Square feet,168,4254.870538,kWh,0,Cubic meter,187
119 Annette Park Lighting,0,Square feet,100,1267.514312,kWh,0,Cubic meter,56
11 Grenview Blvd,0,Square feet,168,5857.446269,kWh,0,Cubic meter,258
Port Union Sewage Pumping Station,0,Square feet,168,57896.61235,kWh,0,Cubic meter,"2,547"
#14 Police Division - NEW,64200,Square feet,168,1454125.54,kWh,33734.60302,Cubic meter,"127,740"
