Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Street Office,"25,327.00",Square feet,70,"379,633.83232",kWh,"35,476.67664",Cubic meter,"106,744.89820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rexdale Community Hub,"96,369.00",Square feet,70,"1,050,510.84599",kWh,"95,380.83412",Cubic meter,"290,107.96367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond St Yard,"94,561.00",Square feet,70,"394,001.77292",kWh,"241,861.24420",Cubic meter,"498,698.17666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Civic Centre,"372,862.00",Square feet,70,"6,900,106.61258",kWh,"280,796.37500",Cubic meter,"1,251,942.34909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough West Office,"19,999.00",Square feet,70,"488,749.90233",kWh,"47,442.42765",Cubic meter,"140,988.04273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Lawrence Hall,"55,413.00",Square feet,70,"1,301,768.06000",kWh,"76,692.06304",Cubic meter,"281,030.84733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Admin Office,"54,638.00",Square feet,70,"508,930.94806",kWh,"95,801.33699",Cubic meter,"234,107.15953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Island Service Office,"20,968.00",Square feet,70,"58,536.75969",kWh,"13,247.91809",Cubic meter,"31,163.96302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Water Centre,"64,831.00",Square feet,70,"2,877,159.60774",kWh,"187,472.96629",Cubic meter,"655,104.63084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Revenue Office,"14,768.00",Square feet,70,"190,469.35034",kWh,"19,590.43030",Cubic meter,"56,942.24358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
