Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Dennis Community Ctr,"3,003.00",Square feet,100,"50,106.57747",kWh,"4,194.28409",Cubic meter,"13,153.99673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Tor Seniors Club,"3,025.00",Square feet,100,"53,835.89333",kWh,,,"5,625.85085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara C.C,"5,296.00",Square feet,100,"98,854.57074",kWh,,,"11,498.26816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Toronto Mem Rec Ctr,"74,820.00",Square feet,100,"1,770,644.53581",kWh,"247,199.65332",Cubic meter,"652,394.69295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North York Memorial Hall,"10,473.00",Square feet,100,"202,144.73548",kWh,"13,868.23793",Cubic meter,"47,343.78993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwood C.C,"36,167.00",Square feet,100,"337,973.54702",kWh,"53,016.96405",Cubic meter,"135,553.53935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakdale Community Center,"10,000.00",Square feet,100,"240,983.06496",kWh,"23,547.25485",Cubic meter,"69,701.80609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakridge C.C,"18,600.00",Square feet,100,"271,081.86382",kWh,"27,035.20235",Cubic meter,"79,441.53829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Connor C.C,"16,254.00",Square feet,100,"278,103.95472",kWh,"43,553.67472",Cubic meter,"111,407.86323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourland Community Ctr,"9,451.00",Square feet,100,"185,408.11000",kWh,"21,277.54678",Cubic meter,"59,603.05194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Union C.C,"19,978.00",Square feet,100,"474,249.35575",kWh,"34,467.48660",Cubic meter,"114,724.21846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Thornton Community Ctr,"17,061.00",Square feet,100,"202,441.03294",kWh,"35,687.47360",Cubic meter,"88,626.78908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent Park North R.C,"6,168.00",Square feet,100,"79,256.12082",kWh,,,"8,282.26463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scadding Court Community Ctr,"46,694.00",Square feet,100,"779,752.39710",kWh,"136,811.76750",Cubic meter,"340,144.14705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Village C.C,"58,125.00",Square feet,100,"1,049,987.29194",kWh,"71,029.07384",Cubic meter,"244,015.85713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Westney House,"3,046.00",Square feet,100,"149,882.42524",kWh,,,"15,662.71344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca Village C.C,"9,408.00",Square feet,100,"177,396.65061",kWh,,,"18,537.94999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Adam Beck,"7,341.00",Square feet,100,"49,066.69083",kWh,"8,946.52941",Cubic meter,"22,042.01925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St James Town C.C.,"41,904.00",Square feet,100,"784,695.80194",kWh,"83,594.09290",Cubic meter,"240,100.70994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Lawrence C.C,"46,113.00",Square feet,100,"927,279.26871",kWh,"243,388.34526",Cubic meter,"557,057.26061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley C.C,"12,895.00",Square feet,100,"209,419.56410",kWh,"28,768.57009",Cubic meter,"76,245.13237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnybrook Park,"43,701.00",Square feet,100,"724,962.61842",kWh,"71,590.05444",Cubic meter,"211,108.68424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Center for Seniors,"2,250.00",Square feet,100,"36,052.31767",kWh,,,"3,767.46720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tall Pines C.C,"5,188.00",Square feet,100,"68,064.51188",kWh,"4,908.87147",Cubic meter,"16,394.11296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tam Heather C.C,"28,546.00",Square feet,100,"824,022.36100",kWh,"123,533.20495",Cubic meter,"319,660.08178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thistletown C.C,"44,810.00",Square feet,100,"351,263.45419",kWh,"106,878.31647",Cubic meter,"238,774.06180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warden Hilltop C.C.,"25,995.00",Square feet,100,"431,370.68903",kWh,"17,955.85631",Cubic meter,"79,026.06374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Rouge C.C,"24,402.00",Square feet,100,"191,265.68749",kWh,"41,790.38933",Cubic meter,"99,094.81626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Scarborough N.C,"25,198.00",Square feet,100,"291,652.22875",kWh,"118,633.57701",Cubic meter,"254,769.50170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Ridge Creative Centre,"13,110.00",Square feet,100,"158,386.20941",kWh,"15,650.08765",Cubic meter,"46,140.85662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Garden Centre,"36,953.00",Square feet,100,"423,543.30894",kWh,"57,457.52706",Cubic meter,"152,891.02780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colborne Lodge,"8,546.00",Square feet,100,"152,656.89647",kWh,"13,925.34679",Cubic meter,"42,280.28230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Valley Brickwork,"186,237.00",Square feet,100,"177,596.46917",kWh,"22,288.74592",Cubic meter,"60,698.53586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards Gardens,"10,021.00",Square feet,100,"56,793.60235",kWh,"38,851.20647",Cubic meter,"79,394.72202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibson House Museum,"8,364.00",Square feet,100,"109,119.83059",kWh,,,"11,403.02230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historic Fort York,"22,819.00",Square feet,100,"251,513.86588",kWh,356.67647,Cubic meter,"26,957.54115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeshore Assembly Hall,"14,596.00",Square feet,100,"333,332.75000",kWh,"39,165.21064",Cubic meter,"108,880.07708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie House Museum,"2,573.00",Square feet,100,"34,467.14755",kWh,"10,447.97425",Cubic meter,"23,353.06851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Leaf Cottage,"2,842.00",Square feet,100,"11,367.46050",kWh,"2,515.08514",Cubic meter,"5,942.98750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery's Inn,"7,642.00",Square feet,100,"280,016.93633",kWh,"4,621.20364",Cubic meter,"37,998.74222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neilson Pk Creative Arts,"12,346.00",Square feet,100,"160,872.04342",kWh,"20,419.81177",Cubic meter,"55,417.37600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Farm,"23,713.00",Square feet,100,"68,963.43316",kWh,"13,651.78385",Cubic meter,"33,017.10991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roundhouse Complex,"94,001.00",Square feet,100,"63,182.51884",kWh,,,"19,336.34907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spandina House Museum,"27,588.00",Square feet,100,"97,500.34103",kWh,"50,878.31155",Cubic meter,"106,368.24365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Lawrence Market North,"27,997.00",Square feet,100,"348,821.24440",kWh,"58,620.84915",Cubic meter,"147,281.98020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Lawrence Market South,"99,114.00",Square feet,100,"5,205,571.33774",kWh,"227,127.26307",Cubic meter,"973,395.14079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Goodwin House,"1,744.00",Square feet,100,"31,493.04235",kWh,"5,392.61765",Cubic meter,"13,486.44180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zion Methodist Church,"2,002.00",Square feet,100,"10,529.47353",kWh,"6,996.96059",Cubic meter,"14,328.97260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zion School House,"1,582.00",Square feet,100,"18,669.17173",kWh,"3,939.09171",Cubic meter,"9,396.77500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Academy,"61,214.00",Square feet,168,"762,439.53086",kWh,"147,914.21086",Cubic meter,"359,325.53170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Museum And Storage,"3,272.00",Square feet,168,"25,153.36294",kWh,"16,879.62143",Cubic meter,"34,541.99155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 111,"5,662.00",Square feet,168,"95,227.80924",kWh,"22,032.04345",Cubic meter,"51,606.63685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 112,"7,018.00",Square feet,168,"242,010.16782",kWh,"25,876.78278",Cubic meter,"74,213.40673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 113,"4,833.00",Square feet,168,"77,325.69471",kWh,"18,715.47741",Cubic meter,"43,464.52200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 114,"8,633.00",Square feet,168,"199,645.92287",kWh,"39,525.30471",Cubic meter,"95,590.60720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 115,"5,985.00",Square feet,168,"112,731.10397",kWh,"14,202.30145",Cubic meter,"38,631.65494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 116,"11,776.00",Square feet,168,"185,064.58355",kWh,"25,457.19368",Cubic meter,"67,469.30669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 121,"4,219.00",Square feet,168,"115,402.85976",kWh,"9,556.28412",Cubic meter,"30,126.96762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 122,"3,046.00",Square feet,168,"42,627.73576",kWh,"15,354.13062",Cubic meter,"33,483.53230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 123,"2,497.00",Square feet,168,"49,091.41908",kWh,"18,573.17606",Cubic meter,"40,245.00143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 125,"5,813.00",Square feet,168,"83,856.23665",kWh,"10,956.45882",Cubic meter,"29,477.55361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 131,"5,845.00",Square feet,168,"81,659.37931",kWh,"19,545.87814",Cubic meter,"45,487.37845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 132,"7,664.00",Square feet,168,"91,793.47973",kWh,"17,195.69869",Cubic meter,"42,103.07086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 133,"8,062.00",Square feet,168,"108,553.99148",kWh,"18,144.93750",Cubic meter,"45,649.20086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 134,"7,126.00",Square feet,168,"42,917.40994",kWh,"18,080.29609",Cubic meter,"38,668.26838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 135,"10,592.00",Square feet,168,"110,235.68000",kWh,"24,746.38600",Cubic meter,"58,305.82088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 141,"12,500.00",Square feet,168,"137,566.78412",kWh,"38,561.64134",Cubic meter,"87,281.40923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 142,"5,586.00",Square feet,168,"129,185.39807",kWh,"24,656.43989",Cubic meter,"60,116.00508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 143,"2,895.00",Square feet,168,"70,609.62588",kWh,"18,786.07143",Cubic meter,"42,909.19878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 145,"11,001.00",Square feet,168,"96,894.18418",kWh,"31,613.43829",Cubic meter,"69,894.66224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 146,"7,535.00",Square feet,168,"52,802.96853",kWh,"15,516.46471",Cubic meter,"34,853.75733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 211,"5,005.00",Square feet,168,"109,140.39122",kWh,"10,032.86264",Cubic meter,"30,373.57187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 212,"16,501.00",Square feet,168,"215,070.80561",kWh,"48,363.66281",Cubic meter,"113,912.54592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 213,"5,048.00",Square feet,168,"58,824.86479",kWh,"15,005.52108",Cubic meter,"34,517.04168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 214,"4,887.00",Square feet,168,"59,714.85500",kWh,"15,670.79761",Cubic meter,"35,867.83542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 215,"5,737.00",Square feet,168,"58,053.96775",kWh,"18,573.24243",Cubic meter,"41,181.71325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 222,"6,910.00",Square feet,168,"55,019.90949",kWh,"16,856.46645",Cubic meter,"37,624.26989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 223,"7,459.00",Square feet,168,"46,339.25375",kWh,"17,307.32091",Cubic meter,"37,564.14023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 224,"3,767.00",Square feet,168,"57,692.05469",kWh,"9,897.26471",Cubic meter,"24,740.85739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 225,"9,085.00",Square feet,168,"96,539.49224",kWh,"28,030.10689",Cubic meter,"63,082.85384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 226,"11,808.00",Square feet,168,"69,896.02706",kWh,"29,449.15689",Cubic meter,"62,981.50806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 227,"10,484.00",Square feet,168,"79,429.12595",kWh,"20,707.54188",Cubic meter,"47,450.58623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 231,"14,241.00",Square feet,168,"138,078.29708",kWh,"33,988.98235",Cubic meter,"78,689.66978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 232,"5,350.00",Square feet,168,"71,362.29965",kWh,"12,596.87600",Cubic meter,"31,273.35419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 233,"11,001.00",Square feet,168,"85,689.30822",kWh,"21,594.56209",Cubic meter,"49,781.79485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 234,"5,350.00",Square feet,168,"47,344.07720",kWh,"14,294.88618",Cubic meter,"31,973.75383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 235,"8,902.00",Square feet,168,"103,184.26170",kWh,"22,349.16903",Cubic meter,"53,036.69775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 241,"5,500.00",Square feet,168,"48,665.53275",kWh,"13,618.29941",Cubic meter,"30,830.22643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 242,"5,500.00",Square feet,168,"58,209.83847",kWh,"17,274.99654",Cubic meter,"38,743.50300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 243,"5,350.00",Square feet,168,"57,176.74570",kWh,"18,495.33131",Cubic meter,"40,961.00770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 244,"5,350.00",Square feet,168,"52,407.19168",kWh,"15,192.40029",Cubic meter,"34,199.71372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 245,"5,608.00",Square feet,168,"42,692.84294",kWh,"13,995.21086",Cubic meter,"30,921.12560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 311,"12,755.00",Square feet,168,"58,601.01059",kWh,"32,023.17775",Cubic meter,"66,667.68898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 312,"9,806.00",Square feet,168,"97,102.81762",kWh,"25,734.51692",Cubic meter,"58,801.61696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 313,"12,099.00",Square feet,168,"153,088.51590",kWh,"39,717.98064",Cubic meter,"91,123.14980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 314,"11,937.00",Square feet,168,"51,144.79912",kWh,"27,046.62350",Cubic meter,"56,480.42683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 315,"7,244.00",Square feet,168,"108,929.57625",kWh,"29,251.79985",Cubic meter,"66,687.38331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 321,"7,535.00",Square feet,168,"92,044.90147",kWh,"18,844.09121",Cubic meter,"45,245.83984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 322,"7,535.00",Square feet,168,"40,216.01677",kWh,"16,120.41747",Cubic meter,"34,680.25864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 323,"10,236.00",Square feet,168,"117,141.91090",kWh,"39,973.72971",Cubic meter,"87,816.74238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 324,"13,153.00",Square feet,168,"81,521.14647",kWh,"28,323.56156",Cubic meter,"62,068.25003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 325,"10,129.00",Square feet,168,"90,030.15623",kWh,"31,707.26738",Cubic meter,"69,354.76713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 331,"10,979.00",Square feet,168,"87,242.35118",kWh,"28,874.24471",Cubic meter,"63,751.71989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 332,"24,865.00",Square feet,168,"301,917.01177",kWh,"60,000.00000",Cubic meter,"179,076.48192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 333,"12,723.00",Square feet,168,"103,360.96545",kWh,"32,553.31732",Cubic meter,"72,349.26165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 334,"13,003.00",Square feet,168,"346,626.16742",kWh,"23,593.21394",Cubic meter,"80,828.41241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 335,"4,402.00",Square feet,168,"91,289.80100",kWh,"10,454.67483",Cubic meter,"29,305.67472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 341,"9,268.00",Square feet,168,"79,093.66840",kWh,"27,303.37057",Cubic meter,"59,896.48131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 342,"3,057.00",Square feet,168,"28,431.28077",kWh,"12,084.14508",Cubic meter,"25,817.67980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 343,"9,827.00",Square feet,168,"48,320.31237",kWh,"25,141.71819",Cubic meter,"52,583.08388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 344,"11,238.00",Square feet,168,"76,617.59000",kWh,"29,917.83542",Cubic meter,"64,570.00462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 345,"12,809.00",Square feet,168,"114,185.28622",kWh,"43,922.74235",Cubic meter,"94,973.88502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 411,"8,762.00",Square feet,168,"78,075.00007",kWh,"9,311.49412",Cubic meter,"25,763.39970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 412,"7,029.00",Square feet,168,"80,492.88056",kWh,"20,622.94235",Cubic meter,"47,403.97241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 413,"3,929.00",Square feet,168,"36,177.07647",kWh,"8,986.52765",Cubic meter,"20,770.67630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 415,"7,804.00",Square feet,168,"72,530.06441",kWh,"13,141.86000",Cubic meter,"32,425.74708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 421,"9,461.00",Square feet,168,"105,421.59647",kWh,"20,024.61882",Cubic meter,"48,875.64184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 422,"7,944.00",Square feet,168,"63,678.90388",kWh,"20,968.76387",Cubic meter,"46,290.26905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 423,"12,335.00",Square feet,168,"97,716.39095",kWh,"29,777.20516",Cubic meter,"66,521.05464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 424,"5,866.00",Square feet,168,"55,862.13353",kWh,"17,094.85531",Cubic meter,"38,144.78825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 425,"7,955.00",Square feet,168,"49,456.57676",kWh,"9,919.39706",Cubic meter,"23,922.09242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 426,"12,486.00",Square feet,168,"171,865.75348",kWh,"30,778.98265",Cubic meter,"76,152.20735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 431,"3,907.00",Square feet,168,"39,315.66961",kWh,"7,812.62441",Cubic meter,"18,879.24613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 432,"11,765.00",Square feet,168,"111,339.72403",kWh,"31,380.95895",Cubic meter,"70,964.68943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 433,"5,038.00",Square feet,168,"102,725.68682",kWh,"13,418.52493",Cubic meter,"36,104.25980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 434,"5,188.00",Square feet,168,"26,023.05456",kWh,"13,177.99174",Cubic meter,"27,634.07619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 435,"6,889.00",Square feet,168,"79,731.46589",kWh,"11,889.45324",Cubic meter,"30,810.45949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 441,"19,472.00",Square feet,168,"123,850.78000",kWh,"22,990.87318",Cubic meter,"56,409.57209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 442,"15,479.00",Square feet,168,"217,244.32832",kWh,"27,305.31481",Cubic meter,"74,326.19773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 443,"3,929.00",Square feet,168,"37,157.18118",kWh,"11,001.22481",Cubic meter,"24,682.13809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 444,"3,929.00",Square feet,168,"27,553.68441",kWh,"9,833.13459",Cubic meter,"21,469.54575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Station 445,"11,765.00",Square feet,168,"120,434.12235",kWh,"15,740.76012",Cubic meter,"42,345.27814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Stn former TO #35,"3,143.00",Square feet,168,"128,353.57288",kWh,,,"13,412.94837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Training Centre,"7,998.00",Square feet,168,"90,323.14170",kWh,"14,926.59993",Cubic meter,"37,659.40116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUSAR,"11,485.00",Square feet,168,"259,485.97917",kWh,"27,843.91452",Cubic meter,"79,755.30100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotherham Ave 15,"23,002.00",Square feet,168,"179,755.00029",kWh,"32,693.92742",Cubic meter,"80,596.41945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toryork Office,"42,625.00",Square feet,168,"695,031.62800",kWh,"142,781.77882",Cubic meter,"342,577.89128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
