Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Fairmount Park C.R.C,4359,Square feet,100,8627.847218,kWh,0,Cubic meter,311
Falstaff C.C,13853,Square feet,100,127293.8026,kWh,24636.02222,Cubic meter,"51,383"
Flemingdon C.C,10000,Square feet,100,89213.01311,kWh,18803.36558,Cubic meter,"38,932"
Forest Hill C.C,32841,Square feet,100,543141.9049,kWh,36486.85483,Cubic meter,"88,867"
Frankland C.C,3681,Square feet,100,26445.86098,kWh,0,Cubic meter,952
Franklin Horner,39500,Square feet,100,345960.6858,kWh,60730.38905,Cubic meter,"127,823"
Glenlong C.C & A.I.R,10236,Square feet,100,379096.2018,kWh,40695.74949,Cubic meter,"90,957"
Harwood Hall Community Ctr,4306,Square feet,100,26376.96035,kWh,11699.77626,Cubic meter,"23,176"
Heron Park C.C,52377,Square feet,100,1090733.855,kWh,118672.4843,Cubic meter,"264,707"
Jenner Jean-Marie C.C.,13207,Square feet,100,147637.2742,kWh,31079.86945,Cubic meter,"64,357"
John Innes C.C,24176,Square feet,100,442906.684,kWh,74418.27634,Cubic meter,"157,316"
Lakeshore Community Ctr,5952,Square feet,100,126930.6131,kWh,0,Cubic meter,"4,570"
Lamp Senior Centre,26318,Square feet,100,444956.9103,kWh,41096.1071,Cubic meter,"94,088"
Lawrence Heights C.C.,22152,Square feet,100,213957.9947,kWh,36209.09287,Cubic meter,"76,489"
Ledbury Community Center,5780,Square feet,100,196534.2329,kWh,21473.60406,Cubic meter,"47,868"
Leslie Grove Park,1389,Square feet,100,61310.5975,kWh,1051.093333,Cubic meter,"4,204"
Main Square Comm Ctr,35123,Square feet,100,568270.3507,kWh,86897.3871,Cubic meter,"185,536"
Masaryk-Cowan C.R.C,32270,Square feet,100,324867.288,kWh,32398.87843,Cubic meter,"73,243"
McGregor Park C.C,45262,Square feet,100,1039656.63,kWh,36677.04546,Cubic meter,"107,103"
Mount Dennis Community Ctr,3003,Square feet,100,52765.7194,kWh,4727.622021,Cubic meter,"10,881"
New Tor Seniors Club,3025,Square feet,100,67207.25651,kWh,0,Cubic meter,"2,419"
Niagara C.C,5296,Square feet,100,69120.44392,kWh,0,Cubic meter,"2,488"
North Toronto Mem Rec Ctr,74820,Square feet,100,1506211.361,kWh,151936.2316,Cubic meter,"342,855"
North York Memorial Hall,10473,Square feet,100,163594.3126,kWh,11355.50488,Cubic meter,"27,461"
Northwood C.C,36167,Square feet,100,352216.5695,kWh,49252.43904,Cubic meter,"106,244"
O'Connor C.C,16254,Square feet,100,213299.4034,kWh,35934.45481,Cubic meter,"75,943"
Oakdale Community Center,10000,Square feet,100,177573.7743,kWh,18661.59528,Cubic meter,"41,844"
Oakridge C.C,18600,Square feet,100,277276.7325,kWh,28131.15387,Cubic meter,"63,422"
Ourland Community Ctr,9451,Square feet,100,224147.3611,kWh,24144.9,Cubic meter,"53,937"
Port Union C.C,19978,Square feet,100,423340.8,kWh,21380.12414,Cubic meter,"55,856"
Power House C.C.,5737,Square feet,100,357252.165,kWh,0,Cubic meter,"12,861"
Ralph Thornton Community Ctr,17061,Square feet,100,150226.0707,kWh,0,Cubic meter,"5,408"
Regent Park C.C,55004,Square feet,100,809998.3761,kWh,3725.477823,Cubic meter,"36,237"
Regent Park North R.C,6168,Square feet,100,32760.77432,kWh,0,Cubic meter,"1,179"
Scadding Court Community Ctr,46694,Square feet,100,988592.842,kWh,123554.4517,Cubic meter,"270,304"
Scarborough Village C.C,58125,Square feet,100,1127534.244,kWh,83651.60021,Cubic meter,"199,503"
Scott Westney House,3046,Square feet,100,130031.9571,kWh,0,Cubic meter,"4,681"
Seneca Village C.C,9408,Square feet,100,164435.4896,kWh,0,Cubic meter,"5,920"
Sir Adam Beck C.C.,7341,Square feet,100,36388.99656,kWh,8080.579194,Cubic meter,"16,661"
St James Town C.C.,41904,Square feet,100,825809.7152,kWh,200732.4345,Cubic meter,"411,059"
St Lawrence C.C,46113,Square feet,100,928306.3669,kWh,268136.2672,Cubic meter,"542,795"
Stanley C.C,12895,Square feet,100,183317.5436,kWh,29555.42109,Cubic meter,"62,746"
Sunnybrook Park,43701,Square feet,100,537589.2827,kWh,65282.2399,Cubic meter,"143,369"
Sunshine Center for Seniors,2250,Square feet,100,52743.67984,kWh,0,Cubic meter,"1,899"
Swansea Town Hall Comm Ctr,14402,Square feet,100,131501.2856,kWh,0,Cubic meter,"4,734"
Tall Pines C.C,5188,Square feet,100,53144.35269,kWh,4541.755161,Cubic meter,"10,541"
Tam Heather C.C,28546,Square feet,100,779316.2457,kWh,0,Cubic meter,"28,055"
Thistletown C.C,44810,Square feet,100,361948.2985,kWh,89689.49083,Cubic meter,"183,412"
Warden Hilltop C.C.,25995,Square feet,100,445227.3039,kWh,20723.34452,Cubic meter,"55,396"
Waterfront Neighbourhood Centre,123214,Square feet,100,1229059.585,kWh,72711.12654,Cubic meter,"182,375"
West Rouge C.C,24402,Square feet,100,194845.9155,kWh,39838.74923,Cubic meter,"82,696"
West Scarborough N.C,25198,Square feet,100,280102.8019,kWh,122583.1941,Cubic meter,"242,954"
Campbell House,3595,Square feet,100,27106.92572,kWh,0,Cubic meter,976
Casa Loma,88318,Square feet,100,1279502.776,kWh,12317.72393,Cubic meter,"69,462"
Cedar Ridge Creative Centre,13110,Square feet,100,129967.6077,kWh,18333.97822,Cubic meter,"39,508"
Civic Garden Centre,36953,Square feet,100,389917.2836,kWh,37229.28467,Cubic meter,"84,761"
Colborne Lodge,7050,Square feet,100,176864.2819,kWh,11129.38227,Cubic meter,"27,509"
Dawes Crossing,0,Square feet,168,945.807387,kWh,0,Cubic meter,34
Don Valley Brickwork,19407,Square feet,100,203297.1215,kWh,13342.0728,Cubic meter,"32,664"
Edenbridge Centre,5013,Square feet,100,8490.086071,kWh,0,Cubic meter,306
Edwards Gardens,10021,Square feet,100,82381.08468,kWh,46000.49908,Cubic meter,"90,352"
Gibson House Museum,8364,Square feet,100,68357.93755,kWh,0,Cubic meter,"2,461"
Gzowski Monument,0,Square feet,100,2726.807373,kWh,0,Cubic meter,98
Historic Fort York,22819,Square feet,100,732628.3529,kWh,37561.31818,Cubic meter,"97,729"
Lakeshore Assembly Hall,14596,Square feet,100,291442.8893,kWh,35452.06267,Cubic meter,"77,840"
Mackenzie House Museum,2573,Square feet,100,39822.89727,kWh,7727.46211,Cubic meter,"16,113"
Maple Leaf Cottage,2842,Square feet,100,9894.871191,kWh,3008.571176,Cubic meter,"6,072"
Montgomery's Inn,7642,Square feet,100,266131.8217,kWh,0,Cubic meter,"9,581"
Neilson Pk Creative Arts,12346,Square feet,100,161642.1623,kWh,21018.43011,Cubic meter,"45,748"
Palaise Royale,28503,Square feet,100,412637.3315,kWh,0,Cubic meter,"14,855"
Riverdale Farm,23713,Square feet,100,70039.38143,kWh,11168.76838,Cubic meter,"23,739"
Roundhouse Complex,94001,Square feet,100,146896.8833,kWh,0,Cubic meter,"5,288"
Spandina House Museum,27588,Square feet,100,88622.94956,kWh,53629.08888,Cubic meter,"105,069"
St Lawrence Market South,99114,Square feet,100,5005492.89,kWh,200942.5012,Cubic meter,"561,926"
Temp - St Lawrence Market North,11711,Square feet,100,125593.5704,kWh,25732.66667,Cubic meter,"53,405"
Time and Clock Monument,0,Square feet,100,18178.74798,kWh,0,Cubic meter,654
William Goodwin House,1744,Square feet,100,25159.25908,kWh,5530.404969,Cubic meter,"11,412"
Zion Methodist Church,2002,Square feet,100,11592.82216,kWh,7106.599806,Cubic meter,"13,918"
Zion School House,1582,Square feet,100,19619.51555,kWh,3755.385616,Cubic meter,"7,840"
City Hall Eternal Flame,1,Square feet,168,0,0,9830.16129,Cubic meter,"18,674"
Economic Development,54,Square feet,168,459240.0869,kWh,0,Cubic meter,"16,533"
Old City Hall - Cenotaph,1,Square feet,168,9089.371972,kWh,0,Cubic meter,327
Fire Academy,61214,Square feet,168,850405.1511,kWh,187895.6476,Cubic meter,"387,558"
Fire Museum And Storage,3272,Square feet,168,27162.98021,kWh,14726.04728,Cubic meter,"28,953"
Fire Station 111,5662,Square feet,168,97582.94792,kWh,26974.89882,Cubic meter,"54,757"
Fire Station 112,7018,Square feet,168,219120.3966,kWh,33159.90456,Cubic meter,"70,882"
Fire Station 113,4833,Square feet,168,85876.394,kWh,17509.43862,Cubic meter,"36,354"
Fire Station 114,8633,Square feet,168,205237.3916,kWh,36988.76551,Cubic meter,"77,656"
Fire Station 115,5985,Square feet,168,128140.4775,kWh,14609.62069,Cubic meter,"32,367"
Fire Station 116,11776,Square feet,168,173794.0642,kWh,21261.49314,Cubic meter,"46,647"
Fire Station 121,4219,Square feet,168,123021.9029,kWh,3728.830199,Cubic meter,"11,512"
Fire Station 122,3046,Square feet,168,55011.33247,kWh,17578.00067,Cubic meter,"35,373"
Fire Station 123,2497,Square feet,168,52820.62996,kWh,17855.07669,Cubic meter,"35,821"
Fire Station 125,5813,Square feet,168,79939.0409,kWh,12765.91202,Cubic meter,"27,129"
Fire Station 131,5845,Square feet,168,76962.80258,kWh,16945.33296,Cubic meter,"34,962"
Fire Station 132,7664,Square feet,168,91107.25733,kWh,17140.00498,Cubic meter,"35,841"
Fire Station 133,8062,Square feet,168,105953.4416,kWh,18466.19499,Cubic meter,"38,894"
Fire Station 134,7126,Square feet,168,41916.37989,kWh,13754.85166,Cubic meter,"27,639"
Fire Station 135 - OLD,10592,Square feet,168,32630.09357,kWh,25067.32595,Cubic meter,"48,795"
Fire Station 141,12500,Square feet,168,174736.8035,kWh,39351.40381,Cubic meter,"81,046"
Fire Station 142,5586,Square feet,168,118466.8933,kWh,21722.37617,Cubic meter,"45,531"
Fire Station 143,2895,Square feet,168,77064.73621,kWh,19383.15788,Cubic meter,"39,596"
Fire Station 145,11001,Square feet,168,103644.6747,kWh,27506.63109,Cubic meter,"55,985"
Fire Station 146,7535,Square feet,168,58264.7541,kWh,15277.38826,Cubic meter,"31,120"
Fire Station 211,5005,Square feet,168,128822.7688,kWh,11142.12652,Cubic meter,"25,804"
Fire Station 212,16501,Square feet,168,203978.3253,kWh,50739.05089,Cubic meter,"103,732"
Fire Station 213,5048,Square feet,168,53653.09849,kWh,13721.75275,Cubic meter,"27,999"
Fire Station 214,4887,Square feet,168,49169.42783,kWh,17568.65355,Cubic meter,"35,145"
Fire Station 215,5737,Square feet,168,55180.51069,kWh,13134.32581,Cubic meter,"26,938"
Fire Station 221,11916,Square feet,168,140598.7673,kWh,24787.17791,Cubic meter,"52,150"
Fire Station 222,6910,Square feet,168,56182.07119,kWh,15681.87811,Cubic meter,"31,813"
Fire Station 223,7459,Square feet,168,45281.69995,kWh,12462.29044,Cubic meter,"25,305"
Fire Station 224,3767,Square feet,168,58792.83582,kWh,11637.27258,Cubic meter,"24,224"
Fire Station 225,9085,Square feet,168,91962.35965,kWh,26191.2354,Cubic meter,"53,066"
Fire Station 226,11808,Square feet,168,51934.79081,kWh,28079.30241,Cubic meter,"55,212"
Fire Station 227,10484,Square feet,168,72581.92638,kWh,19114.94471,Cubic meter,"38,925"
Fire Station 231,14241,Square feet,168,150342.8106,kWh,45419.63774,Cubic meter,"91,696"
Fire Station 232,5350,Square feet,168,73787.69507,kWh,13290.06199,Cubic meter,"27,903"
Fire Station 233,11001,Square feet,168,75686.49568,kWh,21473.06398,Cubic meter,"43,517"
Fire Station 234,5350,Square feet,168,50210.25113,kWh,13272.3987,Cubic meter,"27,021"
Fire Station 235,8902,Square feet,168,98802.42842,kWh,20573.84144,Cubic meter,"42,641"
Fire Station 241,5500,Square feet,168,43569.51222,kWh,11028.67293,Cubic meter,"22,520"
Fire Station 242,5500,Square feet,168,61287.56519,kWh,16142.52936,Cubic meter,"32,872"
Fire Station 243,5350,Square feet,168,45186.22094,kWh,17321.65449,Cubic meter,"34,532"
Fire Station 244,5350,Square feet,168,52777.30646,kWh,13830.24909,Cubic meter,"28,173"
Fire Station 245,5608,Square feet,168,52535.7632,kWh,11758.46633,Cubic meter,"24,229"
Fire Station 311,12755,Square feet,168,47248.64863,kWh,14600.88415,Cubic meter,"29,438"
Fire Station 312,9806,Square feet,168,108098.2191,kWh,25288.98221,Cubic meter,"51,933"
Fire Station 313,12099,Square feet,168,132247.5614,kWh,33073.49778,Cubic meter,"67,590"
Fire Station 314,11937,Square feet,168,50866.47231,kWh,24241.85152,Cubic meter,"47,883"
Fire Station 315,7244,Square feet,168,101059.0219,kWh,28855.71875,Cubic meter,"58,455"
Fire Station 321,7535,Square feet,168,105289.1092,kWh,26143.85355,Cubic meter,"53,456"
Fire Station 322,7535,Square feet,168,47289.372,kWh,15249.63412,Cubic meter,"30,672"
Fire Station 323,10236,Square feet,168,108988.1791,kWh,38942.39765,Cubic meter,"77,902"
Fire Station 324,13153,Square feet,168,57169.67686,kWh,20924.55135,Cubic meter,"41,808"
Fire Station 325,10129,Square feet,168,125354.5862,kWh,26531.65523,Cubic meter,"54,915"
Fire Station 331,10979,Square feet,168,81964.22685,kWh,24086.41882,Cubic meter,"48,707"
Fire Station 332,24865,Square feet,168,281311.0857,kWh,73381.61525,Cubic meter,"149,530"
Fire Station 333,12723,Square feet,168,127109.4821,kWh,32438.76121,Cubic meter,"66,200"
Fire Station 334,13003,Square feet,168,346143.1653,kWh,19776.69057,Cubic meter,"50,031"
Fire Station 335,4402,Square feet,168,86053.89179,kWh,10310.15068,Cubic meter,"22,684"
Fire Station 341,9268,Square feet,168,77088.57568,kWh,26137.53645,Cubic meter,"52,428"
Fire Station 342,3057,Square feet,168,24192.21575,kWh,12072.28483,Cubic meter,"23,805"
Fire Station 343,9827,Square feet,168,52679.78306,kWh,22342.45364,Cubic meter,"44,340"
Fire Station 344,11238,Square feet,168,68891.71794,kWh,21717.8975,Cubic meter,"43,737"
Fire Station 345,12809,Square feet,168,119253.6661,kWh,39648.18563,Cubic meter,"79,612"
Fire Station 411,8762,Square feet,168,79637.11085,kWh,13385.60481,Cubic meter,"28,295"
Fire Station 412,7029,Square feet,168,73903.30862,kWh,20764.26637,Cubic meter,"42,106"
Fire Station 413,3929,Square feet,168,30906.69665,kWh,6894.781912,Cubic meter,"14,211"
Fire Station 415,7804,Square feet,168,67311.05641,kWh,10315.86863,Cubic meter,"22,020"
Fire Station 421,9461,Square feet,168,104843.7278,kWh,24957.42185,Cubic meter,"51,186"
Fire Station 422,7944,Square feet,168,62149.10741,kWh,16548.80613,Cubic meter,"33,675"
Fire Station 423,12335,Square feet,168,104212.3701,kWh,31114.59063,Cubic meter,"62,860"
Fire Station 424,5866,Square feet,168,38844.39542,kWh,8792.862232,Cubic meter,"18,102"
Fire Station 425,7955,Square feet,168,43547.22962,kWh,8860.411905,Cubic meter,"18,400"
Fire Station 426,12486,Square feet,168,159998.1805,kWh,31617.77398,Cubic meter,"65,824"
Fire Station 431,3907,Square feet,168,35928.11864,kWh,9789.145807,Cubic meter,"19,890"
Fire Station 432,11765,Square feet,168,103391.307,kWh,27275.4249,Cubic meter,"55,537"
Fire Station 433,5038,Square feet,168,111407.9923,kWh,10515.79699,Cubic meter,"23,987"
Fire Station 434,5188,Square feet,168,27263.47802,kWh,10658.70682,Cubic meter,"21,230"
Fire Station 435,6889,Square feet,168,75670.54824,kWh,12755.48039,Cubic meter,"26,956"
Fire Station 441,19472,Square feet,168,121927.4557,kWh,17102.18012,Cubic meter,"36,878"
Fire Station 442,15479,Square feet,168,201878.464,kWh,19030.18697,Cubic meter,"43,419"
Fire Station 443,3929,Square feet,168,38236.18749,kWh,9175.147959,Cubic meter,"18,806"
Fire Station 444,3929,Square feet,168,33160.99234,kWh,7265.860446,Cubic meter,"14,997"
Fire Station 445,11765,Square feet,168,119162.557,kWh,18144.18067,Cubic meter,"38,758"
Fire Training Centre,7998,Square feet,168,73605.49033,kWh,14066.45161,Cubic meter,"29,372"
HUSAR,11485,Square feet,168,233657.1883,kWh,25043.13624,Cubic meter,"55,986"
Rotherham Ave 15,23002,Square feet,168,158350.2863,kWh,26789.85193,Cubic meter,"56,593"
Toryork Office,42625,Square feet,168,679969.6098,kWh,109679.893,Cubic meter,"232,837"
