Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,
2 Civic Centre Court,46145,Square feet,70,1259536.64,kWh,34119.04482,Cubic meter,"110,159"
51 Lisgar,10053,Square feet,70,70947.46494,kWh,5120.625161,Cubic meter,"12,282"
Archives and Records Centre,39590,Square feet,70,480158.2083,kWh,46939.28928,Cubic meter,"106,456"
Atlantic Ave Storage Bldg,43002,Square feet,70,105617.7263,kWh,26977.43636,Cubic meter,"55,051"
Central Services Office,18299,Square feet,70,181378.168,kWh,21082.35492,Cubic meter,"46,580"
City Clerk's Office,34843,Square feet,70,710224.4936,kWh,48343.39698,Cubic meter,"117,406"
City Hall,780061,Square feet,70,13448190.39,kWh,0,Cubic meter,"2,693,549"
Cliffcrest Employment Services,8530,Square feet,70,112550.6094,kWh,0,Cubic meter,"4,052"
Consolidated Communication Ctr,132999,Square feet,70,7361109.369,kWh,256042.3533,Cubic meter,"751,401"
Crossways Employment Services,18277,Square feet,70,852922.5526,kWh,44993.61161,Cubic meter,"116,179"
Dyas Road,102516,Square feet,70,1655333.667,kWh,105208.7494,Cubic meter,"259,456"
East Court & Municipal Services,120104,Square feet,70,1950837.441,kWh,105860.7137,Cubic meter,"271,333"
East York Civic Centre,67544,Square feet,70,1789712.88,kWh,104399.5668,Cubic meter,"262,756"
Eastern District Office,19849,Square feet,70,96300.75091,kWh,32070.23896,Cubic meter,"64,390"
Election Services Building,55004,Square feet,70,257136.3267,kWh,71888.49756,Cubic meter,"145,823"
Etobicoke Civic Centre,154925,Square feet,70,2723553.058,kWh,187349.213,Cubic meter,"453,953"
Etobicoke North Office,20279,Square feet,70,478213.0076,kWh,44398.22722,Cubic meter,"101,559"
Etobicoke South Office,22497,Square feet,70,455275.5274,kWh,29544.3875,Cubic meter,"72,515"
Fire Services - East Command Offices,25898,Square feet,70,137418.2287,kWh,22153.38182,Cubic meter,"47,032"
Forestry W District Office,8999,Square feet,70,86176.77714,kWh,22131.60034,Cubic meter,"45,146"
Former Hydro Building,22497,Square feet,70,433208.673,kWh,5095.970487,Cubic meter,"25,276"
Golden Mile Employment & Social Services,45000,Square feet,70,499083.8042,kWh,57983.00494,Cubic meter,"128,117"
Health Office,2540,Square feet,70,12945.06313,kWh,1065.239296,Cubic meter,"2,490"
Metro Hall,787186,Square feet,70,8690881.448,kWh,0,Cubic meter,"1,879,928"
North District Office,66747,Square feet,70,437159.1183,kWh,39868.87188,Cubic meter,"91,476"
North York Central Office,18934,Square feet,70,434366.5827,kWh,19831.30472,Cubic meter,"53,311"
North York Civic Centre,303518,Square feet,70,5708637.585,kWh,421383.2399,Cubic meter,"1,006,008"
Old City Hall,350494,Square feet,70,2695471.444,kWh,0,Cubic meter,"1,404,775"
Pape Avenue Multiuse Building,9365,Square feet,70,85638.05484,kWh,23231.58854,Cubic meter,"47,216"
Property Dept Workshop,39170,Square feet,70,119614.5619,kWh,106591.624,Cubic meter,"206,797"
Property Maintenance Office,13487,Square feet,70,127005.6022,kWh,27474.86523,Cubic meter,"56,766"
Public Health Building,6394,Square feet,70,72104.03425,kWh,10646.2451,Cubic meter,"22,820"
Public Health HQ,111385,Square feet,70,1889680.717,kWh,31349.15152,Cubic meter,"127,582"
Queen Street Office,25327,Square feet,70,312114.8506,kWh,37404.05429,Cubic meter,"82,292"
Rexdale Community Hub,96369,Square feet,70,1123136.118,kWh,95125.03161,Cubic meter,"221,141"
Scarborough Civic Centre,372868,Square feet,70,6230563.653,kWh,234291.1129,Cubic meter,"669,381"
Scarborough West Office,19999,Square feet,70,476648.4356,kWh,39833.87866,Cubic meter,"92,831"
St Lawrence Hall,55413,Square feet,70,987151.3786,kWh,43817.68727,Cubic meter,"118,777"
Toronto Island Service Office,20968,Square feet,70,100143.0335,kWh,9136.805647,Cubic meter,"20,962"
Toronto Water Centre,64831,Square feet,70,3126117.365,kWh,143803.1745,Cubic meter,"385,722"
Water Revenue Office,14768,Square feet,70,180400.1622,kWh,18998.2159,Cubic meter,"42,585"
Wellesley Jarvis Office,52108,Square feet,70,1259737.919,kWh,0,Cubic meter,"45,351"
Western District Office,4844,Square feet,70,28793.69656,kWh,14158.58195,Cubic meter,"27,933"
York Civic Center,72915,Square feet,70,1241941.162,kWh,98679.05853,Cubic meter,"232,170"
Ambulance Headquarters,143494,Square feet,168,3586967.411,kWh,266369.1128,Cubic meter,"635,150"
EMS Workshop West,1658,Square feet,168,14583.57008,kWh,6934.107432,Cubic meter,"13,698"
Multi-Function Station #1,21781,Square feet,168,127576.9688,kWh,10569.65543,Cubic meter,"24,672"
NE District Office / Station #20,7782,Square feet,168,293727.8118,kWh,25612.50793,Cubic meter,"59,230"
NW District Office & Garage,13153,Square feet,168,155135.672,kWh,14947.10588,Cubic meter,"33,980"
Station #10,5005,Square feet,168,61059.50249,kWh,9522.631318,Cubic meter,"20,288"
Station #11,3574,Square feet,168,32518.56625,kWh,10804.88922,Cubic meter,"21,697"
Station #12,1938,Square feet,168,36345.74756,kWh,1565,Cubic meter,"4,281"
Station #13,2756,Square feet,168,28377.28689,kWh,10067.36327,Cubic meter,"20,146"
Station #14,4252,Square feet,168,57917.86957,kWh,5729.751515,Cubic meter,"12,970"
Station #18,1345,Square feet,168,67472.79221,kWh,14709.87923,Cubic meter,"30,373"
Station #21,2799,Square feet,168,39517.03988,kWh,8744.716172,Cubic meter,"18,035"
Station #22,2583,Square feet,168,42799.2354,kWh,3545.119318,Cubic meter,"8,275"
Station #24,2659,Square feet,168,24869.98581,kWh,5452.875455,Cubic meter,"11,254"
Station #28,1905,Square feet,168,40286.00415,kWh,10379.1053,Cubic meter,"21,167"
Station #30 & Garage & Office,16380,Square feet,168,202466.1868,kWh,49396.33716,Cubic meter,"101,127"
Station #31,2831,Square feet,168,40930.2517,kWh,5044.826667,Cubic meter,"11,057"
Station #32,3218,Square feet,168,19951.86277,kWh,4581.673226,Cubic meter,"9,422"
Station #33,3132,Square feet,168,32766.32484,kWh,6476.973561,Cubic meter,"13,484"
Station #34,13939,Square feet,168,63845.01486,kWh,56482.41196,Cubic meter,"109,597"
Station #37,4413,Square feet,168,50237.89407,kWh,5517.457994,Cubic meter,"12,290"
Station #38,5102,Square feet,168,69599.42621,kWh,18773.82527,Cubic meter,"38,170"
Station #39,1927,Square feet,168,41646.77146,kWh,0,Cubic meter,"1,499"
Station #40,12798,Square feet,168,164849.3419,kWh,17497.99022,Cubic meter,"39,175"
Station #41,1841,Square feet,168,84957.88037,kWh,14369.00067,Cubic meter,"30,355"
Station #42,6997,Square feet,168,122124.6815,kWh,13681.28194,Cubic meter,"30,387"
Station #45,11496,Square feet,168,85123.41124,kWh,11348.72939,Cubic meter,"24,624"
Station #46,1572,Square feet,168,21069.71115,kWh,7445.317792,Cubic meter,"14,902"
Station #47,1787,Square feet,168,37819.17355,kWh,4697.51003,Cubic meter,"10,285"
Station #52,38760,Square feet,168,696813.8288,kWh,58512.89397,Cubic meter,"136,242"
Station #54,1324,Square feet,168,67467.10432,kWh,15453.04154,Cubic meter,"31,785"
Etobicoke Animal Centre,6588,Square feet,168,282291.9796,kWh,63553.167,Cubic meter,"130,894"
North York Animal Centre,13218,Square feet,168,338797.5262,kWh,8695.403448,Cubic meter,"28,715"
Scarborough Animal Centre,12831,Square feet,168,345067.6926,kWh,61121.80581,Cubic meter,"128,535"
Albion Road Childcare Centre,5543,Square feet,100,55621.79911,kWh,16103.50953,Cubic meter,"32,594"
Ancaster Childcare Centre,7018,Square feet,100,149276.8392,kWh,14633.25375,Cubic meter,"33,173"
City Kids Childcare Centre,8460,Square feet,100,61221.50015,kWh,8918.231208,Cubic meter,"19,146"
Danforth Childcare Centre,6351,Square feet,100,124508.8309,kWh,8467.080173,Cubic meter,"20,567"
Davisville Childcare Centre,3595,Square feet,100,25142.3655,kWh,0,Cubic meter,905
Jesse Ketchum Childcare Centre,11550,Square feet,100,23860.8972,kWh,27331.05667,Cubic meter,"52,780"
Malvern Childcare Centre,6501,Square feet,100,151143.7179,kWh,7682.914,Cubic meter,"20,036"
Regent Park Childcare Centre,15963,Square feet,100,305919.1124,kWh,0,Cubic meter,"11,013"
Thomas Berry Childcare Centre,9117,Square feet,100,118601.3745,kWh,21346.09217,Cubic meter,"44,821"
Willowridge Childcare Centre,4844,Square feet,100,72359.58284,kWh,20199.15494,Cubic meter,"40,977"
Woodbine Childcare Centre,4801,Square feet,100,49967.40823,kWh,0,Cubic meter,"1,799"
Roselawn Comm Tower,1,Square feet,168,57596.38238,kWh,0,Cubic meter,"2,073"
St Clair Comm Tower,1,Square feet,168,62278.51881,kWh,0,Cubic meter,"2,242"
519 Church St Comm Ctr,15554,Square feet,100,466784.1647,kWh,0,Cubic meter,"16,804"
Amesbury Community Center,37975,Square feet,100,268415.1711,kWh,37893.22313,Cubic meter,"81,648"
Ancaster C.C.,7513,Square feet,100,91837.75316,kWh,15512.44739,Cubic meter,"32,775"
Annette R.C,20774,Square feet,100,356478.0955,kWh,0,Cubic meter,"12,833"
Armour Height C.C,19773,Square feet,100,204597.125,kWh,22821.42358,Cubic meter,"50,719"
Banbury C.C.,9537,Square feet,100,117133.0587,kWh,14950.09545,Cubic meter,"32,617"
Berner Trail C.C,10204,Square feet,100,107053.0853,kWh,24877.25384,Cubic meter,"51,113"
Birchmount C.C,46166,Square feet,100,1324707.215,kWh,258253.0099,Cubic meter,"538,290"
Birkdale C.C,11733,Square feet,100,261155.8489,kWh,11791.53506,Cubic meter,"31,802"
Bocci Club,4004,Square feet,100,6769.055047,kWh,0,Cubic meter,244
Burrows Hall Community Complex,43185,Square feet,100,808200.9369,kWh,52652.83463,Cubic meter,"129,119"
Carmine Stefano Community Ctr,57867,Square feet,100,226287.9994,kWh,88777.23271,Cubic meter,"176,796"
Cecil Community Ctr,5769,Square feet,100,69242.495,kWh,0,Cubic meter,"2,493"
Cedar Brook C.C,14951,Square feet,100,142581.1262,kWh,6516.366061,Cubic meter,"17,512"
Chapley C.C / Wilmington Park,6997,Square feet,100,336831.4606,kWh,21844.44904,Cubic meter,"53,624"
Commander Park C.C,56317,Square feet,100,936822.3979,kWh,54290.6059,Cubic meter,"136,861"
Community Centre 55,8999,Square feet,100,57691.24652,kWh,0,Cubic meter,"2,077"
Curran Hall C.C,2508,Square feet,100,46991.46371,kWh,7474.557613,Cubic meter,"15,891"
Davenport C.C,2282,Square feet,100,8260.675626,kWh,3775.388508,Cubic meter,"7,469"
David Appleton Community Centre,2906,Square feet,100,59059.04687,kWh,8038.343869,Cubic meter,"17,396"
Don Montgomery,89125,Square feet,100,1931331.73,kWh,149275.6033,Cubic meter,"353,105"
Driftwood C.C,25015,Square feet,100,323755.3981,kWh,53080.95246,Cubic meter,"112,493"
Earl Bales C.C & Senior,21657,Square feet,100,328211.5238,kWh,40156.90961,Cubic meter,"88,101"
East Scar Boys/Girls Club,13972,Square feet,100,332702.8904,kWh,33321.65972,Cubic meter,"75,278"
East York Community Centre,31000,Square feet,100,480046.9025,kWh,131277.2778,Cubic meter,"266,668"
Eastview Neighbourhood Comm Ctr,25510,Square feet,100,342962.8108,kWh,27415.05091,Cubic meter,"64,427"
Edithvale C.C,24725,Square feet,100,716315.568,kWh,36588.05957,Cubic meter,"95,293"
Ellesmere C.C,24402,Square feet,100,196439.0177,kWh,28073.7971,Cubic meter,"60,403"
Elmbank Community Centre,14725,Square feet,100,154935.1984,kWh,18610.64804,Cubic meter,"40,932"
Fairbank Memorial R.C.,19364,Square feet,100,258763.0167,kWh,39790.94512,Cubic meter,"84,906"
