Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Station #32,3218,Square feet,168,20167.19507,kWh,4334.224375,Cubic meter,"10,131.3"
Station #33,3132,Square feet,168,26638.04594,kWh,4476.579354,Cubic meter,"11,021.9"
Station #34 (save-a-life),13939,Square feet,168,52905.58824,kWh,29945.72621,Cubic meter,"61,697.3"
Station #37,4413,Square feet,168,42594.65862,kWh,6061.001492,Cubic meter,"15,549.9"
Station #38,5102,Square feet,168,59286.71,kWh,14914.96627,Cubic meter,"33,892.5"
Station #40,12798,Square feet,168,154447.451,kWh,12123.46118,Cubic meter,"37,754.1"
Station #42,6997,Square feet,168,121747.5453,kWh,15406.27945,Cubic meter,"40,820.2"
Station #44,2799,Square feet,168,27139.09938,kWh,6861.981364,Cubic meter,"15,579.9"
Station #45,11496,Square feet,168,70571.69117,kWh,14857.03636,Cubic meter,"34,866.8"
Station #46,1572,Square feet,168,21393.98489,kWh,4845.930323,Cubic meter,"11,216.5"
Station #47,1787,Square feet,168,29588.79118,kWh,1931.751136,Cubic meter,"6,493.9"
519 Church St Comm Ctr,15554,Square feet,100,545087.6984,kWh,46841.34544,Cubic meter,"140,909.7"
Albion Comm Ctr & Pool (indoor),20688,Square feet,100,505110.5238,kWh,138476.189,Cubic meter,"310,317.6"
Amesbury Community Center,37975,Square feet,100,278146.4375,kWh,40212.58836,Cubic meter,"102,740.2"
Annette R.C,20774,Square feet,100,428702.8892,kWh,,,"41,172.6"
Armour Height C.C,19773,Square feet,100,218081.315,kWh,21338.51657,Cubic meter,"61,287.7"
Banbury C.C.,9537,Square feet,100,100796.2519,kWh,10772.48529,Cubic meter,"30,047.2"
Berner Trail C.C,10204,Square feet,100,201638.0235,kWh,22898.78604,Cubic meter,"62,658.4"
Birchmount C.C,46166,Square feet,100,1406756.677,kWh,169960.3947,Cubic meter,"456,436.6"
Birkdale C.C,11733,Square feet,100,254713.2292,kWh,6110.950554,Cubic meter,"36,016.2"
Burrows Hall Community Complex,43185,Square feet,100,896728.5529,kWh,17149.7815,Cubic meter,"118,545.7"
Carmine Stefano Community Ctr,57867,Square feet,100,261509.8333,kWh,100459.8506,Cubic meter,"215,047.5"
Cecil Community Ctr,5769,Square feet,100,88372.75439,kWh,23300.92278,Cubic meter,"52,540.7"
Cedar Brook C.C,14951,Square feet,100,153503.7952,kWh,8589.68697,Cubic meter,"30,982.4"
Chapley C.C / Wilmington Park,6997,Square feet,100,347196.4337,kWh,16632.98879,Cubic meter,"64,791.5"
Commander Park C.C,56317,Square feet,100,908365.0716,kWh,52763.02726,Cubic meter,"186,994.6"
Community Centre 55,8999,Square feet,100,72769,kWh,7374.235294,Cubic meter,"20,930.7"
Curran Hall C.C,2508,Square feet,100,38900.09954,kWh,3532.56533,Cubic meter,"10,414.7"
Davenport C.C,2282,Square feet,100,1382.186509,kWh,5229.465333,Cubic meter,"10,019.7"
David Appleton Community Centre,2906,Square feet,100,74212.8684,kWh,6022.975938,Cubic meter,"18,514.6"
Driftwood C.C,25015,Square feet,100,369260.1968,kWh,42502.86875,Cubic meter,"115,820.8"
Earl Bales C.C & Senior,21657,Square feet,100,348755.9212,kWh,34483.19454,Cubic meter,"98,689.4"
Earl Bales Park,10409,Square feet,100,291720.1929,kWh,,,"28,016.8"
East Scar Boys/Girls Club,13972,Square feet,100,306630.9355,kWh,53149.23702,Cubic meter,"129,934.2"
East York Community Centre,31000,Square feet,100,487004.2353,kWh,129211.1251,Cubic meter,"291,061.9"
Eastview Neighbourhood Comm Ctr,25510,Square feet,100,391014.098,kWh,28560.31882,Cubic meter,"91,549.9"
