Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Fire Station 233,11001,Square feet,168,87120.525,kWh,20638.4939,Cubic meter,"47,386.7"
Fire Station 234,5350,Square feet,168,47889.2803,kWh,12213.17514,Cubic meter,"27,689.8"
Fire Station 235,8902,Square feet,168,107400.1875,kWh,20868.27097,Cubic meter,"49,768.8"
Fire Station 241,5500,Square feet,168,45141.70625,kWh,12586.19693,Cubic meter,"28,131.2"
Fire Station 242,5500,Square feet,168,56713.5,kWh,11950.2996,Cubic meter,"28,040.3"
Fire Station 243,5350,Square feet,168,50389.29412,kWh,16716.06772,Cubic meter,"36,443.2"
Fire Station 244,5350,Square feet,168,52406.88636,kWh,12230.48872,Cubic meter,"28,156.4"
Fire Station 245,5608,Square feet,168,43727.6148,kWh,10764.39929,Cubic meter,"24,551.1"
Fire Station 311,12755,Square feet,168,60851.87817,kWh,25494.6825,Cubic meter,"54,045.1"
Fire Station 312,9806,Square feet,168,95752.63277,kWh,21189.47344,Cubic meter,"49,257.5"
Fire Station 313,12099,Square feet,168,156546.0098,kWh,34588.77348,Cubic meter,"80,429.1"
Fire Station 314,11937,Square feet,168,53286.61485,kWh,22956.73133,Cubic meter,"48,520.3"
Fire Station 315,7244,Square feet,168,102629.9775,kWh,24015.42969,Cubic meter,"55,260.8"
Fire Station 321,7535,Square feet,168,91709.43465,kWh,17475.08553,Cubic meter,"41,846.6"
Fire Station 322,7535,Square feet,168,40233.77005,kWh,16277.41871,Cubic meter,"34,638.6"
Fire Station 323,10236,Square feet,168,112037.7731,kWh,31538.05543,Cubic meter,"70,386.8"
Fire Station 324,13153,Square feet,168,79827.58824,kWh,23986.633,Cubic meter,"53,016.4"
Fire Station 325,10129,Square feet,168,91963.0625,kWh,22726.13522,Cubic meter,"51,798.8"
Fire Station 331,10979,Square feet,168,85494.985,kWh,19061.47882,Cubic meter,"44,249.1"
Fire Station 332,24865,Square feet,168,299050.3302,kWh,31922.2117,Cubic meter,"89,073.8"
Fire Station 333,12723,Square feet,168,125677.065,kWh,27148.62805,Cubic meter,"63,398.0"
Fire Station 334,13003,Square feet,168,354847.6168,kWh,18794.43646,Cubic meter,"69,612.8"
Fire Station 335,4402,Square feet,168,115382.152,kWh,7968.142906,Cubic meter,"26,146.1"
Fire Station 341,9268,Square feet,168,81201.91536,kWh,26208.80742,Cubic meter,"57,349.7"
Fire Station 342,3057,Square feet,168,28242.7803,kWh,9792.982299,Cubic meter,"21,227.3"
Fire Station 343,9827,Square feet,168,49202.27485,kWh,20720.34242,Cubic meter,"43,899.8"
Fire Station 344,11238,Square feet,168,76084.37676,kWh,26825.82469,Cubic meter,"58,024.8"
Fire Station 345,12809,Square feet,168,121385.1638,kWh,37347.75598,Cubic meter,"82,268.5"
Fire Station 411,8762,Square feet,168,77996.11833,kWh,9067.799305,Cubic meter,"24,634.6"
Fire Station 412,7029,Square feet,168,76034.89032,kWh,19146.86909,Cubic meter,"43,502.0"
Fire Station 413,3929,Square feet,168,38654.88971,kWh,7793.882353,Cubic meter,"18,447.7"
Fire Station 415,7804,Square feet,168,71127.76471,kWh,13620.08437,Cubic meter,"32,581.6"
Fire Station 421,9461,Square feet,168,108331.8838,kWh,16229.20428,Cubic meter,"41,087.6"
Fire Station 422,7944,Square feet,168,62904,kWh,18117.08065,Cubic meter,"40,293.9"
Fire Station 423,12335,Square feet,168,103865.7242,kWh,26042.55298,Cubic meter,"59,212.0"
Fire Station 424,5866,Square feet,168,57254.61765,kWh,16321.21636,Cubic meter,"36,356.1"
Fire Station 425,7955,Square feet,168,50502.91177,kWh,6954.544118,Cubic meter,"17,998.7"
Fire Station 426,12486,Square feet,168,178754.1036,kWh,29528.20462,Cubic meter,"72,994.4"
Fire Station 431,3907,Square feet,168,39049.09226,kWh,7926.327726,Cubic meter,"18,736.0"
Fire Station 432,11765,Square feet,168,108880.2484,kWh,28879.58087,Cubic meter,"65,057.4"
Fire Station 433,5038,Square feet,168,97226.52206,kWh,8230.543377,Cubic meter,"24,898.5"
Fire Station 434,5188,Square feet,168,29467.09836,kWh,10785.26849,Cubic meter,"23,220.9"
Fire Station 435,6889,Square feet,168,83720.44957,kWh,9330.181389,Cubic meter,"25,680.4"
Fire Station 441,19472,Square feet,168,121076.8043,kWh,20544.94477,Cubic meter,"50,471.0"
Fire Station 442,15479,Square feet,168,215713.2161,kWh,20699.8069,Cubic meter,"59,852.7"
Fire Station 443,3929,Square feet,168,34821.31382,kWh,9374.231819,Cubic meter,"21,067.4"
Fire Station 444,3929,Square feet,168,28638.12706,kWh,9255.018236,Cubic meter,"20,248.2"
Fire Station 445,11765,Square feet,168,125418.4874,kWh,14885.13441,Cubic meter,"40,187.4"
Fire Stn former TO #35,3143,Square feet,168,136418.4512,kWh,,,"13,101.6"
Fire Training Centre,7998,Square feet,168,63865.39471,kWh,9532.074977,Cubic meter,"24,155.2"
HUSAR,11485,Square feet,168,235400.692,kWh,18359.58065,Cubic meter,"57,319.0"
Rotherham Ave 15,23002,Square feet,168,165340.295,kWh,28352.17424,Cubic meter,"69,482.7"
Toryork Office,42625,Square feet,168,701434.8323,kWh,119441.8049,Cubic meter,"293,185.7"
Agincourt Arena and R.C,93398,Square feet,100,2293784.393,kWh,323653.7451,Cubic meter,"832,203.6"
Antibes Park,18492,Square feet,100,388551.1439,kWh,63996.44317,Cubic meter,"158,309.9"
Bennington Heights Clubhouse,1432,Square feet,100,6681.287581,kWh,2538.808825,Cubic meter,"5,441.6"
Broadlands R.C & A.I.R,10667,Square feet,100,411661.7396,kWh,20786.31281,Cubic meter,"78,835.2"
Centennial R.C (Ice Galaxy),102376,Square feet,100,2794516.266,kWh,203647.0939,Cubic meter,"653,406.0"
Davisville Park/Tennis,2777,Square feet,100,102758.9884,kWh,15035.08424,Cubic meter,"38,294.7"
Dovercourt B&G Club,23971,Square feet,100,179435.7054,kWh,71408.5207,Cubic meter,"152,239.9"
East York Clubhouse,1001,Square feet,100,14399.19444,kWh,2286.419412,Cubic meter,"5,705.7"
East York Curling Club House,17868,Square feet,100,382518.1188,kWh,32381.02839,Cubic meter,"97,957.5"
Etobicoke Olympium,139995,Square feet,100,2944481.194,kWh,596193.7553,Cubic meter,"1,409,968.0"
Fairfield Senior Centre,14316,Square feet,100,100571.5459,kWh,53219.29061,Cubic meter,"110,276.7"
Flemingdon RC & Pool,34348,Square feet,100,691203.6809,kWh,47455.41318,Cubic meter,"156,103.7"
George Webster Clubhouse,1302,Square feet,100,22642.33677,kWh,2825.08001,Cubic meter,"7,515.7"
Gord & Irene Risk Arena & R.C,44304,Square feet,100,786609.2701,kWh,83175.41353,Cubic meter,"232,799.6"
Goulding Arena & R.C,43540,Square feet,100,758179.4516,kWh,83574.22216,Cubic meter,"230,823.2"
Grandravine Arena & R.C,33637,Square feet,100,489463.3396,kWh,59706.80545,Cubic meter,"159,891.4"
Horner Senior Centre,4252,Square feet,100,34409.96142,kWh,4833.899314,Cubic meter,"12,443.8"
Islington Senior Centre,9967,Square feet,100,72445.30849,kWh,9784.146909,Cubic meter,"25,455.8"
Jimmie Simpson R.C,43906,Square feet,100,1377951.498,kWh,218857.2726,Cubic meter,"546,115.9"
John Booth Arena & R.C,27007,Square feet,100,619938.3296,kWh,35361.01985,Cubic meter,"126,393.4"
Joseph J. Piccininni R.C,70030,Square feet,100,1092801.844,kWh,138181.5303,Cubic meter,"366,202.4"
L'Amoreaux C.C,25995,Square feet,100,361370.9095,kWh,,,"34,706.1"
L'Amoreaux Park Yard,1690,Square feet,100,48586.90779,kWh,,,"4,666.3"
L'Amoreaux Sports and Tennis,56253,Square feet,100,1053914.621,kWh,122578,Cubic meter,"332,967.2"
Leaside Gardens Curling Club,27814,Square feet,100,524190.7335,kWh,33511.63085,Cubic meter,"113,701.3"
Malvern R.C,106466,Square feet,100,2715204.516,kWh,161483.2127,Cubic meter,"566,072.8"
Markdale Rec & Daycare,1829,Square feet,100,34600.69804,kWh,2993.853,Cubic meter,"8,983.3"
Matty Eckler R.C,47383,Square feet,100,410680.9279,kWh,108632.904,Cubic meter,"244,826.1"
McCormick R.C,43099,Square feet,100,2010087.903,kWh,161377.3519,Cubic meter,"498,153.2"
Milliken Park Rec Center,17631,Square feet,100,306287.33,kWh,22999.91929,Cubic meter,"72,900.1"
Oriole Arena & R.C,64347,Square feet,100,1401764.635,kWh,79944.9967,Cubic meter,"285,771.6"
Pelmo ParkTennis,2573,Square feet,100,103348.117,kWh,7063.799784,Cubic meter,"23,280.6"
Pleasantview Arena & R.C,30559,Square feet,100,830663.4286,kWh,104181.9638,Cubic meter,"276,746.1"
Roding Arena & R.C,30494,Square feet,100,597492.5334,kWh,32058.56667,Cubic meter,"117,994.0"
St Albans Boys Club,23293,Square feet,100,294632.7908,kWh,72054.65837,Cubic meter,"164,525.0"
Stan Wadlow Clubhouse,10323,Square feet,100,116686.1986,kWh,15442.70968,Cubic meter,"40,402.9"
Todmorden Mills Butler Building,17707,Square feet,100,300285.3212,kWh,28272.0075,Cubic meter,"82,291.2"
Topham Park Clubhouse,3283,Square feet,100,28882.06592,kWh,6976.44054,Cubic meter,"15,963.7"
Trace Manes Clubhouse,6329,Square feet,100,34488.79412,kWh,12569.77624,Cubic meter,"27,077.1"
Trinity Comm Rec Ctr,36909,Square feet,100,682096.3824,kWh,223687.5617,Cubic meter,"488,418.3"
University Settlement House R.C,47566,Square feet,100,630910.7742,kWh,155764.9844,Cubic meter,"355,086.2"
W Acres Senior Ctr,4994,Square feet,100,37188.48693,kWh,8594.64492,Cubic meter,"19,820.9"
Whitlam Warehouse,24865,Square feet,100,209560.5306,kWh,35068.64167,Cubic meter,"86,427.9"
Willowdale Lawn Bowling,2293,Square feet,100,56274.38235,kWh,8820.734545,Cubic meter,"22,081.3"
Albion Arena,32658,Square feet,100,420273.0094,kWh,28744.06148,Cubic meter,"94,707.3"
Amesbury Arena,26942,Square feet,100,670489.7213,kWh,90084.63271,Cubic meter,"234,710.3"
Baycrest Arena,27060,Square feet,100,411860.5,kWh,41283.63925,Cubic meter,"117,607.0"
Bayview Arena,28417,Square feet,100,407407.0294,kWh,46942.19172,Cubic meter,"127,877.5"
Central Arena,32001,Square feet,100,1462757.355,kWh,188205.7838,Cubic meter,"496,310.2"
Chris Tonks Arena,23638,Square feet,100,327016.6733,kWh,21428.4281,Cubic meter,"71,919.8"
Cummer Arena,34348,Square feet,100,1409314.419,kWh,172471.0713,Cubic meter,"461,429.0"
Don MilIs Arena,27857,Square feet,100,583523.3791,kWh,49494.13633,Cubic meter,"149,616.5"
Downsview Arena,34218,Square feet,100,707673.5645,kWh,68928.42574,Cubic meter,"198,282.9"
East York Arena,30257,Square feet,100,839507.611,kWh,56317.58065,Cubic meter,"187,101.8"
Etobicoke Centennial Arena,65466,Square feet,100,2087282.681,kWh,67620.91551,Cubic meter,"328,308.6"
Fenside Arena,26307,Square feet,100,349516.7155,kWh,41273.11355,Cubic meter,"111,599.6"
Flemingdon Arena,25640,Square feet,100,507742.0841,kWh,34079.32471,Cubic meter,"113,194.8"
Forest Hill Memorial Arena,40666,Square feet,100,320292.9794,kWh,75517.66,Cubic meter,"173,536.7"
George Bell Arena,41786,Square feet,100,555571.8033,kWh,39710.41622,Cubic meter,"128,434.7"
Habitant Arena,26307,Square feet,100,451056.7467,kWh,52661.40797,Cubic meter,"142,882.6"
Herbert Carnegie Centennial Arena,42270,Square feet,100,904867.9632,kWh,153969.2326,Cubic meter,"378,001.9"
Lambton Park Arena,24854,Square feet,100,602297.7945,kWh,32282.42161,Cubic meter,"118,878.7"
Leaside Gardens,25586,Square feet,100,743910.7244,kWh,,,"71,445.2"
Long Branch Arena,25629,Square feet,100,492309.1783,kWh,34997.72345,Cubic meter,"113,449.0"
McCormick Arena,37082,Square feet,100,1005043.952,kWh,62251.1652,Cubic meter,"214,218.2"
Mimico Arena,35607,Square feet,100,572783.9913,kWh,35420.09639,Cubic meter,"121,976.4"
Mitchell Field Arena,30182,Square feet,100,912957.3382,kWh,62654.66156,Cubic meter,"206,137.0"
Moss Park Arena,22335,Square feet,100,887729.4085,kWh,39540.98396,Cubic meter,"160,014.8"
Phil White Arena,25941,Square feet,100,604033.9834,kWh,18691.6691,Cubic meter,"93,350.4"
Pine Point Arena,32001,Square feet,100,561034.2813,kWh,31167.93455,Cubic meter,"112,808.7"
Scarborough Arena Gardens,38320,Square feet,100,702762.3162,kWh,51413.93626,Cubic meter,"164,697.9"
Ted Reeve Arena,40601,Square feet,100,1011326.851,kWh,,,"97,127.8"
Victoria Village Arena,33637,Square feet,100,863948.5,kWh,52007.54323,Cubic meter,"181,300.5"
York Mills Arena,23573,Square feet,100,497239.4168,kWh,27217.92371,Cubic meter,"99,213.8"
John Innes C.C,52231,Square feet,100,549059,kWh,77387.82196,Cubic meter,"199,043.1"
Alderwood Pool (indoor),13401,Square feet,100,,,147495.7711,Cubic meter,"278,859.5"
Douglas Snow Aquatic Center,40666,Square feet,100,945608.6181,kWh,301116.0895,Cubic meter,"660,114.5"
Gus Ryder Pool (indoor),21097,Square feet,100,857934.9341,kWh,183005.233,Cubic meter,"428,390.7"
Harrison Pool,15263,Square feet,100,180666.1933,kWh,60888.01152,Cubic meter,"132,467.7"
Memorial Pool,13444,Square feet,100,15645.74597,kWh,,,"1,502.6"
Norseman Pool (indoor),19052,Square feet,100,396982.1344,kWh,126227.9028,Cubic meter,"276,776.0"
S.H Armstrong R.C,18277,Square feet,100,239244.5897,kWh,28613.95886,Cubic meter,"77,075.4"
The Elms Pool (indoor),13885,Square feet,100,380274.2808,kWh,114634.2203,Cubic meter,"253,252.1"
Wallace-Emerson C.C,51882,Square feet,100,877984.2574,kWh,142871.5906,Cubic meter,"354,438.5"
Etobicoke Animal Centre,6588,Square feet,70,199756.645,kWh,70243.31161,Cubic meter,"151,988.5"
North York Animal Centre,13218,Square feet,70,188116.5125,kWh,71525.11326,Cubic meter,"153,294.0"
Scarborough Animal Centre,12831,Square feet,70,338147.1479,kWh,64890.76623,Cubic meter,"155,159.9"
York Animal Centre,14790,Square feet,70,17337.59532,kWh,3192.387097,Cubic meter,"7,700.7"
Albion Road Childcare Centre,5543,Square feet,100,85399.70092,kWh,11525.39706,Cubic meter,"29,992.0"
Ancaster Childcare Centre,7018,Square feet,100,146571.9288,kWh,14452.71906,Cubic meter,"41,401.5"
Bellevue Childcare Centre,6706,Square feet,100,83464.20996,kWh,13483.72063,Cubic meter,"33,508.6"
City Kids Childcare Centre,8460,Square feet,100,88814.408,kWh,8896.409891,Cubic meter,"25,349.5"
Danforth Childcare Centre,6351,Square feet,100,146041.7634,kWh,10301.11429,Cubic meter,"33,501.4"
Davisville Childcare Centre,3595,Square feet,100,27382.68218,kWh,,,"2,629.8"
Hollis Childcare Centre,5576,Square feet,100,92011.27273,kWh,15318.66083,Cubic meter,"37,798.6"
Jesse Ketchum Childcare Centre,11550,Square feet,100,31755.38494,kWh,26373.60046,Cubic meter,"52,912.4"
Malvern Childcare Centre,6501,Square feet,100,206852.4317,kWh,6425.377219,Cubic meter,"32,014.1"
Squirrel's Nest Daycare Centre,8697,Square feet,100,,,11373.54546,Cubic meter,"21,503.1"
St. Marks Childcare Centre,4004,Square feet,100,12934.88542,kWh,,,"1,242.3"
Thomas Berry Childcare Centre,9117,Square feet,100,106431.0538,kWh,29830.14353,Cubic meter,"66,619.3"
Willowridge Childcare Centre,4844,Square feet,100,94534.67647,kWh,15612.29054,Cubic meter,"38,596.1"
Woodbine Childcare Centre,4801,Square feet,100,62762.94398,kWh,1702.26393,Cubic meter,"9,246.1"
Albion Gardens,0,Square feet,100,7148.911765,kWh,,,686.6
Alexander Muir Park Gardens,0,Square feet,100,49888.24326,kWh,2714.235294,Cubic meter,"9,922.9"
Allan Gardens,25177,Square feet,100,200344.1472,kWh,143027.6458,Cubic meter,"289,653.0"
Centennial Greenhouse,29170,Square feet,100,271347.8595,kWh,185692.3216,Cubic meter,"377,135.2"
Cloud Gardens,6243,Square feet,100,284742.9071,kWh,,,"56,627.6"
Craigleigh Gardens,0,Square feet,100,18991.24456,kWh,,,"1,823.9"
High Park Greenhouses,60386,Square feet,100,587027.8021,kWh,486008.5476,Cubic meter,"975,239.0"
Ivan Forrest Gardens,0,Square feet,100,2027.722405,kWh,,,194.7
Ravina Gardens,194,Square feet,100,2037.472794,kWh,,,195.7
Riverlea Greenhouse,17018,Square feet,100,143223.4337,kWh,73078.97898,Cubic meter,"151,920.3"
Rockcliffe GreenHouse,12271,Square feet,100,149916.5965,kWh,93037.38523,Cubic meter,"190,297.0"
Rosetta Mcclain Gardens,1098,Square feet,100,30618.70588,kWh,,,"2,940.6"
Dee Avenue Lab,14994,Square feet,70,1440438.581,kWh,47013.17672,Cubic meter,"227,224.1"
Beare Road Landfill,5942,Square feet,70,263766.1997,kWh,,,"25,332.1"
Brock West Landfill,10764,Square feet,70,153143.6804,kWh,,,"14,707.9"
Donlands Landfill,0,Square feet,70,54073.25669,kWh,,,"5,193.2"
Keele Valley Landfill,10764,Square feet,70,511881.3195,kWh,,,"49,161.1"
Bendale Acres,210327,Square feet,168,3867605.742,kWh,583115.9548,Cubic meter,"1,473,899.6"
Carefree Lodge,67490,Square feet,168,1162021.337,kWh,121161.9457,Cubic meter,"340,672.6"
Castleview Wychwood Towers,294447,Square feet,168,5215198.595,kWh,252924.1605,Cubic meter,"979,052.9"
Cummer Lodge,243200,Square feet,168,5153876.917,kWh,543713.6465,Cubic meter,"1,522,938.0"
Fudger House,118995,Square feet,168,1920108.645,kWh,375882.6915,Cubic meter,"895,061.2"
Kipling Acres,184590,Square feet,168,2100605.032,kWh,343371.4249,Cubic meter,"850,929.4"
Lakeshore Lodge,88964,Square feet,168,1673487.71,kWh,179405.1778,Cubic meter,"499,910.0"
Seven Oaks,133311,Square feet,168,2783226.774,kWh,364139.7257,Cubic meter,"955,753.5"
True Davidson Acres,130082,Square feet,168,2546716.846,kWh,331649.4368,Cubic meter,"871,612.1"
Wesburn Manor,150867,Square feet,168,2114429.785,kWh,356539.8266,Cubic meter,"877,153.7"
Abbotsford Park,0,Square feet,100,1620.534454,kWh,,,155.6
Adams Park,0,Square feet,100,146830.7595,kWh,,,"14,101.6"
Albert Standing Park,0,Square feet,100,28905.4958,kWh,,,"2,776.1"
Aldwych Ave Tot Lo,0,Square feet,100,35757.66865,kWh,,,"3,434.2"
Alex Duff Pool,0,Square feet,100,438449.0876,kWh,24747.51676,Cubic meter,"88,897.0"
Alexandra Park,22873,Square feet,100,347004.5677,kWh,,,"33,326.3"
Allan A Lamport Stadium,16297,Square feet,100,546899.7056,kWh,308069.9571,Cubic meter,"634,969.6"
Amesbury Park,0,Square feet,100,31088.6875,kWh,,,"2,985.8"
Amos Waites Pool (outdoor),1356,Square feet,100,61710.42857,kWh,,,"5,926.7"
Amsterdam Square,0,Square feet,100,43293.20536,kWh,,,"4,157.9"
Anniversary Park,0,Square feet,100,4443.147059,kWh,,,426.7
Art Eggleton Park,0,Square feet,100,1571.095735,kWh,,,150.9
Ashbridges Bay Park,721,Square feet,100,52654.14099,kWh,,,"5,056.9"
Ashtonbee Reservoir Park,0,Square feet,100,2873.941176,kWh,,,276.0
Avondale Park,0,Square feet,100,2655.5,kWh,,,255.0
Baird Park W.Pool,1970,Square feet,100,26785.40676,kWh,5352.013548,Cubic meter,"12,691.1"
Bathurst-Wilson Parkette,0,Square feet,100,314.874706,kWh,,,30.2
Beaty Ave Parkette,0,Square feet,100,2278.897436,kWh,,,218.9
Beaty Parkette,0,Square feet,100,6381.164105,kWh,,,612.8
Bellbury A.I.R,2303,Square feet,100,74001.96015,kWh,,,"7,107.1"
Berczy Park,0,Square feet,100,63841.53017,kWh,,,"6,131.3"
Beresford Park,183,Square feet,100,15507.26051,kWh,,,"1,489.3"
Bestview Park,0,Square feet,100,11183.88282,kWh,,,"1,074.1"
Birchmount Stadium,0,Square feet,100,119401.0368,kWh,,,"11,467.3"
Blantyre Pool,1819,Square feet,100,49187.77554,kWh,7473.593548,Cubic meter,"18,853.8"
Bloordale Park,0,Square feet,100,78611.52107,kWh,,,"7,549.9"
Bluffers Park,5253,Square feet,100,2847014.452,kWh,,,"273,427.3"
Bond Park Baseball,1625,Square feet,100,551878.54,kWh,,,"53,002.4"
Borough of North York Park,0,Square feet,100,29819.45,kWh,2916.399605,Cubic meter,"8,377.7"
Botanyhill Park,0,Square feet,100,8369,kWh,,,803.8
Briar Crest Park,0,Square feet,100,3741.911765,kWh,,,359.4
Bridlewood Park,2433,Square feet,100,11926.92747,kWh,,,"1,145.5"
Brookbanks Park,861,Square feet,100,196879.2273,kWh,,,"18,908.3"
Buttonwood Rink,0,Square feet,100,204964.3,kWh,,,"19,684.8"
Caledonia Park Baseball,1765,Square feet,100,34087.43418,kWh,,,"3,273.8"
Campbell Ave Playground,1453,Square feet,100,171915.1833,kWh,,,"16,510.7"
Carlton Park,506,Square feet,100,7295.682143,kWh,,,700.7
Cassels Ave Playground,183,Square feet,100,1566.666333,kWh,,,150.5
Cathedral Square Park,0,Square feet,100,7358.463235,kWh,,,706.7
Cawthra Sq W.Pool,0,Square feet,100,4557.592013,kWh,,,437.7
Cedarvale Park,0,Square feet,100,598.62706,kWh,,,57.5
Centennial Ski Chalet,7621,Square feet,100,228995.2743,kWh,,,"21,992.7"
Centennial Ski Hill,0,Square feet,100,235767.3143,kWh,,,"22,643.1"
Centre Island Buildings,11926,Square feet,100,376638.3715,kWh,,,"36,172.3"
Chaplin Parkette,0,Square feet,100,12629.96405,kWh,,,"1,213.0"
Charlotte Maher Park,0,Square feet,100,962.315637,kWh,,,92.4
Charlottetown Park,0,Square feet,100,2736,kWh,,,262.8
Christie Pits,29536,Square feet,100,17905.37955,kWh,4666.524926,Cubic meter,"10,542.3"
City Hall Nathan Phillips Sqr,3606,Square feet,100,646093.8461,kWh,,,"160,283.9"
Clanton Park Baseball,3025,Square feet,100,34724.91177,kWh,27.130811,Cubic meter,"3,386.3"
Close Avenue Parkette,0,Square feet,100,13671.94432,kWh,,,"1,313.1"
Cloverdale Park,0,Square feet,100,9457.749999,kWh,,,908.3
Clydesdale Park Tennis,2185,Square feet,100,65468.54186,kWh,,,"6,287.6"
Coleman Park,226,Square feet,100,3354.386185,kWh,,,322.2
Colonel Danforth Park,2723,Square feet,100,13234.24125,kWh,,,"1,271.0"
Colonel Samuel Smith Park,0,Square feet,100,52310.73667,kWh,34418.06424,Cubic meter,"70,095.6"
Columbus Parkette,226,Square feet,100,4425.579415,kWh,,,425.0
Connorvale Park,0,Square feet,100,32745.22061,kWh,,,"3,144.9"
Coronation Park,8105,Square feet,100,209301.3333,kWh,,,"20,101.3"
Cosburn Park,0,Square feet,100,2479.984127,kWh,,,238.2
Cresthaven Park Tennis,1916,Square feet,100,64592.71917,kWh,,,"6,203.5"
Cumberland St Parkette,0,Square feet,100,121131.4112,kWh,,,"11,633.5"
David A. Balfour Park,0,Square feet,100,19656.34481,kWh,3101.265758,Cubic meter,"7,751.1"
Dentonia Park Ave Unit F,0,Square feet,100,15355.79394,kWh,,,"1,474.8"
Dentonia Park Clubhouse,3165,Square feet,100,14215.7114,kWh,,,"1,365.3"
Dentonia Park Golf Course,9214,Square feet,100,82379.54889,kWh,,,"7,911.7"
Derrydowns Park,743,Square feet,100,3847.933514,kWh,,,369.6
Dieppe Park Ice Rink,3498,Square feet,100,308888.7564,kWh,10254.175,Cubic meter,"49,052.5"
Dieppe Rd Unit Prk,0,Square feet,100,8453.826667,kWh,,,811.9
Dixon Rink,0,Square feet,100,1747,kWh,,,167.8
Don Valley Gc Service Bldg,3574,Square feet,100,36585.63585,kWh,10918.58824,Cubic meter,"24,156.7"
Don Valley Golf Course,8245,Square feet,100,203800.4192,kWh,19108.4325,Cubic meter,"55,699.9"
Donald Summerville ODP,27050,Square feet,100,231533.7759,kWh,46177.94485,Cubic meter,"109,541.8"
Downsview Dells,1270,Square feet,100,19279.26051,kWh,,,"1,851.6"
Dufferin Grove Park,4682,Square feet,100,354068.2486,kWh,10085.30376,Cubic meter,"53,072.3"
Dufferin King Park,0,Square feet,100,4595.551658,kWh,,,441.4
Duncan Creek,0,Square feet,100,14397.26876,kWh,,,"1,382.7"
Dunlace Park Tennis,646,Square feet,100,17139.57563,kWh,,,"1,646.1"
E.T. Seton Park,0,Square feet,100,7181.171382,kWh,,,689.7
Earl Bales Ski Tow,0,Square feet,100,121594.3235,kWh,,,"11,677.9"
Earlscourt Park,9515,Square feet,100,148094.6297,kWh,780.3866,Cubic meter,"15,698.4"
East Don Parkland,1141,Square feet,100,28672.35275,kWh,,,"2,753.7"
East Lynn Park,0,Square feet,100,8274.295209,kWh,,,794.7
East Point Park,6523,Square feet,100,143633.7008,kWh,10512.66667,Cubic meter,"33,670.1"
East Toronto Athletic Fieldhouse,538,Square feet,100,8948.608824,kWh,,,859.4
Eglinton Flats Sport Pavilions,5683,Square feet,100,689115.6489,kWh,11795.42091,Cubic meter,"88,483.4"
Elmcrest Park,0,Square feet,100,50094.91082,kWh,,,"4,811.1"
Eringate Pool (outdoor),1098,Square feet,100,61911.67749,kWh,,,"5,946.0"
Esther Shiner Stadium,9365,Square feet,100,316141.3336,kWh,,,"30,362.2"
Etienne Brule Park Wr,441,Square feet,100,9734.628803,kWh,,,934.9
Etobicoke Valley Park,0,Square feet,100,4809.625,kWh,,,461.9
Fairbank Park Pool,3264,Square feet,100,86593.73788,kWh,,,"8,316.5"
Fairhaven Pool (outdoor),1195,Square feet,100,44518.34921,kWh,,,"4,275.5"
Faywood Park Tennis,0,Square feet,100,15266.29645,kWh,,,"1,466.2"
Firgrove Park,0,Square feet,100,12113.07983,kWh,,,"1,163.3"
Flagstaff Pool (outdoor htd),1098,Square feet,100,40531.6346,kWh,,,"3,892.7"
Fountainhead A.I.R,1927,Square feet,100,26096.99013,kWh,1396.270303,Cubic meter,"5,146.2"
Fred Hamilton Playground,0,Square feet,100,8920.159713,kWh,,,856.7
G. Ross Lord Park,6405,Square feet,100,3659.964104,kWh,,,351.5
Geary Ave Parkette W.Pool,0,Square feet,100,3647.984127,kWh,,,350.4
Gihon Spring Pool (outdoor htd),1873,Square feet,100,24293.39273,kWh,,,"2,333.1"
Giovanni Caboto Pool/Rink,55400,Square feet,100,652627.4988,kWh,13484.58065,Cubic meter,"88,172.7"
Glamorgan Park,0,Square feet,100,15242.29412,kWh,,,"1,463.9"
Glen Rouge Park,2013,Square feet,100,231837.2079,kWh,,,"22,265.6"
Glendora Park,0,Square feet,100,1957.000002,kWh,,,188.0
Gracedale Park,0,Square feet,100,26397.7643,kWh,,,"2,535.2"
Grange Park FH / WR,1679,Square feet,100,10889.03138,kWh,9397.607188,Cubic meter,"18,813.2"
Graydon Hall Tennis,0,Square feet,100,7574.17367,kWh,,,727.4
Greenwood Park,21130,Square feet,100,354910.2552,kWh,36587.19383,Cubic meter,"103,258.3"
Greystone Park,0,Square feet,100,4481.531801,kWh,,,430.4
Gwendolen Park Tennis,1916,Square feet,100,59926.10059,kWh,,,"5,755.3"
Halbert Park,3150,Square feet,100,10178.28125,kWh,,,977.5
Hanlan's Point Buildings,7524,Square feet,100,265636.404,kWh,,,"25,511.7"
Harbour Square WR,829,Square feet,100,61453.87059,kWh,,,"5,902.0"
Havenbrook Park Tennis,1916,Square feet,100,66464.68824,kWh,,,"6,383.3"
Hendon Park Tennis,2056,Square feet,100,33443.58172,kWh,1032.145199,Cubic meter,"5,163.3"
Hickory Tree,0,Square feet,100,21529.82143,kWh,,,"2,067.7"
High Park,0,Square feet,100,382281.2353,kWh,27388.63603,Cubic meter,"88,496.0"
High Park Ice Rink,0,Square feet,100,339282.8743,kWh,,,"32,584.7"
