Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,
2 Civic Centre Court,46145,Square feet,70,1259536.64,kWh,34119.04482,Cubic meter,"115,197"
51 Lisgar,10053,Square feet,70,70947.46494,kWh,5120.625161,Cubic meter,"12,565"
Archives and Records Centre,39590,Square feet,70,480158.2083,kWh,46939.28928,Cubic meter,"108,376"
Atlantic Ave Storage Bldg,43002,Square feet,70,105617.7263,kWh,26977.43636,Cubic meter,"55,473"
Central Services Office,18299,Square feet,70,181378.168,kWh,21082.35492,Cubic meter,"47,305"
City Clerk's Office,34843,Square feet,70,710224.4936,kWh,48343.39698,Cubic meter,"120,246"
City Hall,780061,Square feet,70,13448190.39,kWh,0,Cubic meter,"2,513,373"
Cliffcrest Employment Services,8530,Square feet,70,112550.6094,kWh,0,Cubic meter,"4,502"
Consolidated Communication Ctr,132999,Square feet,70,7361109.369,kWh,256042.3533,Cubic meter,"780,845"
Crossways Employment Services,18277,Square feet,70,852922.5526,kWh,44993.61161,Cubic meter,"119,591"
Dyas Road,102516,Square feet,70,1655333.667,kWh,105208.7494,Cubic meter,"266,077"
East Court & Municipal Services,120104,Square feet,70,1950837.441,kWh,105860.7137,Cubic meter,"279,136"
East York Civic Centre,67544,Square feet,70,1789712.88,kWh,104399.5668,Cubic meter,"269,915"
Eastern District Office,19849,Square feet,70,96300.75091,kWh,32070.23896,Cubic meter,"64,776"
Election Services Building,55004,Square feet,70,257136.3267,kWh,71888.49756,Cubic meter,"146,851"
Etobicoke Civic Centre,154925,Square feet,70,2723553.058,kWh,187349.213,Cubic meter,"464,848"
Etobicoke North Office,20279,Square feet,70,478213.0076,kWh,44398.22722,Cubic meter,"103,471"
Etobicoke South Office,22497,Square feet,70,455275.5274,kWh,29544.3875,Cubic meter,"74,336"
Fire Services - East Command Offices,25898,Square feet,70,137418.2287,kWh,22153.38182,Cubic meter,"47,581"
Forestry W District Office,8999,Square feet,70,86176.77714,kWh,22131.60034,Cubic meter,"45,490"
Former Hydro Building,22497,Square feet,70,433208.673,kWh,5095.970487,Cubic meter,"27,009"
Golden Mile Employment & Social Services,45000,Square feet,70,499083.8042,kWh,57983.00494,Cubic meter,"130,113"
Health Office,2540,Square feet,70,12945.06313,kWh,1065.239296,Cubic meter,"2,541"
Metro Hall,787186,Square feet,70,8690881.448,kWh,0,Cubic meter,"1,750,968"
North District Office,66747,Square feet,70,437159.1183,kWh,39868.87188,Cubic meter,"93,225"
North York Central Office,18934,Square feet,70,434366.5827,kWh,19831.30472,Cubic meter,"55,048"
North York Civic Centre,303518,Square feet,70,5708637.585,kWh,421383.2399,Cubic meter,"1,028,843"
Old City Hall,350494,Square feet,70,2695471.444,kWh,0,Cubic meter,"1,273,619"
Pape Avenue Multiuse Building,9365,Square feet,70,85638.05484,kWh,23231.58854,Cubic meter,"47,558"
Property Dept Workshop,39170,Square feet,70,119614.5619,kWh,106591.624,Cubic meter,"207,276"
Property Maintenance Office,13487,Square feet,70,127005.6022,kWh,27474.86523,Cubic meter,"57,274"
Public Health Building,6394,Square feet,70,72104.03425,kWh,10646.2451,Cubic meter,"23,109"
Public Health HQ,111385,Square feet,70,1889680.717,kWh,31349.15152,Cubic meter,"135,141"
Queen Street Office,25327,Square feet,70,312114.8506,kWh,37404.05429,Cubic meter,"83,541"
Rexdale Community Hub,96369,Square feet,70,1123136.118,kWh,95125.03161,Cubic meter,"225,634"
Scarborough Civic Centre,372868,Square feet,70,6230563.653,kWh,234291.1129,Cubic meter,"694,303"
Scarborough West Office,19999,Square feet,70,476648.4356,kWh,39833.87866,Cubic meter,"94,738"
St Lawrence Hall,55413,Square feet,70,987151.3786,kWh,43817.68727,Cubic meter,"122,726"
Toronto Island Service Office,20968,Square feet,70,100143.0335,kWh,9136.805647,Cubic meter,"21,363"
Toronto Water Centre,64831,Square feet,70,3126117.365,kWh,143803.1745,Cubic meter,"398,226"
Water Revenue Office,14768,Square feet,70,180400.1622,kWh,18998.2159,Cubic meter,"43,307"
Wellesley Jarvis Office,52108,Square feet,70,1259737.919,kWh,0,Cubic meter,"50,390"
Western District Office,4844,Square feet,70,28793.69656,kWh,14158.58195,Cubic meter,"28,049"
York Civic Center,72915,Square feet,70,1241941.162,kWh,98679.05853,Cubic meter,"237,137"
Ambulance Headquarters,143494,Square feet,168,3586967.411,kWh,266369.1128,Cubic meter,"649,497"
EMS Workshop West,1658,Square feet,168,14583.57008,kWh,6934.107432,Cubic meter,"13,756"
Multi-Function Station #1,21781,Square feet,168,127576.9688,kWh,10569.65543,Cubic meter,"25,182"
NE District Office / Station #20,7782,Square feet,168,293727.8118,kWh,25612.50793,Cubic meter,"60,405"
NW District Office & Garage,13153,Square feet,168,155135.672,kWh,14947.10588,Cubic meter,"34,600"
Station #10,5005,Square feet,168,61059.50249,kWh,9522.631318,Cubic meter,"20,532"
Station #11,3574,Square feet,168,32518.56625,kWh,10804.88922,Cubic meter,"21,827"
Station #12,1938,Square feet,168,36345.74756,kWh,1565,Cubic meter,"4,427"
Station #13,2756,Square feet,168,28377.28689,kWh,10067.36327,Cubic meter,"20,260"
Station #14,4252,Square feet,168,57917.86957,kWh,5729.751515,Cubic meter,"13,201"
Station #18,1345,Square feet,168,67472.79221,kWh,14709.87923,Cubic meter,"30,643"
Station #21,2799,Square feet,168,39517.03988,kWh,8744.716172,Cubic meter,"18,193"
Station #22,2583,Square feet,168,42799.2354,kWh,3545.119318,Cubic meter,"8,447"
Station #24,2659,Square feet,168,24869.98581,kWh,5452.875455,Cubic meter,"11,354"
Station #28,1905,Square feet,168,40286.00415,kWh,10379.1053,Cubic meter,"21,329"
Station #30 & Garage & Office,16380,Square feet,168,202466.1868,kWh,49396.33716,Cubic meter,"101,936"
Station #31,2831,Square feet,168,40930.2517,kWh,5044.826667,Cubic meter,"11,221"
Station #32,3218,Square feet,168,19951.86277,kWh,4581.673226,Cubic meter,"9,502"
Station #33,3132,Square feet,168,32766.32484,kWh,6476.973561,Cubic meter,"13,615"
Station #34,13939,Square feet,168,63845.01486,kWh,56482.41196,Cubic meter,"109,853"
Station #37,4413,Square feet,168,50237.89407,kWh,5517.457994,Cubic meter,"12,491"
Station #38,5102,Square feet,168,69599.42621,kWh,18773.82527,Cubic meter,"38,448"
Station #39,1927,Square feet,168,41646.77146,kWh,0,Cubic meter,"1,666"
Station #40,12798,Square feet,168,164849.3419,kWh,17497.99022,Cubic meter,"39,835"
Station #41,1841,Square feet,168,84957.88037,kWh,14369.00067,Cubic meter,"30,695"
Station #42,6997,Square feet,168,122124.6815,kWh,13681.28194,Cubic meter,"30,875"
Station #45,11496,Square feet,168,85123.41124,kWh,11348.72939,Cubic meter,"24,964"
Station #46,1572,Square feet,168,21069.71115,kWh,7445.317792,Cubic meter,"14,987"
Station #47,1787,Square feet,168,37819.17355,kWh,4697.51003,Cubic meter,"10,437"
Station #52,38760,Square feet,168,696813.8288,kWh,58512.89397,Cubic meter,"139,029"
Station #54,1324,Square feet,168,67467.10432,kWh,15453.04154,Cubic meter,"32,055"
Etobicoke Animal Centre,6588,Square feet,168,282291.9796,kWh,63553.167,Cubic meter,"132,023"
North York Animal Centre,13218,Square feet,168,338797.5262,kWh,8695.403448,Cubic meter,"30,070"
Scarborough Animal Centre,12831,Square feet,168,345067.6926,kWh,61121.80581,Cubic meter,"129,915"
Albion Road Childcare Centre,5543,Square feet,100,55621.79911,kWh,16103.50953,Cubic meter,"32,817"
Ancaster Childcare Centre,7018,Square feet,100,149276.8392,kWh,14633.25375,Cubic meter,"33,770"
City Kids Childcare Centre,8460,Square feet,100,61221.50015,kWh,8918.231208,Cubic meter,"19,391"
Danforth Childcare Centre,6351,Square feet,100,124508.8309,kWh,8467.080173,Cubic meter,"21,065"
Davisville Childcare Centre,3595,Square feet,100,25142.3655,kWh,0,Cubic meter,"1,006"
Jesse Ketchum Childcare Centre,11550,Square feet,100,23860.8972,kWh,27331.05667,Cubic meter,"52,875"
Malvern Childcare Centre,6501,Square feet,100,151143.7179,kWh,7682.914,Cubic meter,"20,641"
Regent Park Childcare Centre,15963,Square feet,100,305919.1124,kWh,0,Cubic meter,"12,237"
Thomas Berry Childcare Centre,9117,Square feet,100,118601.3745,kWh,21346.09217,Cubic meter,"45,295"
Willowridge Childcare Centre,4844,Square feet,100,72359.58284,kWh,20199.15494,Cubic meter,"41,267"
Woodbine Childcare Centre,4801,Square feet,100,49967.40823,kWh,0,Cubic meter,"1,999"
Roselawn Comm Tower,1,Square feet,168,57596.38238,kWh,0,Cubic meter,"2,304"
St Clair Comm Tower,1,Square feet,168,62278.51881,kWh,0,Cubic meter,"2,491"
519 Church St Comm Ctr,15554,Square feet,100,466784.1647,kWh,0,Cubic meter,"18,671"
