Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Amesbury Community Center,37975,Square feet,100,268415.1711,kWh,37893.22313,Cubic meter,"82,722"
Ancaster C.C.,7513,Square feet,100,91837.75316,kWh,15512.44739,Cubic meter,"33,142"
Annette R.C,20774,Square feet,100,356478.0955,kWh,0,Cubic meter,"14,259"
Armour Height C.C,19773,Square feet,100,204597.125,kWh,22821.42358,Cubic meter,"51,538"
Banbury C.C.,9537,Square feet,100,117133.0587,kWh,14950.09545,Cubic meter,"33,086"
Berner Trail C.C,10204,Square feet,100,107053.0853,kWh,24877.25384,Cubic meter,"51,541"
Birchmount C.C,46166,Square feet,100,1324707.215,kWh,258253.0099,Cubic meter,"543,589"
Birkdale C.C,11733,Square feet,100,261155.8489,kWh,11791.53506,Cubic meter,"32,846"
Bocci Club,4004,Square feet,100,6769.055047,kWh,0,Cubic meter,271
Burrows Hall Community Complex,43185,Square feet,100,808200.9369,kWh,52652.83463,Cubic meter,"132,352"
Carmine Stefano Community Ctr,57867,Square feet,100,226287.9994,kWh,88777.23271,Cubic meter,"177,701"
Cecil Community Ctr,5769,Square feet,100,69242.495,kWh,0,Cubic meter,"2,770"
Cedar Brook C.C,14951,Square feet,100,142581.1262,kWh,6516.366061,Cubic meter,"18,082"
Chapley C.C / Wilmington Park,6997,Square feet,100,336831.4606,kWh,21844.44904,Cubic meter,"54,971"
Commander Park C.C,56317,Square feet,100,936822.3979,kWh,54290.6059,Cubic meter,"140,608"
Community Centre 55,8999,Square feet,100,57691.24652,kWh,0,Cubic meter,"2,308"
Curran Hall C.C,2508,Square feet,100,46991.46371,kWh,7474.557613,Cubic meter,"16,079"
Davenport C.C,2282,Square feet,100,8260.675626,kWh,3775.388508,Cubic meter,"7,502"
David Appleton Community Centre,2906,Square feet,100,59059.04687,kWh,8038.343869,Cubic meter,"17,633"
Don Montgomery,89125,Square feet,100,1931331.73,kWh,149275.6033,Cubic meter,"360,831"
Driftwood C.C,25015,Square feet,100,323755.3981,kWh,53080.95246,Cubic meter,"113,788"
Earl Bales C.C & Senior,21657,Square feet,100,328211.5238,kWh,40156.90961,Cubic meter,"89,414"
East Scar Boys/Girls Club,13972,Square feet,100,332702.8904,kWh,33321.65972,Cubic meter,"76,609"
East York Community Centre,31000,Square feet,100,480046.9025,kWh,131277.2778,Cubic meter,"268,588"
Eastview Neighbourhood Comm Ctr,25510,Square feet,100,342962.8108,kWh,27415.05091,Cubic meter,"65,799"
Edithvale C.C,24725,Square feet,100,716315.568,kWh,36588.05957,Cubic meter,"98,159"
Ellesmere C.C,24402,Square feet,100,196439.0177,kWh,28073.7971,Cubic meter,"61,189"
Elmbank Community Centre,14725,Square feet,100,154935.1984,kWh,18610.64804,Cubic meter,"41,552"
Fairbank Memorial R.C.,19364,Square feet,100,258763.0167,kWh,39790.94512,Cubic meter,"85,941"
Fairmount Park C.R.C,4359,Square feet,100,8627.847218,kWh,0,Cubic meter,345
Falstaff C.C,13853,Square feet,100,127293.8026,kWh,24636.02222,Cubic meter,"51,893"
Flemingdon C.C,10000,Square feet,100,89213.01311,kWh,18803.36558,Cubic meter,"39,289"
Forest Hill C.C,32841,Square feet,100,543141.9049,kWh,36486.85483,Cubic meter,"91,039"
Frankland C.C,3681,Square feet,100,26445.86098,kWh,0,Cubic meter,"1,058"
Franklin Horner,39500,Square feet,100,345960.6858,kWh,60730.38905,Cubic meter,"129,207"
Glenlong C.C & A.I.R,10236,Square feet,100,379096.2018,kWh,40695.74949,Cubic meter,"92,473"
Harwood Hall Community Ctr,4306,Square feet,100,26376.96035,kWh,11699.77626,Cubic meter,"23,281"
Heron Park C.C,52377,Square feet,100,1090733.855,kWh,118672.4843,Cubic meter,"269,070"
Jenner Jean-Marie C.C.,13207,Square feet,100,147637.2742,kWh,31079.86945,Cubic meter,"64,948"
John Innes C.C,24176,Square feet,100,442906.684,kWh,74418.27634,Cubic meter,"159,088"
Lakeshore Community Ctr,5952,Square feet,100,126930.6131,kWh,0,Cubic meter,"5,077"
Lamp Senior Centre,26318,Square feet,100,444956.9103,kWh,41096.1071,Cubic meter,"95,868"
Lawrence Heights C.C.,22152,Square feet,100,213957.9947,kWh,36209.09287,Cubic meter,"77,344"
Ledbury Community Center,5780,Square feet,100,196534.2329,kWh,21473.60406,Cubic meter,"48,655"
Leslie Grove Park,1389,Square feet,100,61310.5975,kWh,1051.093333,Cubic meter,"4,449"
Main Square Comm Ctr,35123,Square feet,100,568270.3507,kWh,86897.3871,Cubic meter,"187,809"
Masaryk-Cowan C.R.C,32270,Square feet,100,324867.288,kWh,32398.87843,Cubic meter,"74,543"
McGregor Park C.C,45262,Square feet,100,1039656.63,kWh,36677.04546,Cubic meter,"111,261"
Mount Dennis Community Ctr,3003,Square feet,100,52765.7194,kWh,4727.622021,Cubic meter,"11,092"
New Tor Seniors Club,3025,Square feet,100,67207.25651,kWh,0,Cubic meter,"2,688"
Niagara C.C,5296,Square feet,100,69120.44392,kWh,0,Cubic meter,"2,765"
North Toronto Mem Rec Ctr,74820,Square feet,100,1506211.361,kWh,151936.2316,Cubic meter,"348,880"
North York Memorial Hall,10473,Square feet,100,163594.3126,kWh,11355.50488,Cubic meter,"28,116"
Northwood C.C,36167,Square feet,100,352216.5695,kWh,49252.43904,Cubic meter,"107,653"
O'Connor C.C,16254,Square feet,100,213299.4034,kWh,35934.45481,Cubic meter,"76,796"
Oakdale Community Center,10000,Square feet,100,177573.7743,kWh,18661.59528,Cubic meter,"42,554"
Oakridge C.C,18600,Square feet,100,277276.7325,kWh,28131.15387,Cubic meter,"64,532"
Ourland Community Ctr,9451,Square feet,100,224147.3611,kWh,24144.9,Cubic meter,"54,834"
Port Union C.C,19978,Square feet,100,423340.8,kWh,21380.12414,Cubic meter,"57,549"
Power House C.C.,5737,Square feet,100,357252.165,kWh,0,Cubic meter,"14,290"
Ralph Thornton Community Ctr,17061,Square feet,100,150226.0707,kWh,0,Cubic meter,"6,009"
Regent Park C.C,55004,Square feet,100,809998.3761,kWh,3725.477823,Cubic meter,"39,477"
Regent Park North R.C,6168,Square feet,100,32760.77432,kWh,0,Cubic meter,"1,310"
Scadding Court Community Ctr,46694,Square feet,100,988592.842,kWh,123554.4517,Cubic meter,"274,259"
Scarborough Village C.C,58125,Square feet,100,1127534.244,kWh,83651.60021,Cubic meter,"204,013"
Scott Westney House,3046,Square feet,100,130031.9571,kWh,0,Cubic meter,"5,201"
Seneca Village C.C,9408,Square feet,100,164435.4896,kWh,0,Cubic meter,"6,577"
Sir Adam Beck C.C.,7341,Square feet,100,36388.99656,kWh,8080.579194,Cubic meter,"16,806"
St James Town C.C.,41904,Square feet,100,825809.7152,kWh,200732.4345,Cubic meter,"414,362"
St Lawrence C.C,46113,Square feet,100,928306.3669,kWh,268136.2672,Cubic meter,"546,508"
Stanley C.C,12895,Square feet,100,183317.5436,kWh,29555.42109,Cubic meter,"63,479"
Sunnybrook Park,43701,Square feet,100,537589.2827,kWh,65282.2399,Cubic meter,"145,520"
Sunshine Center for Seniors,2250,Square feet,100,52743.67984,kWh,0,Cubic meter,"2,110"
Swansea Town Hall Comm Ctr,14402,Square feet,100,131501.2856,kWh,0,Cubic meter,"5,260"
Tall Pines C.C,5188,Square feet,100,53144.35269,kWh,4541.755161,Cubic meter,"10,754"
Tam Heather C.C,28546,Square feet,100,779316.2457,kWh,0,Cubic meter,"31,173"
Thistletown C.C,44810,Square feet,100,361948.2985,kWh,89689.49083,Cubic meter,"184,860"
Warden Hilltop C.C.,25995,Square feet,100,445227.3039,kWh,20723.34452,Cubic meter,"57,177"
Waterfront Neighbourhood Centre,123214,Square feet,100,1229059.585,kWh,72711.12654,Cubic meter,"187,291"
West Rouge C.C,24402,Square feet,100,194845.9155,kWh,39838.74923,Cubic meter,"83,475"
West Scarborough N.C,25198,Square feet,100,280102.8019,kWh,122583.1941,Cubic meter,"244,074"
Campbell House,3595,Square feet,100,27106.92572,kWh,0,Cubic meter,"1,084"
Casa Loma,88318,Square feet,100,1279502.776,kWh,12317.72393,Cubic meter,"74,580"
Cedar Ridge Creative Centre,13110,Square feet,100,129967.6077,kWh,18333.97822,Cubic meter,"40,028"
Civic Garden Centre,36953,Square feet,100,389917.2836,kWh,37229.28467,Cubic meter,"86,321"
Colborne Lodge,7050,Square feet,100,176864.2819,kWh,11129.38227,Cubic meter,"28,217"
Dawes Crossing,0,Square feet,168,945.807387,kWh,0,Cubic meter,38
Don Valley Brickwork,19407,Square feet,100,203297.1215,kWh,13342.0728,Cubic meter,"33,478"
Edenbridge Centre,5013,Square feet,100,8490.086071,kWh,0,Cubic meter,340
Edwards Gardens,10021,Square feet,100,82381.08468,kWh,46000.49908,Cubic meter,"90,682"
Gibson House Museum,8364,Square feet,100,68357.93755,kWh,0,Cubic meter,"2,734"
Gzowski Monument,0,Square feet,100,2726.807373,kWh,0,Cubic meter,109
Historic Fort York,22819,Square feet,100,732628.3529,kWh,37561.31818,Cubic meter,"100,660"
Lakeshore Assembly Hall,14596,Square feet,100,291442.8893,kWh,35452.06267,Cubic meter,"79,006"
Mackenzie House Museum,2573,Square feet,100,39822.89727,kWh,7727.46211,Cubic meter,"16,273"
Maple Leaf Cottage,2842,Square feet,100,9894.871191,kWh,3008.571176,Cubic meter,"6,111"
Montgomery's Inn,7642,Square feet,100,266131.8217,kWh,0,Cubic meter,"10,645"
Neilson Pk Creative Arts,12346,Square feet,100,161642.1623,kWh,21018.43011,Cubic meter,"46,394"
Palaise Royale,28503,Square feet,100,412637.3315,kWh,0,Cubic meter,"16,505"
Riverdale Farm,23713,Square feet,100,70039.38143,kWh,11168.76838,Cubic meter,"24,019"
Roundhouse Complex,94001,Square feet,100,146896.8833,kWh,0,Cubic meter,"5,876"
Spandina House Museum,27588,Square feet,100,88622.94956,kWh,53629.08888,Cubic meter,"105,424"
St Lawrence Market South,99114,Square feet,100,5005492.89,kWh,200942.5012,Cubic meter,"581,948"
Temp - St Lawrence Market North,11711,Square feet,100,125593.5704,kWh,25732.66667,Cubic meter,"53,908"
Time and Clock Monument,0,Square feet,100,18178.74798,kWh,0,Cubic meter,727
William Goodwin House,1744,Square feet,100,25159.25908,kWh,5530.404969,Cubic meter,"11,512"
Zion Methodist Church,2002,Square feet,100,11592.82216,kWh,7106.599806,Cubic meter,"13,964"
Zion School House,1582,Square feet,100,19619.51555,kWh,3755.385616,Cubic meter,"7,919"
City Hall Eternal Flame,1,Square feet,168,0,0,9830.16129,Cubic meter,"18,674"
Economic Development,54,Square feet,168,459240.0869,kWh,0,Cubic meter,"18,370"
Old City Hall - Cenotaph,1,Square feet,168,9089.371972,kWh,0,Cubic meter,364
Fire Academy,61214,Square feet,168,850405.1511,kWh,187895.6476,Cubic meter,"390,960"
Fire Museum And Storage,3272,Square feet,168,27162.98021,kWh,14726.04728,Cubic meter,"29,061"
Fire Station 111,5662,Square feet,168,97582.94792,kWh,26974.89882,Cubic meter,"55,147"
Fire Station 112,7018,Square feet,168,219120.3966,kWh,33159.90456,Cubic meter,"71,758"
Fire Station 113,4833,Square feet,168,85876.394,kWh,17509.43862,Cubic meter,"36,698"
Fire Station 114,8633,Square feet,168,205237.3916,kWh,36988.76551,Cubic meter,"78,477"
Fire Station 115,5985,Square feet,168,128140.4775,kWh,14609.62069,Cubic meter,"32,879"
Fire Station 116,11776,Square feet,168,173794.0642,kWh,21261.49314,Cubic meter,"47,342"
Fire Station 121,4219,Square feet,168,123021.9029,kWh,3728.830199,Cubic meter,"12,004"
Fire Station 122,3046,Square feet,168,55011.33247,kWh,17578.00067,Cubic meter,"35,593"
Fire Station 123,2497,Square feet,168,52820.62996,kWh,17855.07669,Cubic meter,"36,032"
Fire Station 125,5813,Square feet,168,79939.0409,kWh,12765.91202,Cubic meter,"27,449"
Fire Station 131,5845,Square feet,168,76962.80258,kWh,16945.33296,Cubic meter,"35,269"
Fire Station 132,7664,Square feet,168,91107.25733,kWh,17140.00498,Cubic meter,"36,205"
Fire Station 133,8062,Square feet,168,105953.4416,kWh,18466.19499,Cubic meter,"39,318"
Fire Station 134,7126,Square feet,168,41916.37989,kWh,13754.85166,Cubic meter,"27,807"
Fire Station 135 - OLD,10592,Square feet,168,32630.09357,kWh,25067.32595,Cubic meter,"48,925"
Fire Station 141,12500,Square feet,168,174736.8035,kWh,39351.40381,Cubic meter,"81,745"
Fire Station 142,5586,Square feet,168,118466.8933,kWh,21722.37617,Cubic meter,"46,004"
Fire Station 143,2895,Square feet,168,77064.73621,kWh,19383.15788,Cubic meter,"39,905"
Fire Station 145,11001,Square feet,168,103644.6747,kWh,27506.63109,Cubic meter,"56,400"
Fire Station 146,7535,Square feet,168,58264.7541,kWh,15277.38826,Cubic meter,"31,353"
Fire Station 211,5005,Square feet,168,128822.7688,kWh,11142.12652,Cubic meter,"26,319"
Fire Station 212,16501,Square feet,168,203978.3253,kWh,50739.05089,Cubic meter,"104,548"
Fire Station 213,5048,Square feet,168,53653.09849,kWh,13721.75275,Cubic meter,"28,213"
Fire Station 214,4887,Square feet,168,49169.42783,kWh,17568.65355,Cubic meter,"35,342"
Fire Station 215,5737,Square feet,168,55180.51069,kWh,13134.32581,Cubic meter,"27,158"
Fire Station 221,11916,Square feet,168,140598.7673,kWh,24787.17791,Cubic meter,"52,712"
Fire Station 222,6910,Square feet,168,56182.07119,kWh,15681.87811,Cubic meter,"32,038"
Fire Station 223,7459,Square feet,168,45281.69995,kWh,12462.29044,Cubic meter,"25,486"
Fire Station 224,3767,Square feet,168,58792.83582,kWh,11637.27258,Cubic meter,"24,459"
Fire Station 225,9085,Square feet,168,91962.35965,kWh,26191.2354,Cubic meter,"53,434"
Fire Station 226,11808,Square feet,168,51934.79081,kWh,28079.30241,Cubic meter,"55,419"
Fire Station 227,10484,Square feet,168,72581.92638,kWh,19114.94471,Cubic meter,"39,216"
Fire Station 231,14241,Square feet,168,150342.8106,kWh,45419.63774,Cubic meter,"92,297"
Fire Station 232,5350,Square feet,168,73787.69507,kWh,13290.06199,Cubic meter,"28,199"
Fire Station 233,11001,Square feet,168,75686.49568,kWh,21473.06398,Cubic meter,"43,820"
Fire Station 234,5350,Square feet,168,50210.25113,kWh,13272.3987,Cubic meter,"27,222"
Fire Station 235,8902,Square feet,168,98802.42842,kWh,20573.84144,Cubic meter,"43,036"
Fire Station 241,5500,Square feet,168,43569.51222,kWh,11028.67293,Cubic meter,"22,694"
Fire Station 242,5500,Square feet,168,61287.56519,kWh,16142.52936,Cubic meter,"33,117"
Fire Station 243,5350,Square feet,168,45186.22094,kWh,17321.65449,Cubic meter,"34,713"
Fire Station 244,5350,Square feet,168,52777.30646,kWh,13830.24909,Cubic meter,"28,384"
Fire Station 245,5608,Square feet,168,52535.7632,kWh,11758.46633,Cubic meter,"24,439"
Fire Station 311,12755,Square feet,168,47248.64863,kWh,14600.88415,Cubic meter,"29,627"
Fire Station 312,9806,Square feet,168,108098.2191,kWh,25288.98221,Cubic meter,"52,365"
Fire Station 313,12099,Square feet,168,132247.5614,kWh,33073.49778,Cubic meter,"68,119"
Fire Station 314,11937,Square feet,168,50866.47231,kWh,24241.85152,Cubic meter,"48,087"
Fire Station 315,7244,Square feet,168,101059.0219,kWh,28855.71875,Cubic meter,"58,859"
Fire Station 321,7535,Square feet,168,105289.1092,kWh,26143.85355,Cubic meter,"53,877"
Fire Station 322,7535,Square feet,168,47289.372,kWh,15249.63412,Cubic meter,"30,861"
Fire Station 323,10236,Square feet,168,108988.1791,kWh,38942.39765,Cubic meter,"78,338"
Fire Station 324,13153,Square feet,168,57169.67686,kWh,20924.55135,Cubic meter,"42,037"
Fire Station 325,10129,Square feet,168,125354.5862,kWh,26531.65523,Cubic meter,"55,416"
Fire Station 331,10979,Square feet,168,81964.22685,kWh,24086.41882,Cubic meter,"49,035"
Fire Station 332,24865,Square feet,168,281311.0857,kWh,73381.61525,Cubic meter,"150,655"
Fire Station 333,12723,Square feet,168,127109.4821,kWh,32438.76121,Cubic meter,"66,708"
Fire Station 334,13003,Square feet,168,346143.1653,kWh,19776.69057,Cubic meter,"51,415"
Fire Station 335,4402,Square feet,168,86053.89179,kWh,10310.15068,Cubic meter,"23,028"
Fire Station 341,9268,Square feet,168,77088.57568,kWh,26137.53645,Cubic meter,"52,737"
Fire Station 342,3057,Square feet,168,24192.21575,kWh,12072.28483,Cubic meter,"23,901"
Fire Station 343,9827,Square feet,168,52679.78306,kWh,22342.45364,Cubic meter,"44,551"
Fire Station 344,11238,Square feet,168,68891.71794,kWh,21717.8975,Cubic meter,"44,013"
Fire Station 345,12809,Square feet,168,119253.6661,kWh,39648.18563,Cubic meter,"80,089"
Fire Station 411,8762,Square feet,168,79637.11085,kWh,13385.60481,Cubic meter,"28,614"
Fire Station 412,7029,Square feet,168,73903.30862,kWh,20764.26637,Cubic meter,"42,402"
Fire Station 413,3929,Square feet,168,30906.69665,kWh,6894.781912,Cubic meter,"14,334"
Fire Station 415,7804,Square feet,168,67311.05641,kWh,10315.86863,Cubic meter,"22,289"
Fire Station 421,9461,Square feet,168,104843.7278,kWh,24957.42185,Cubic meter,"51,605"
Fire Station 422,7944,Square feet,168,62149.10741,kWh,16548.80613,Cubic meter,"33,924"
Fire Station 423,12335,Square feet,168,104212.3701,kWh,31114.59063,Cubic meter,"63,277"
Fire Station 424,5866,Square feet,168,38844.39542,kWh,8792.862232,Cubic meter,"18,257"
Fire Station 425,7955,Square feet,168,43547.22962,kWh,8860.411905,Cubic meter,"18,574"
Fire Station 426,12486,Square feet,168,159998.1805,kWh,31617.77398,Cubic meter,"66,464"
Fire Station 431,3907,Square feet,168,35928.11864,kWh,9789.145807,Cubic meter,"20,033"
Fire Station 432,11765,Square feet,168,103391.307,kWh,27275.4249,Cubic meter,"55,951"
Fire Station 433,5038,Square feet,168,111407.9923,kWh,10515.79699,Cubic meter,"24,433"
Fire Station 434,5188,Square feet,168,27263.47802,kWh,10658.70682,Cubic meter,"21,339"
Fire Station 435,6889,Square feet,168,75670.54824,kWh,12755.48039,Cubic meter,"27,258"
Fire Station 441,19472,Square feet,168,121927.4557,kWh,17102.18012,Cubic meter,"37,366"
Fire Station 442,15479,Square feet,168,201878.464,kWh,19030.18697,Cubic meter,"44,227"
Fire Station 443,3929,Square feet,168,38236.18749,kWh,9175.147959,Cubic meter,"18,959"
Fire Station 444,3929,Square feet,168,33160.99234,kWh,7265.860446,Cubic meter,"15,129"
Fire Station 445,11765,Square feet,168,119162.557,kWh,18144.18067,Cubic meter,"39,235"
Fire Training Centre,7998,Square feet,168,73605.49033,kWh,14066.45161,Cubic meter,"29,666"
HUSAR,11485,Square feet,168,233657.1883,kWh,25043.13624,Cubic meter,"56,920"
Rotherham Ave 15,23002,Square feet,168,158350.2863,kWh,26789.85193,Cubic meter,"57,226"
