Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Station #47,1787,Square feet,168,34520.18535,kWh,2304.108824,Cubic meter,"5,796"
Etobicoke Animal Centre,6588,Square feet,168,193621.9901,kWh,88839.78003,Cubic meter,"172,198"
North York Animal Centre,13218,Square feet,168,226809.9631,kWh,51024.2007,Cubic meter,"104,114"
Scarborough Animal Centre,12831,Square feet,168,371006.165,kWh,63100.64581,Cubic meter,"132,838"
Albion Road Childcare Centre,5543,Square feet,100,81447.86059,kWh,19203.81171,Cubic meter,"39,008"
Ancaster Childcare Centre,7018,Square feet,100,151726.9182,kWh,14635.77529,Cubic meter,"33,773"
Bellevue Childcare Centre,6706,Square feet,100,64490.01218,kWh,0,Cubic meter,"2,908"
City Kids Childcare Centre,8460,Square feet,100,70881.89063,kWh,12881.44347,Cubic meter,"26,899"
Danforth Childcare Centre,6351,Square feet,100,129186.6378,kWh,11926.45257,Cubic meter,"27,771"
Davisville Childcare Centre,3595,Square feet,100,25810.30323,kWh,0,Cubic meter,"1,164"
Hollis Childcare Centre,5576,Square feet,100,87662.26823,kWh,17519.31926,Cubic meter,"36,189"
Jesse Ketchum Childcare Centre,11550,Square feet,100,36079.61327,kWh,35436.43415,Cubic meter,"66,830"
Malvern Childcare Centre,6501,Square feet,100,204296.7242,kWh,7707.339655,Cubic meter,"23,395"
Squirrel's Nest Daycare Centre,8697,Square feet,100,0,kWh,13221.15009,Cubic meter,"24,327"
St. Marks Childcare Centre,4004,Square feet,100,12863.93808,kWh,0,Cubic meter,580
Thomas Berry Childcare Centre,9117,Square feet,100,121139.0283,kWh,24477.42196,Cubic meter,"50,502"
Willowridge Childcare Centre,4844,Square feet,100,91162.92165,kWh,19020.53734,Cubic meter,"39,109"
Woodbine Childcare Centre,4801,Square feet,100,65682.11609,kWh,961.363636,Cubic meter,"4,731"
519 Church St Comm Ctr,15554,Square feet,100,487817.0337,kWh,5213.313107,Cubic meter,"31,593"
Amesbury Community Center,37975,Square feet,100,332686.4376,kWh,51064.60055,Cubic meter,"108,963"
Annette R.C,20774,Square feet,100,392071.3387,kWh,0,Cubic meter,"17,682"
Armour Height C.C,19773,Square feet,100,199446.3189,kWh,26204.16202,Cubic meter,"57,211"
Banbury C.C.,9537,Square feet,100,122378.7478,kWh,15820.8,Cubic meter,"34,630"
Berner Trail C.C,10204,Square feet,100,128913.8929,kWh,25009.29759,Cubic meter,"51,831"
Birchmount C.C,46166,Square feet,100,1249768.835,kWh,146387.0595,Cubic meter,"325,717"
Birkdale C.C,11733,Square feet,100,260388.7969,kWh,10411.4934,Cubic meter,"30,901"
Burrows Hall Community Complex,43185,Square feet,100,978999.3358,kWh,80005,Cubic meter,"191,362"
Carmine Stefano Community Ctr,57867,Square feet,100,235211.4733,kWh,149425.9471,Cubic meter,"285,552"
Cecil Community Ctr,5769,Square feet,100,87781.04585,kWh,3110.333333,Cubic meter,"9,682"
Cedar Brook C.C,14951,Square feet,100,121716.2374,kWh,11849.51706,Cubic meter,"27,293"
Chapley C.C / Wilmington Park,6997,Square feet,100,331796.6137,kWh,24001.996,Cubic meter,"59,128"
Commander Park C.C,56317,Square feet,100,1000760.773,kWh,61041.90276,Cubic meter,"157,451"
Community Centre 55,8999,Square feet,100,45777.45887,kWh,1341.142857,Cubic meter,"4,532"
Curran Hall C.C,2508,Square feet,100,44765.47625,kWh,4338.521875,Cubic meter,"10,002"
Davenport C.C,2282,Square feet,100,1310.1248,kWh,8714.680401,Cubic meter,"16,094"
David Appleton Community Centre,2906,Square feet,100,63341.14083,kWh,8330.788656,Cubic meter,"18,185"
Driftwood C.C,25015,Square feet,100,327196.2701,kWh,60678.98706,Cubic meter,"126,406"
Earl Bales C.C & Senior,21657,Square feet,100,380243.9414,kWh,39830.93029,Cubic meter,"90,438"
Earl Bales Park,10409,Square feet,100,324247.3009,kWh,0,Cubic meter,"14,624"
East Scar Boys/Girls Club,13972,Square feet,100,298544.4665,kWh,49361.3415,Cubic meter,"104,289"
East York Community Centre,31000,Square feet,100,479735.8994,kWh,141189.858,Cubic meter,"281,425"
Eastview Neighbourhood Comm Ctr,25510,Square feet,100,344497.0268,kWh,53814.06667,Cubic meter,"114,555"
Edithvale C.C,24725,Square feet,100,647231.5626,kWh,55727.03715,Cubic meter,"131,728"
Ellesmere C.C,24402,Square feet,100,212839.3984,kWh,34041.19265,Cubic meter,"72,235"
Elmbank Community Centre,14725,Square feet,100,214390.4824,kWh,60694.55473,Cubic meter,"121,347"
Fairbank Memorial R.C.,19364,Square feet,100,311344.0792,kWh,38506.18095,Cubic meter,"84,893"
Fairmount Park C.R.C,4359,Square feet,100,12303.94328,kWh,0,Cubic meter,555
Falstaff C.C,13853,Square feet,100,153268.8792,kWh,27963.95177,Cubic meter,"58,366"
Flemingdon C.C,10000,Square feet,100,90826.73259,kWh,17436.62736,Cubic meter,"36,180"
Forest Hill C.C,32841,Square feet,100,655442.0855,kWh,48433.89285,Cubic meter,"118,679"
Franklin Horner,39500,Square feet,100,285304.0322,kWh,44031.0303,Cubic meter,"93,884"
Glenlong C.C & A.I.R,10236,Square feet,100,361331.1423,kWh,42972.26047,Cubic meter,"95,365"
Good Neighbours Club C.C,8127,Square feet,100,0,kWh,1197.904043,Cubic meter,"2,204"
Harbourfront Community Centre,123214,Square feet,100,1040803.548,kWh,139123.0259,Cubic meter,"302,927"
Harwood Hall Community Ctr,4306,Square feet,100,23869.67724,kWh,10942.82737,Cubic meter,"21,211"
Heron Park C.C,52377,Square feet,100,1094810.955,kWh,124684.5527,Cubic meter,"278,796"
Jenner Jean-Marie C.C.,13207,Square feet,100,158491.2714,kWh,32935.90352,Cubic meter,"67,750"
John Innes C.C,24176,Square feet,100,383558.7794,kWh,79415.40807,Cubic meter,"163,423"
Keele C.C,10000,Square feet,100,10616.35001,kWh,0,Cubic meter,479
Lamp Senior Centre,26318,Square feet,100,488993.4634,kWh,41225.18972,Cubic meter,"97,908"
Lawrence Heights C.C.,22152,Square feet,100,203084.217,kWh,40831.736,Cubic meter,"84,289"
Ledbury Community Center,5780,Square feet,100,140016.1487,kWh,27703.11086,Cubic meter,"57,288"
Leslie Grove Park,1389,Square feet,100,7253.753508,kWh,3138.257143,Cubic meter,"6,102"
