Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
200 Mount Olive Dr,0,Square feet,100,7734.392471,kWh,0,Cubic meter,340
2000 Lake Shore,0,Square feet,100,7411.322286,kWh,0,Cubic meter,326
201 CLAREMONT ST,0,Square feet,100,6651.932123,kWh,0,Cubic meter,293
21 Bedford Park Ave,0,Square feet,168,4863.655677,kWh,0,Cubic meter,214
22 Glendonwynne Rd,0,Square feet,168,6727.778105,kWh,0,Cubic meter,296
23 Chester Ave,0,Square feet,168,5175.449407,kWh,0,Cubic meter,228
23 Peele Ave,0,Square feet,100,510930.7077,kWh,0,Cubic meter,"22,481"
230 Medland St,0,Square feet,168,7192.551647,kWh,0,Cubic meter,316
235 DANFORTH,0,Square feet,100,61078.1465,kWh,0,Cubic meter,"2,687"
2454 Bloor St W,0,Square feet,168,456.956811,kWh,0,Cubic meter,20
25 Glenforest Rd,0,Square feet,168,4961.818181,kWh,0,Cubic meter,218
253 Macpherson Ave,0,Square feet,168,3344.872232,kWh,0,Cubic meter,147
26 Alvin Ave,0,Square feet,168,35492.15548,kWh,0,Cubic meter,"1,562"
265 Armadale Ave,0,Square feet,168,9057.08502,kWh,0,Cubic meter,399
265 Durie St,0,Square feet,168,6587.431423,kWh,0,Cubic meter,290
266 Besborough,0,Square feet,100,45.652,kWh,0,Cubic meter,2
268 Rhodes Ave,0,Square feet,168,2568.931873,kWh,0,Cubic meter,113
2696 Eglinton Ave W,14790,Square feet,168,27108.74356,kWh,0,Cubic meter,"1,193"
279 Wilson Heights Blvd,0,Square feet,168,553.008678,kWh,0,Cubic meter,24
29 Erindale Ave,0,Square feet,168,10049.91019,kWh,0,Cubic meter,442
29 Old Mill Terr,0,Square feet,168,53644.61831,kWh,0,Cubic meter,"2,360"
291 Mill Rd,0,Square feet,100,0,kWh,0,Cubic meter,0
295 Unwin Ave,0,Square feet,100,15696.87402,kWh,0,Cubic meter,691
3001 McCowan Rd,0,Square feet,100,211.363495,kWh,0,Cubic meter,9
301 Scott Rd,0,Square feet,168,109363.7452,kWh,0,Cubic meter,"4,812"
3045 Brimley Rd,0,Square feet,100,136.76316,kWh,0,Cubic meter,6
3079 Kennedy Rd,0,Square feet,100,152.700563,kWh,0,Cubic meter,7
3084 Weston Rd,0,Square feet,100,48847.32531,kWh,0,Cubic meter,"2,149"
31 Langford Ave,0,Square feet,168,2675.730074,kWh,0,Cubic meter,118
31 Yorkville Ave,0,Square feet,168,1577782.28,kWh,0,Cubic meter,"69,422"
33 Queen St E,173030,Square feet,168,490356.8735,kWh,0,Cubic meter,"21,576"
330 University Ave Fountain,0,Square feet,100,60425.51946,kWh,0,Cubic meter,"2,659"
33A Riverwood Pky,0,Square feet,168,0,kWh,0,Cubic meter,274
34 Park  Home Ave - Lighting,0,Square feet,100,3791.449946,kWh,0,Cubic meter,167
342 Prince Edward Dr,0,Square feet,168,10608.79984,kWh,0,Cubic meter,467
349 Keele St,0,Square feet,168,4866.577894,kWh,0,Cubic meter,214
35 Bellevue Ave,0,Square feet,168,22123.58392,kWh,0,Cubic meter,973
351 Lippincott St,0,Square feet,168,16849.98692,kWh,0,Cubic meter,741
3601 Eglinton Ave W,0,Square feet,100,34103.40022,kWh,0,Cubic meter,"1,501"
37 Queen St E,0,Square feet,168,1409655.994,kWh,0,Cubic meter,"62,025"
376 Clinton St,0,Square feet,168,1833.112243,kWh,0,Cubic meter,81
3885 Yonge St Lot,0,Square feet,168,52002.34038,kWh,0,Cubic meter,"2,288"
40 Dundas St E,0,Square feet,100,0,kWh,0,Cubic meter,0
40 Larch St,0,Square feet,168,0,kWh,0,Cubic meter,"8,438"
40 Russell Hill Rd,3735,Square feet,100,2928.001676,kWh,1994.689655,Cubic meter,"3,899"
400 Keele St,0,Square feet,168,4691.922235,kWh,0,Cubic meter,206
4005 Eglinton Ave W,0,Square feet,168,25411.66613,kWh,0,Cubic meter,"1,118"
402 Sewells Rd,0,Square feet,100,217.153445,kWh,0,Cubic meter,10
407 Fairlawn,0,Square feet,100,247.3135,kWh,0,Cubic meter,11
44 Richmond St E,0,Square feet,168,52403.38452,kWh,0,Cubic meter,"2,306"
45 Aberdeen Ave,0,Square feet,168,3630.983497,kWh,0,Cubic meter,160
45 Dunfield Ave,0,Square feet,100,308.168647,kWh,0,Cubic meter,14
453 Spadina Rd,0,Square feet,168,4296.010131,kWh,0,Cubic meter,189
470 Windermere Ave,0,Square feet,168,5870.61438,kWh,0,Cubic meter,258
480 Mill Rd,0,Square feet,168,85877.27447,kWh,0,Cubic meter,"3,779"
50 Wabash,2992,Square feet,100,16603.7456,kWh,4203.728067,Cubic meter,"8,676"
5063 Yonge St Unit Underg,0,Square feet,100,14.760697,kWh,0,Cubic meter,1
51 Benshire Dr,0,Square feet,100,99.783497,kWh,0,Cubic meter,4
51 Dockside Dr,0,Square feet,100,95842.72065,kWh,0,Cubic meter,"4,217"
