Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Centennial Greenhouse,29170,Square feet,168,275015.2098,kWh,214591.3592,Cubic meter,"417,678"
Centennial Park,0,Square feet,168,132035.4493,kWh,0,Cubic meter,"5,810"
Centennial Pk Svc Bldg,1023,Square feet,70,60845.17955,kWh,9675.259816,Cubic meter,"20,963"
Centennial R.C (Ice Galaxy),102376,Square feet,100,0,kWh,252003.7222,Cubic meter,"586,100"
Centennial Ski Chalet,7621,Square feet,100,196186.8381,kWh,0,Cubic meter,"8,632"
Centennial Ski Hill,0,Square feet,100,225366.72,kWh,0,Cubic meter,"9,916"
Central Arena,32001,Square feet,100,1432823.677,kWh,180726.2513,Cubic meter,"404,617"
Central Equipment Yard,148198,Square feet,70,1319169.101,kWh,349438.5317,Cubic meter,"718,482"
Central Services Office,18299,Square feet,70,186209.265,kWh,19636.1016,Cubic meter,"45,305"
Central Water Services,32679,Square feet,70,1086501.976,kWh,29508.55123,Cubic meter,"103,577"
Centre Island Buildings,11926,Square feet,100,389292.4037,kWh,0,Cubic meter,"17,129"
Centre Island Police Division,1001,Square feet,168,20738.56961,kWh,0,Cubic meter,912
Chapley C.C / Wilmington Park,6997,Square feet,100,366189.9809,kWh,15102.84377,Cubic meter,"44,657"
Chaplin Parkette,0,Square feet,100,17281.06579,kWh,0,Cubic meter,760
Charlotte Maher Park,0,Square feet,100,115.565636,kWh,0,Cubic meter,5
Charlottetown Park,0,Square feet,100,2004.6432,kWh,0,Cubic meter,88
Chelsea Avenue Playground,0,Square feet,100,0,kWh,0,Cubic meter,0
Cherry Beach Life Stn,680,Square feet,168,17428.41323,kWh,0,Cubic meter,767
Chris Tonks Arena,23638,Square feet,100,433251.0722,kWh,113287.8123,Cubic meter,"233,177"
Christie Pits,29536,Square feet,100,24651.70261,kWh,8432.040757,Cubic meter,"17,021"
Church Isabella Resident Coop,19106,Square feet,168,913.915308,kWh,0,Cubic meter,40
City Clerk's Office,34843,Square feet,70,740029.8945,kWh,49137.76175,Cubic meter,"125,432"
City Hall,780061,Square feet,70,13918639.1,kWh,0,Cubic meter,"2,262,520"
City Hall Eternal Flame,0,Square feet,168,0,0,8018,Cubic meter,"15,154"
City Hall Nathan Phillips Sqr,3606,Square feet,100,675029.3939,kWh,0,Cubic meter,"155,283"
City Kids Childcare Centre,8460,Square feet,100,67565.53823,kWh,7715.075993,Cubic meter,"17,554"
Civic Garden Centre,36953,Square feet,100,388473.1465,kWh,41285.40417,Cubic meter,"95,122"
Clanton Park Baseball,3025,Square feet,100,38228.54916,kWh,0,Cubic meter,"1,682"
Clarence Square,0,Square feet,100,3790.249189,kWh,0,Cubic meter,167
Cliffcrest,4898,Square feet,70,76991.30717,kWh,9255.435484,Cubic meter,"20,880"
Cliffcrest Employment Services,8530,Square feet,70,94561.37054,kWh,0,Cubic meter,"4,161"
Close Avenue Parkette,0,Square feet,100,13708.77021,kWh,0,Cubic meter,603
Cloud Gardens,6243,Square feet,168,65619.02267,kWh,0,Cubic meter,"47,121"
Cloverdale Park,0,Square feet,100,4915.406329,kWh,0,Cubic meter,216
Clydesdale Park Tennis,2185,Square feet,100,59895.90442,kWh,0,Cubic meter,"2,635"
Colborne Lodge,7050,Square feet,100,151258.4504,kWh,11302.03499,Cubic meter,"28,016"
Coleman Park,226,Square feet,100,3250.441694,kWh,0,Cubic meter,143
College Park,0,Square feet,100,3655.669379,kWh,0,Cubic meter,161
College Shaw,7685,Square feet,70,83365.92318,kWh,7885.120347,Cubic meter,"18,571"
College Street Park,0,Square feet,100,1827.834139,kWh,0,Cubic meter,80
Colonel Danforth Park,2723,Square feet,100,7482.762424,kWh,0,Cubic meter,329
Colonel Samuel Smith Park,0,Square feet,100,50597.83911,kWh,34267.74554,Cubic meter,"66,992"
Columbus Parkette,226,Square feet,100,4604.664637,kWh,0,Cubic meter,203
Commander Park C.C,56317,Square feet,100,1158516.395,kWh,51058.2399,Cubic meter,"147,475"
Commissioners St Transfer Stn,76424,Square feet,70,706780.7713,kWh,69776.25888,Cubic meter,"162,975"
Community Centre 55,8999,Square feet,100,67296.70286,kWh,0,Cubic meter,"2,961"
Connorvale Park,0,Square feet,100,40245.49161,kWh,0,Cubic meter,"1,771"
Consolidated Communication Ctr,132999,Square feet,70,7745496.193,kWh,237831.9168,Cubic meter,"790,304"
Coronation Park,8105,Square feet,100,255282.4096,kWh,0,Cubic meter,"11,232"
Corvette Park,0,Square feet,100,27.404847,kWh,0,Cubic meter,1
Cosburn Ave Unit Haldo,0,Square feet,100,55499.12586,kWh,0,Cubic meter,"2,442"
Cosburn Park,0,Square feet,100,20588.10396,kWh,0,Cubic meter,906
Craigleigh Gardens,0,Square feet,100,22109.09402,kWh,0,Cubic meter,973
Cresthaven Park Tennis,1916,Square feet,100,67072.38352,kWh,0,Cubic meter,"2,951"
Crossways Employment Services,18277,Square feet,70,891013.5967,kWh,42758.1051,Cubic meter,"120,017"
Cumber Sewage Pumping Station,635,Square feet,168,354921.2939,kWh,0,Cubic meter,"15,617"
Cumberland St Parkette,0,Square feet,100,106777.5982,kWh,0,Cubic meter,"4,698"
Cummer Arena,34348,Square feet,100,1466286.705,kWh,190367.9369,Cubic meter,"424,312"
Cummer Lodge,243200,Square feet,168,4714181.938,kWh,630255.3467,Cubic meter,"1,398,607"
Curran Hall C.C,2508,Square feet,100,40895.93099,kWh,4924.954459,Cubic meter,"11,108"
Dallington Park 32 Glentworth,0,Square feet,100,2389.507351,kWh,0,Cubic meter,105
Danforth Avenue Parkettle,0,Square feet,100,2714.026062,kWh,0,Cubic meter,119
Danforth Childcare Centre,6351,Square feet,100,141072.5351,kWh,8245.943039,Cubic meter,"21,792"
Danforth Coxwell,9612,Square feet,70,105139.0449,kWh,8744.895833,Cubic meter,"21,154"
Davenport,3606,Square feet,100,72515.56581,kWh,0,Cubic meter,"3,191"
Davenport C.C,2282,Square feet,100,6816.025903,kWh,5118.678432,Cubic meter,"9,974"
David A. Balfour Park,0,Square feet,100,16376.01122,kWh,3654.881456,Cubic meter,"7,628"
David Appleton Community Centre,2906,Square feet,100,60403.14307,kWh,6970.865068,Cubic meter,"15,833"
David Crombie Park,0,Square feet,168,3075.067809,kWh,0,Cubic meter,135
Davisville Childcare Centre,3595,Square feet,100,25975.98674,kWh,0,Cubic meter,"1,143"
Davisville Park/Tennis,2777,Square feet,100,39891.76689,kWh,6022.105151,Cubic meter,"13,137"
Dawes Crossing,0,Square feet,168,889.804885,kWh,0,Cubic meter,39
Dawes Road,6501,Square feet,70,137346.8245,kWh,0,Cubic meter,"6,043"
De Grassi St Park,0,Square feet,100,1370.873771,kWh,0,Cubic meter,60
Dee Avenue Lab,14994,Square feet,70,1205959.222,kWh,55832.63226,Cubic meter,"158,586"
Deer Park,16576,Square feet,70,363402.9034,kWh,27526.70926,Cubic meter,"68,015"
Dell Park,0,Square feet,100,2798.04107,kWh,0,Cubic meter,123
Dentonia Park Ave Unit F,0,Square feet,100,5854.223061,kWh,0,Cubic meter,258
Dentonia Park Clubhouse,3165,Square feet,100,16693.60949,kWh,2340.966552,Cubic meter,"5,159"
Dentonia Park Golf Course,9214,Square feet,100,72650.34185,kWh,33049.74606,Cubic meter,"65,661"
Derrydowns Park,743,Square feet,100,6930.578493,kWh,0,Cubic meter,305
Detective Services Building,24000,Square feet,168,404309.8378,kWh,16926.02411,Cubic meter,"49,780"
Dieppe Park Baseball Clubhouse,2508,Square feet,100,4731.456,kWh,4427.747,Cubic meter,"8,577"
Dieppe Park Ice Rink,3498,Square feet,100,473995.3431,kWh,10663.63099,Cubic meter,"41,010"
Disco Road Transfer Station,57049,Square feet,70,7738345.691,kWh,16756.29446,Cubic meter,"372,157"
Disco Yard,131976,Square feet,70,890838.3338,kWh,167216.2893,Cubic meter,"355,236"
Dixon Rink,0,Square feet,100,8544.595305,kWh,0,Cubic meter,376
Don MilIs Arena,27857,Square feet,100,502621.8067,kWh,77581.90979,Cubic meter,"168,745"
Don Mills,21560,Square feet,70,395780.7128,kWh,32251.2752,Cubic meter,"78,369"
Don Montgomery,89125,Square feet,100,1867764.735,kWh,130336.3072,Cubic meter,"328,517"
Don Valley Brickwork,19407,Square feet,100,185586.2855,kWh,20232.60613,Cubic meter,"46,405"
Don Valley Gc Service Bldg,3574,Square feet,100,34371.20164,kWh,10327.80964,Cubic meter,"21,032"
Don Valley Golf Course,8245,Square feet,100,93612.08496,kWh,22884.33515,Cubic meter,"47,370"
Don Valley Parks,2906,Square feet,100,913.914612,kWh,0,Cubic meter,40
Don Valley Parkway,0,Square feet,70,2774997.086,kWh,0,Cubic meter,"122,100"
Donald Summerville Olympic Pool,27050,Square feet,100,386281.5883,kWh,59346.63636,Cubic meter,"129,162"
Donlands Landfill,603,Square feet,70,40602.26694,kWh,0,Cubic meter,"1,786"
Douglas Snow Aquatic Center,40666,Square feet,100,853155.7845,kWh,207745.8958,Cubic meter,"430,179"
Dovercourt B&G Club,23971,Square feet,100,219986.1503,kWh,0,Cubic meter,"9,679"
Downsview,20021,Square feet,70,295248.4775,kWh,16114.154,Cubic meter,"43,447"
Downsview Arena,34218,Square feet,100,732214.9858,kWh,71010.45,Cubic meter,"166,427"
Downsview Dell,5199,Square feet,168,129474.9863,kWh,0,Cubic meter,"5,697"
Downsview Dells,1270,Square feet,100,17312.89876,kWh,0,Cubic meter,762
Driftwood C.C,25015,Square feet,100,327160.0711,kWh,39378.57261,Cubic meter,"88,821"
Dufferin Grove Park,4682,Square feet,100,392502.2528,kWh,18760.38941,Cubic meter,"52,727"
Dufferin King Park,0,Square feet,100,6880.664839,kWh,0,Cubic meter,303
Dufferin Maintenance Yard,31667,Square feet,70,320034.5374,kWh,28306.1723,Cubic meter,"67,580"
Dufferin Reservoir,635,Square feet,168,114646.1749,kWh,0,Cubic meter,"5,044"
Dufferin St Clair,11208,Square feet,70,130917.4153,kWh,13868.63188,Cubic meter,"31,972"
Dufferin Transfer Station,120663,Square feet,70,1933226.425,kWh,75367.60155,Cubic meter,"227,507"
Duncan Creek,0,Square feet,100,10554.6271,kWh,0,Cubic meter,464
Dundas St Clarens Parkette,0,Square feet,100,911.209268,kWh,0,Cubic meter,40
Dundas St Parkette,0,Square feet,100,2741.750637,kWh,0,Cubic meter,121
Dunlace Park Tennis,646,Square feet,100,18037.89399,kWh,0,Cubic meter,794
Dunn Avenue Parkette,0,Square feet,168,1824.301665,kWh,0,Cubic meter,80
E.T. Seton Park,0,Square feet,100,10172.93631,kWh,0,Cubic meter,448
Earl Bales C.C & Senior,21657,Square feet,100,357742.9325,kWh,41558.16749,Cubic meter,"94,286"
Earl Bales Park,10409,Square feet,100,267830.1773,kWh,0,Cubic meter,"11,785"
Earl Bales Ski Tow,0,Square feet,100,463255.3947,kWh,0,Cubic meter,"20,383"
Earls Bales Park Flame,0,Square feet,100,0,0,15094,Cubic meter,"28,528"
Earlscourt Park,9515,Square feet,100,201461.9817,kWh,423.516129,Cubic meter,"9,665"
East Court & Municipal Services,120104,Square feet,70,2016509.38,kWh,109961.925,Cubic meter,"296,554"
East Don Parkland,1141,Square feet,100,23344.64165,kWh,0,Cubic meter,"1,027"
East Lynn Park,0,Square feet,100,4318.299771,kWh,0,Cubic meter,190
East Point Park,6523,Square feet,100,162265.1654,kWh,7033.575842,Cubic meter,"20,433"
East Scar Boys/Girls Club,13972,Square feet,100,329129.3948,kWh,36270.98872,Cubic meter,"83,034"
East Service Building,60040,Square feet,70,560583.0992,kWh,68024.10996,Cubic meter,"153,231"
East Toronto Athletic Fieldhouse,538,Square feet,100,10446.00273,kWh,0,Cubic meter,460
East York Arena,30257,Square feet,100,825053.8832,kWh,70126.76305,Cubic meter,"168,842"
East York Civic Centre,67544,Square feet,70,1626772.647,kWh,91637.11144,Cubic meter,"244,772"
East York Clubhouse,1001,Square feet,100,14025.47463,kWh,2436.332661,Cubic meter,"5,222"
East York Community Centre,31000,Square feet,100,474514.106,kWh,127976.4806,Cubic meter,"262,754"
East York Curling Club House,17868,Square feet,100,373908.5297,kWh,43770.33563,Cubic meter,"99,178"
Eastern & Booth Blocks,236645,Square feet,70,2996248.349,kWh,440694.8,Cubic meter,"964,748"
Eastern Ave Yard / Office,84701,Square feet,70,1099943.7,kWh,414314.5077,Cubic meter,"831,452"
Eastern Ave Yard / Shop,9698,Square feet,70,98311.36206,kWh,15659.86912,Cubic meter,"33,923"
Eastern District Office,19849,Square feet,70,100087.8062,kWh,31975.05005,Cubic meter,"64,837"
Eastview Neighbourhood Comm Ctr,25510,Square feet,100,357995.8038,kWh,38051.6738,Cubic meter,"87,669"
Eatonville,12217,Square feet,70,189568.2256,kWh,15035.06688,Cubic meter,"36,757"
Economic Development,0,Square feet,168,494358.4594,kWh,0,Cubic meter,"21,752"
Edenbridge Centre,5013,Square feet,100,11546.4128,kWh,0,Cubic meter,508
Edenbridge Sewage Blower,0,Square feet,168,11636.3144,kWh,0,Cubic meter,512
Edithvale C.C,24725,Square feet,100,755563.6939,kWh,36429.91177,Cubic meter,"102,097"
Edwards Gardens,10021,Square feet,100,72879.65352,kWh,42421.12246,Cubic meter,"83,383"
Eglinton Ave E,0,Square feet,100,28046.5355,kWh,0,Cubic meter,"1,234"
Eglinton Ave W,0,Square feet,168,2016.942277,kWh,0,Cubic meter,89
Eglinton Flats Service Bldg,5705,Square feet,70,91547.71337,kWh,10873.56774,Cubic meter,"24,579"
Eglinton Flats Sport Pavilions,5683,Square feet,100,707970.2895,kWh,10645.57198,Cubic meter,"51,271"
Eglinton Pumping Station,10075,Square feet,168,5295759.353,kWh,0,Cubic meter,"233,013"
Eglinton Square,4715,Square feet,70,51816.10716,kWh,0,Cubic meter,"2,280"
Eglinton-Bellamy Storm Pumping Station,441,Square feet,168,45932.41198,kWh,0,Cubic meter,"2,021"
Eglinton-Venn Parkette,0,Square feet,100,0,kWh,0,Cubic meter,0
Election Services Building,55004,Square feet,70,354372.728,kWh,69814.9674,Cubic meter,"147,543"
Elizabeth Simcoe Park,0,Square feet,100,15084.65321,kWh,0,Cubic meter,664
Ellerslie Park,0,Square feet,100,5462.629063,kWh,0,Cubic meter,240
Ellesmere C.C,24402,Square feet,100,232134.9376,kWh,31185.1557,Cubic meter,"69,154"
Ellesmere Pumping Station,6243,Square feet,168,26834238.31,kWh,0,Cubic meter,"1,180,706"
Ellesmere Yard,138069,Square feet,70,1569573.171,kWh,203608.313,Cubic meter,"453,881"
Ellis Ave Sewage Pumping Station,0,Square feet,168,23420.51076,kWh,0,Cubic meter,"1,031"
Elmbank Community Centre,14725,Square feet,100,182201.8862,kWh,19772.11107,Cubic meter,"45,386"
Elmbrook Park,3595,Square feet,70,61684.15742,kWh,2318.836176,Cubic meter,"7,097"
Elmcrest Park,0,Square feet,100,41682.44346,kWh,0,Cubic meter,"1,834"
Emergency Task Force,35995,Square feet,168,531411.6638,kWh,61517.62075,Cubic meter,"139,650"
Emery Parks Yard,18998,Square feet,70,196493.9169,kWh,43369.39333,Cubic meter,"90,614"
Emery Works Yard,26404,Square feet,70,332544.0565,kWh,78225.3697,Cubic meter,"162,478"
EMS Workshop West,1658,Square feet,168,18451.83265,kWh,7936.388571,Cubic meter,"15,812"
Eringate Pool (outdoor),1098,Square feet,100,40790.37201,kWh,8164,Cubic meter,"17,225"
Erwin Krickhan Park,0,Square feet,100,5180.48458,kWh,0,Cubic meter,228
Esther Shiner Stadium,9365,Square feet,100,373367.8417,kWh,0,Cubic meter,"16,428"
Etienne Brule Park Wr,441,Square feet,100,22769.3872,kWh,0,Cubic meter,"1,002"
Etobicoke Animal Centre,6588,Square feet,168,318216.5284,kWh,51019.39855,Cubic meter,"110,428"
Etobicoke Centennial Arena,72050,Square feet,100,1887571.757,kWh,70151.41095,Cubic meter,"215,639"
Etobicoke Civic Centre,154925,Square feet,70,3013675.133,kWh,185414.6125,Cubic meter,"483,035"
Etobicoke North Office,20279,Square feet,70,481478.4936,kWh,39929.43189,Cubic meter,"96,652"
Etobicoke Olympium,139995,Square feet,100,3124861.149,kWh,453689.4739,Cubic meter,"994,967"
Etobicoke South Office,22497,Square feet,70,464737.0182,kWh,24967.92447,Cubic meter,"67,638"
Etobicoke Valley Park,0,Square feet,100,5482.418875,kWh,0,Cubic meter,241
Evelyn Gregory,6200,Square feet,70,72323.51657,kWh,9894.533332,Cubic meter,"21,883"
F.J. Horgan Filtration Plant,325447,Square feet,168,45505671.68,kWh,341551.2976,Cubic meter,"2,647,782"
Fairbank Memorial R.C.,19364,Square feet,100,330488.0656,kWh,38239.74345,Cubic meter,"86,815"
Fairbank Park Pool,3264,Square feet,100,121802.1586,kWh,19938,Cubic meter,"43,042"
Fairfield Senior Centre,14316,Square feet,100,90678.60921,kWh,33236.82002,Cubic meter,"66,807"
Fairford Parkette,0,Square feet,100,3.79257,kWh,0,Cubic meter,0
Fairhaven Pool (outdoor),1195,Square feet,100,43365.20431,kWh,3008.581485,Cubic meter,"7,594"
Fairmount Park C.R.C,4359,Square feet,100,13210.65758,kWh,0,Cubic meter,581
Fairview Mall,64670,Square feet,70,1507370.806,kWh,97241.84144,Cubic meter,"250,111"
Fallingbrook Sewage Pumping Station,0,Square feet,168,20756.17546,kWh,0,Cubic meter,913
Falstaff C.C,13853,Square feet,100,170414.9554,kWh,25567.52336,Cubic meter,"55,821"
Family Residence,39999,Square feet,168,392176.075,kWh,46525.10245,Cubic meter,"105,188"
Faywood Park Tennis,0,Square feet,100,15153.31935,kWh,0,Cubic meter,667
Felstead Park,452,Square feet,100,3655.665974,kWh,0,Cubic meter,161
Fenside Arena,26307,Square feet,100,416914.8094,kWh,42352.99697,Cubic meter,"98,391"
Fire Academy,61214,Square feet,168,813375.0139,kWh,147447.2832,Cubic meter,"314,464"
Fire Museum And Storage,3272,Square feet,168,26651.25807,kWh,13044.74541,Cubic meter,"25,827"
Fire Services - East Command Offices,25898,Square feet,70,298158.0058,kWh,20492,Cubic meter,"51,849"
Fire Station 111,5662,Square feet,168,116002.9791,kWh,23831.74547,Cubic meter,"50,146"
Fire Station 112,7018,Square feet,168,229464.4473,kWh,30927.85976,Cubic meter,"68,550"
Fire Station 113,4833,Square feet,168,86567.5994,kWh,11223.07801,Cubic meter,"25,021"
Fire Station 114,8633,Square feet,168,210179.8126,kWh,34087.12471,Cubic meter,"73,673"
Fire Station 115,5985,Square feet,168,119229.3353,kWh,12298.48276,Cubic meter,"28,490"
Fire Station 116,11776,Square feet,168,185736.0593,kWh,22033.04,Cubic meter,"49,815"
Fire Station 121,4219,Square feet,168,124027.6569,kWh,3643.445633,Cubic meter,"12,343"
Fire Station 122,3046,Square feet,168,47914.54804,kWh,14703.17316,Cubic meter,"29,897"
Fire Station 123,2497,Square feet,168,53631.18922,kWh,15253.11241,Cubic meter,"31,188"
Fire Station 125,5813,Square feet,168,85097.54221,kWh,9805.606855,Cubic meter,"22,277"
Fire Station 131,5845,Square feet,168,73872.45083,kWh,16935.91824,Cubic meter,"35,259"
Fire Station 132,7664,Square feet,168,96690.60758,kWh,18850.45054,Cubic meter,"39,882"
Fire Station 133,8062,Square feet,168,105297.196,kWh,18064.03226,Cubic meter,"38,774"
Fire Station 134,7126,Square feet,168,44915.94008,kWh,14127.54187,Cubic meter,"28,677"
Fire Station 135 - OLD,10592,Square feet,168,99277.92907,kWh,24629.51286,Cubic meter,"50,918"
Fire Station 141,12500,Square feet,168,149976.6941,kWh,40556.06208,Cubic meter,"83,250"
Fire Station 142,5586,Square feet,168,129459.1074,kWh,20671.87124,Cubic meter,"44,766"
Fire Station 143,2895,Square feet,168,75116.18294,kWh,18360.43353,Cubic meter,"38,006"
Fire Station 145,11001,Square feet,168,113979.8914,kWh,26668.93388,Cubic meter,"55,419"
Fire Station 146,7535,Square feet,168,54885.41222,kWh,14232.906,Cubic meter,"29,315"
Fire Station 211,5005,Square feet,168,122106.03,kWh,10485.2929,Cubic meter,"25,190"
Fire Station 212,16501,Square feet,168,215226.3556,kWh,43600.875,Cubic meter,"91,876"
Fire Station 213,5048,Square feet,168,54353.71718,kWh,10052.48387,Cubic meter,"21,391"
Fire Station 214,4887,Square feet,168,51184.10039,kWh,17516.52903,Cubic meter,"35,358"
Fire Station 215,5737,Square feet,168,58343.89918,kWh,14377.17549,Cubic meter,"29,740"
Fire Station 221,11916,Square feet,168,155280.0825,kWh,23597.47831,Cubic meter,"51,432"
Fire Station 222,6910,Square feet,168,60897.3998,kWh,13923.10856,Cubic meter,"28,994"
Fire Station 223,7459,Square feet,168,51679.45162,kWh,12371.47599,Cubic meter,"25,656"
Fire Station 224,3767,Square feet,168,61407.76194,kWh,9413.693548,Cubic meter,"20,494"
Fire Station 225,9085,Square feet,168,96845.27947,kWh,25626.13582,Cubic meter,"52,695"
Fire Station 226,11808,Square feet,168,54619.31102,kWh,26739.25941,Cubic meter,"52,940"
Fire Station 227,10484,Square feet,168,65058.74727,kWh,19551.97531,Cubic meter,"39,816"
Fire Station 231,14241,Square feet,168,146202.1912,kWh,32479.41167,Cubic meter,"67,819"
Fire Station 232,5350,Square feet,168,72980.8084,kWh,13132.81451,Cubic meter,"28,032"
Fire Station 233,11001,Square feet,168,87820.69988,kWh,21137.67011,Cubic meter,"43,814"
Fire Station 234,5350,Square feet,168,46619.4304,kWh,13523.10702,Cubic meter,"27,610"
Fire Station 235,8902,Square feet,168,103508.277,kWh,20854.79091,Cubic meter,"43,970"
Fire Station 241,5500,Square feet,168,46499.04373,kWh,10550.02529,Cubic meter,"21,986"
Fire Station 242,5500,Square feet,168,61154.30796,kWh,13932.54323,Cubic meter,"29,023"
Fire Station 243,5350,Square feet,168,49764.55537,kWh,17483.12,Cubic meter,"35,233"
Fire Station 244,5350,Square feet,168,55599.98966,kWh,13687.60912,Cubic meter,"28,316"
Fire Station 245,5608,Square feet,168,45579.6928,kWh,11626.7645,Cubic meter,"23,980"
Fire Station 311,12755,Square feet,168,59531.05263,kWh,17172.17214,Cubic meter,"35,075"
Fire Station 312,9806,Square feet,168,107013.445,kWh,22838.47747,Cubic meter,"47,873"
Fire Station 313,12099,Square feet,168,142826.2286,kWh,31231.09396,Cubic meter,"65,311"
Fire Station 314,11937,Square feet,168,48280.23185,kWh,22993.28448,Cubic meter,"45,582"
Fire Station 315,7244,Square feet,168,104594.4447,kWh,24364.87576,Cubic meter,"50,652"
Fire Station 321,7535,Square feet,168,104360.4396,kWh,23139.66799,Cubic meter,"48,326"
Fire Station 322,7535,Square feet,168,47542.50994,kWh,14511.70766,Cubic meter,"29,519"
Fire Station 323,10236,Square feet,168,114888.3614,kWh,38128.50441,Cubic meter,"77,118"
Fire Station 324,13153,Square feet,168,47877.09414,kWh,20434.022,Cubic meter,"40,727"
Fire Station 325,10129,Square feet,168,109531.9941,kWh,17025.96606,Cubic meter,"36,998"
Fire Station 331,10979,Square feet,168,91065.94515,kWh,23965.1642,Cubic meter,"49,301"
Fire Station 332,24865,Square feet,168,309734.0953,kWh,20699.27586,Cubic meter,"52,750"
Fire Station 333,12723,Square feet,168,126516.7998,kWh,29672.08879,Cubic meter,"61,647"
Fire Station 334,13003,Square feet,168,335753.1661,kWh,18622.64879,Cubic meter,"49,970"
Fire Station 335,4402,Square feet,168,92007.99701,kWh,8214.663158,Cubic meter,"19,574"
Fire Station 341,9268,Square feet,168,78439.13296,kWh,25531.08059,Cubic meter,"51,705"
Fire Station 342,3057,Square feet,168,27400.47554,kWh,11651.70056,Cubic meter,"23,227"
Fire Station 343,9827,Square feet,168,55488.70467,kWh,23711.61819,Cubic meter,"47,256"
Fire Station 344,11238,Square feet,168,70651.51936,kWh,30760.008,Cubic meter,"61,245"
Fire Station 345,12809,Square feet,168,124683.3643,kWh,41194.22723,Cubic meter,"83,343"
Fire Station 411,8762,Square feet,168,84624.57806,kWh,11881.95636,Cubic meter,"26,180"
Fire Station 412,7029,Square feet,168,78870.22411,kWh,17078.68838,Cubic meter,"35,749"
Fire Station 413,3929,Square feet,168,39879.32343,kWh,7039.392857,Cubic meter,"15,059"
Fire Station 415,7804,Square feet,168,71660.7797,kWh,8927.052381,Cubic meter,"20,025"
Fire Station 421,9461,Square feet,168,115454.4474,kWh,22918.01956,Cubic meter,"48,395"
Fire Station 422,7944,Square feet,168,59766.4253,kWh,14845.15054,Cubic meter,"30,687"
Fire Station 423,12335,Square feet,168,108021.9836,kWh,28840.91172,Cubic meter,"59,262"
Fire Station 424,5866,Square feet,168,38024.12314,kWh,10469.32594,Cubic meter,"21,460"
Fire Station 425,7955,Square feet,168,47811.19067,kWh,8122.794118,Cubic meter,"17,456"
Fire Station 426,12486,Square feet,168,166435.5564,kWh,23907.69902,Cubic meter,"52,509"
Fire Station 431,3907,Square feet,168,36783.96906,kWh,9561.332043,Cubic meter,"19,689"
Fire Station 432,11765,Square feet,168,101174.044,kWh,31059.32727,Cubic meter,"63,154"
Fire Station 433,5038,Square feet,168,116696.3267,kWh,8421.650853,Cubic meter,"21,052"
Fire Station 434,5188,Square feet,168,27883.54259,kWh,9986.546061,Cubic meter,"20,101"
Fire Station 435,6889,Square feet,168,76699.29526,kWh,12106.81244,Cubic meter,"26,257"
Fire Station 441,19472,Square feet,168,123372.828,kWh,17745.34212,Cubic meter,"38,967"
Fire Station 442,15479,Square feet,168,202586.6524,kWh,18753.65065,Cubic meter,"44,358"
Fire Station 443,3929,Square feet,168,36769.19689,kWh,9231.145479,Cubic meter,"19,065"
Fire Station 444,3929,Square feet,168,33911.47107,kWh,9722.008793,Cubic meter,"19,867"
Fire Station 445,11765,Square feet,168,114246.5869,kWh,20355.02298,Cubic meter,"43,498"
Fire Stn former TO #35,3143,Square feet,168,158899.362,kWh,0,Cubic meter,"6,992"
Fire Training Centre,7998,Square feet,168,66782.37205,kWh,14482.25807,Cubic meter,"30,310"
Firgrove Park,0,Square feet,100,20300.71902,kWh,0,Cubic meter,893
Flagstaff Pool (outdoor htd),1098,Square feet,100,27548.89578,kWh,6401.712121,Cubic meter,"13,311"
Flemingdon Arena,25640,Square feet,100,434722.6623,kWh,38331.62875,Cubic meter,"91,575"
Flemingdon C.C,10000,Square feet,100,88718.9363,kWh,25230.38158,Cubic meter,"51,589"
Flemingdon RC & Pool,34348,Square feet,100,809159.3063,kWh,80100.38655,Cubic meter,"186,993"
"Forensic Service, Store & Garage",62484,Square feet,168,1615079.332,kWh,175924.4683,Cubic meter,"403,561"
Forest Hill C.C,32841,Square feet,100,639037.1126,kWh,51504.08758,Cubic meter,"125,460"
Forest Hill Memorial Arena,40666,Square feet,100,1235084.611,kWh,0,Cubic meter,"54,344"
Forest Manor Park,0,Square feet,100,1058403.508,kWh,15105.16667,Cubic meter,"75,119"
Forestry W District Office,8999,Square feet,70,89871.47714,kWh,16106.84299,Cubic meter,"34,396"
Former Hydro Building,22497,Square feet,70,507379.9304,kWh,4946.323307,Cubic meter,"31,673"
Fort York,13000,Square feet,70,289503.5726,kWh,0,Cubic meter,"12,738"
Fort York Residence,25995,Square feet,168,393566.9649,kWh,68701.61301,Cubic meter,"147,163"
Fountainhead A.I.R,1927,Square feet,100,45280.38909,kWh,7582.971804,Cubic meter,"16,324"
Frank Stollery Parkette,0,Square feet,100,3792.614323,kWh,0,Cubic meter,167
Frankland C.C,3681,Square feet,100,0,kWh,0,Cubic meter,"1,181"
Franklin Horner,39500,Square feet,100,310494.7345,kWh,50383.91843,Cubic meter,"108,887"
Fred Hamilton Playground,0,Square feet,100,8918.883324,kWh,0,Cubic meter,392
Fudger House,118995,Square feet,168,1959804.189,kWh,349509.5761,Cubic meter,"746,804"
G. Ross Lord Park,6405,Square feet,100,6945.043993,kWh,0,Cubic meter,306
Galloway Park,0,Square feet,100,1304.313627,kWh,0,Cubic meter,57
